=== Тестирование: ОТКЛЮЧЁН СЛОЙ 1 ===
Вопрос 01/1221 | Ответ: - | Правильный: A
Вопрос 02/1221 | Ответ: - | Правильный: A
Вопрос 03/1221 | Ответ: - | Правильный: B
Вопрос 04/1221 | Ответ: - | Правильный: A
Вопрос 05/1221 | Ответ: - | Правильный: A
Вопрос 06/1221 | Ответ: - | Правильный: C
Вопрос 07/1221 | Ответ: - | Правильный: B
Вопрос 08/1221 | Ответ: - | Правильный: D
Вопрос 09/1221 | Ответ: A | Правильный: A
Вопрос 10/1221 | Ответ: - | Правильный: C
Вопрос 11/1221 | Ответ: - | Правильный: E
Вопрос 12/1221 | Ответ: - | Правильный: D
Вопрос 13/1221 | Ответ: - | Правильный: A
Вопрос 14/1221 | Ответ: - | Правильный: D
Вопрос 15/1221 | Ответ: - | Правильный: C
Вопрос 16/1221 | Ответ: - | Правильный: D
Вопрос 17/1221 | Ответ: - | Правильный: D
Вопрос 18/1221 | Ответ: - | Правильный: E
Вопрос 19/1221 | Ответ: - | Правильный: E
Вопрос 20/1221 | Ответ: - | Правильный: D
Вопрос 21/1221 | Ответ: - | Правильный: D
Вопрос 22/1221 | Ответ: - | Правильный: C
Вопрос 23/1221 | Ответ: - | Правильный: D
Вопрос 24/1221 | Ответ: - | Правильный: D
Вопрос 25/1221 | Ответ: - | Правильный: E
Вопрос 26/1221 | Ответ: - | Правильный: D
Вопрос 27/1221 | Ответ: - | Правильный: B
Вопрос 28/1221 | Ответ: - | Правильный: A
Вопрос 29/1221 | Ответ: - | Правильный: B
Вопрос 30/1221 | Ответ: - | Правильный: B
Вопрос 31/1221 | Ответ: - | Правильный: B
Вопрос 32/1221 | Ответ: - | Правильный: A
Вопрос 33/1221 | Ответ: - | Правильный: E
Вопрос 34/1221 | Ответ: - | Правильный: D
Вопрос 35/1221 | Ответ: - | Правильный: E
Вопрос 36/1221 | Ответ: - | Правильный: C
Вопрос 37/1221 | Ответ: - | Правильный: C
Вопрос 38/1221 | Ответ: - | Правильный: B
Вопрос 39/1221 | Ответ: - | Правильный: A
Вопрос 40/1221 | Ответ: - | Правильный: B
Вопрос 41/1221 | Ответ: - | Правильный: B
Вопрос 42/1221 | Ответ: - | Правильный: B
Вопрос 43/1221 | Ответ: - | Правильный: E
Вопрос 44/1221 | Ответ: - | Правильный: E
Вопрос 45/1221 | Ответ: - | Правильный: D
Вопрос 46/1221 | Ответ: - | Правильный: E
Вопрос 47/1221 | Ответ: - | Правильный: A
Вопрос 48/1221 | Ответ: - | Правильный: E
Вопрос 49/1221 | Ответ: - | Правильный: E
Вопрос 50/1221 | Ответ: - | Правильный: C
Вопрос 51/1221 | Ответ: - | Правильный: C
Вопрос 52/1221 | Ответ: - | Правильный: B
Вопрос 53/1221 | Ответ: - | Правильный: D
Вопрос 54/1221 | Ответ: - | Правильный: C
Вопрос 55/1221 | Ответ: - | Правильный: D
