,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.042932944233475115,0.061941755085841835,0.06974881564943543,0.0691991363523145,0.05627622345827038,1.8756124498803142,1.884641646167277,1.897303422975501,1.905786089092664,1.918964925503555,1.9288759172011554,1.9390400912701156,2.0170936274001288,2.0352232713957092,2.0659435460257005,2.176179394284591,2.0704034783623437,2.138084164610854,2.2211504887597275,2.3047613067572277,1.9808691345600686,2.198594565473552,34.06804300194193
Layer_1,0.042932944233475115,0.0,0.012661160192209052,0.019010248301088516,0.018643270421355208,0.014118341417078548,1.9075792654921635,1.9174912320503341,1.93166239402218,1.9401226416657344,1.9545170426075815,1.9649604262141884,1.9753576260331613,2.054047062687948,2.071775552974579,2.101889017465952,2.210395777059519,2.103069644009452,2.1701570218162005,2.2504151316571686,2.3312968644424115,1.9972905088505912,2.2081006047766683,34.08176079077568
Layer_2,0.061941755085841835,0.012661160192209052,0.0,0.0013106641377551964,0.0020376948737382988,0.004126379648330305,1.9438628465010435,1.9542497651289956,1.9690483099705465,1.9774108993333446,1.992310320423042,2.002833974644554,2.013078880251479,2.0905781225724653,2.1076457230992047,2.1369939597291503,2.243478995283347,2.1119189667565035,2.170958897600791,2.247462758072862,2.3268023726395364,1.9886538363401272,2.1998443925702893,34.119224548339844
Layer_3,0.06974881564943543,0.019010248301088516,0.0013106641377551964,0.0,0.0009205975857914946,0.004286333215121641,1.9457821635122088,1.9561512430216035,1.9709460162218235,1.9792049897683632,1.9940961562249624,2.0045073720688316,2.014536622408274,2.0916352077745004,2.1083768647191565,2.1372442747314477,2.242903021590618,2.111194366904969,2.1684310705714496,2.2440221246200736,2.3227682873228357,1.9844110869267844,2.1954165620944424,34.12296554165527
Layer_4,0.0691991363523145,0.018643270421355208,0.0020376948737382988,0.0009205975857914946,0.0,0.002857250325461082,1.9385458199729888,1.9487440139909538,1.963315164525425,1.9715204885218789,1.9862430026353528,1.99644766109679,2.006221008144569,2.08310156997162,2.099554265843953,2.1280303719979052,2.2333589964084797,2.1035595325833945,2.161201469630711,2.236826194299234,2.315471186489477,1.977787388728155,2.188296893597821,34.110407273950976
Layer_5,0.05627622345827038,0.014118341417078548,0.004126379648330305,0.004286333215121641,0.002857250325461082,0.0,1.901380690758976,1.9113310739507838,1.925236440993644,1.933348137857873,1.9474562479764297,1.9573479566683445,1.9666630904465596,2.0432409465947567,2.0594582336052434,2.087427477969389,2.1923725963322283,2.07353320100286,2.1334125334663923,2.210057846841804,2.2890630272155312,1.9554036008247482,2.1658338658835046,34.08431567255344
Layer_6,1.8756124498803142,1.9075792654921635,1.9438628465010435,1.9457821635122088,1.9385458199729888,1.901380690758976,0.0,0.00255637073696398,0.005425995575793447,0.008001379896013294,0.012965851899672736,0.018575246820346825,0.02701104190551434,0.04094807218751099,0.05793434753403812,0.08842130191471614,0.13496689333669676,0.446315378463239,0.5407747524522739,0.6464969893150111,0.7581661367006325,0.9536560130939437,1.3790871642047904,36.285843332901436
Layer_7,1.884641646167277,1.9174912320503341,1.9542497651289956,1.9561512430216035,1.9487440139909538,1.9113310739507838,0.00255637073696398,0.0,0.003128813633452689,0.005910330803273131,0.010824227188450698,0.016192162024234038,0.024386362997200234,0.03804407754179203,0.0547295315534389,0.08481515230066361,0.13110950983981437,0.4438978388698056,0.5386301762104816,0.6445449122046956,0.7562766504717303,0.9528229657398883,1.3783875271299646,36.27621319994977
Layer_8,1.897303422975501,1.93166239402218,1.9690483099705465,1.9709460162218235,1.963315164525425,1.925236440993644,0.005425995575793447,0.003128813633452689,0.0,0.0033449698188079005,0.007803991295848832,0.01300077587152533,0.02060267141883633,0.033733887346209704,0.05021194956836693,0.07952356212188923,0.12490650290817047,0.43901762266221545,0.5338181436403573,0.6394748852254913,0.7507932911536227,0.9486184680588806,1.3721628667486192,36.2711076447458
Layer_9,1.905786089092664,1.9401226416657344,1.9774108993333446,1.9792049897683632,1.9715204885218789,1.933348137857873,0.008001379896013294,0.005910330803273131,0.0033449698188079005,0.0,0.004839166369972587,0.009994768344604218,0.01748886062892537,0.029970338317908095,0.046320182044763826,0.0752705889742556,0.11987135882728125,0.434544791460623,0.5290470383725725,0.6342525941538674,0.7451201772514081,0.9435411342141279,1.3668683765366076,36.26173961367596
