,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,1.0,0.08579050292498161,0.3698880900670816,0.4346372476373902,0.42018564302934963,0.37238991386230413,0.28142368659242856,0.2816974569011379,0.2821156603942437,0.2823760537560312,0.2829000863698933,0.2831319581280958,0.28327970012692916,0.26915198259427836,0.26874173724875894,0.26867440462502956,0.2647109213517788,0.06996251153321074,0.07126661034927907,0.07369771315414919,0.07438225258236338,0.07549030471663315,0.07709134878998014,0.15167845759989296
Layer_1,0.08579050230257439,1.0,0.8258752554874749,0.7698367858499313,0.7831414490327984,0.8242251628935093,0.8443818797252883,0.8443910897168637,0.844129333112398,0.8439522755868507,0.8436326024036345,0.8435364810293762,0.8435394675345034,0.8545923734131062,0.8550098123216512,0.8553148776073127,0.8584653473261631,0.9512041483522926,0.9501058486619023,0.9495943673900851,0.9489092336728083,0.942782330766845,0.9373276780415128,0.13264384605814256
Layer_2,0.3698880869428414,0.8258752497759733,1.0,0.9950246899758666,0.9968682853146521,0.9968788960641959,0.9450974609400775,0.945186525168329,0.9453060052416347,0.9453671516013087,0.945503555439614,0.9455212130593433,0.9455613497824673,0.9418028493966362,0.9416534551140913,0.9415819981760123,0.9403457955001906,0.7568652564926679,0.7473620527792328,0.744518539487681,0.741719871051579,0.712693430623688,0.6990450614061051,0.10460720592644447
Layer_3,0.43463724570914825,0.7698367956131819,0.9950246918797004,1.0,0.9996109490117316,0.9920352616337457,0.9282795357762742,0.9283874612377864,0.9285695150091842,0.9286697557673506,0.9288814071257714,0.9289225864664244,0.9289743914455786,0.9228014384596979,0.9225534461835287,0.9224277394507188,0.9204901680899487,0.700242792115067,0.6901038102592043,0.6871646730554192,0.6842138050863921,0.6534527969301772,0.6393293734703954,0.10133905562646169
Layer_4,0.4201856422482896,0.7831414610904128,0.9968682932717013,0.999610941933375,1.0,0.9949434290744553,0.9303332754181214,0.9304362382681813,0.9306036278324767,0.9306964932358919,0.9308961256911381,0.9309359584842716,0.9309969225152411,0.9253729038507991,0.9251413265278259,0.9250340464659932,0.9232653372606032,0.7115695506798059,0.701580929985601,0.6986958356688591,0.6957958661123537,0.6655405980460865,0.6517090697595079,0.10448820014269893
Layer_5,0.37238991535119986,0.8242251761227138,0.9968789001159449,0.9920352465007073,0.9949434237046675,1.0,0.9282247019683016,0.9283216696699362,0.9284412014884699,0.9285113770487268,0.9286647905442287,0.9287023887001619,0.928789868206396,0.9250607144920481,0.9249027564718917,0.9248634984169116,0.9236988406460565,0.7433814134732512,0.734126758150738,0.7314019766769675,0.7287854943043086,0.7007840265513052,0.687934395941821,0.11457241595365003
Layer_6,0.2814236854452466,0.8443818786513307,0.9450974480037705,0.9282795244020873,0.9303332560868853,0.9282246923026836,1.0,0.9999990776169017,0.9999978214282661,0.9999962381707362,0.9999930766837505,0.9999900725803641,0.9999849041595896,0.9996954389618226,0.9996511811218137,0.9996120939969431,0.9993489600907184,0.8651127985615304,0.8562945454556077,0.8534483435601118,0.8507897189950279,0.823324044643124,0.8097210901375191,0.10987545417455451
Layer_7,0.2816974564129754,0.8443910993580737,0.9451865100352906,0.9283874440056491,0.9304362217194716,0.9283216623474984,0.9999990956789153,1.0,0.999998883669929,0.9999977000222452,0.9999948725360618,0.9999920538856201,0.9999869531241721,0.9996940329072906,0.9996512183197984,0.9996128634875373,0.9993487211351606,0.8650669567805641,0.8562513463424913,0.853407262535392,0.8507506357266413,0.8232901817360049,0.8096879462449889,0.11003993530921717
Layer_8,0.28211565993048926,0.8441293453408694,0.9453059995789492,0.9285695064663398,0.9306036193384488,0.9284412009270829,0.9999978658510563,0.9999989224300337,1.0,0.9999991936043185,0.9999971466900187,0.9999945848130672,0.9999898549086924,0.9996792483193088,0.9996373226757815,0.9995994184175346,0.9993304417916344,0.8647412334574138,0.8559199749300658,0.8530737191902429,0.8504145313832332,0.822938621239424,0.8093379717396479,0.11015071571605504
Layer_9,0.2823760533655012,0.8439522686549428,0.9453671337833763,0.9286697422452485,0.9306964804460337,0.9285113693601669,0.9999962944070596,0.9999977413696114,0.9999992026841416,1.0,0.999998516132361,0.9999963769553432,0.999991956594828,0.9996703771369365,0.999629164894129,0.999591699005833,0.9993202384625371,0.8645387932377502,0.855713346764067,0.8528658459657142,0.8502073315300969,0.8227202863501878,0.8091191524955506,0.11027779914652296
Layer_10,0.2829000864187095,0.843632607724606,0.9455035361083778,0.9288814040503475,0.9308961147074812,0.9286647903733718,0.9999931373623528,0.9999949125165728,0.9999971483985876,0.9999985074918842,1.0,0.9999981714407994,0.9999945061212676,0.9996523843936311,0.9996118230667396,0.9995751607915986,0.999298408420041,0.8641578326647054,0.8553236456897588,0.852476188679585,0.8498205712444952,0.8223190602467355,0.8087200062085526,0.11048396823837756
Layer_11,0.28313195695650567,0.8435364877904272,0.9455212133034246,0.9289225940329436,0.9309359551647665,0.9287023878702856,0.9999901277427299,0.9999920902537284,0.9999945931606464,0.9999963786150958,0.9999981746138558,1.0,0.9999976041471246,0.9996505139012692,0.9996109917747691,0.9995750700910008,0.9992990418597385,0.8640702378544819,0.8552360700155066,0.8523880889140417,0.8497357366028425,0.8222387196293236,0.8086557332655135,0.11090377352088324
Layer_12,0.28327970024896976,0.8435394655818533,0.945561349343121,0.9289743883701547,0.9309969246631563,0.928789859150981,0.9999849584920791,0.999987001549895,0.9999898656482681,0.9999919464898637,0.9999945044126987,0.9999976064903047,1.0,0.9996516956939353,0.9996121714195202,0.9995774965516667,0.9993026507476819,0.8640470129363758,0.8552156689711812,0.8523680909455165,0.8497193161822264,0.8222360318064397,0.8086773118554911,0.11149263729163607
Layer_13,0.2691519838146847,0.8545923740477175,0.9418028389987743,0.9228014419256518,0.9253728979440325,0.925060718739062,0.9996954905606019,0.9996940406202587,0.9996792544213403,0.9996703759653465,0.9996523903492139,0.9996505048702624,0.9996516994527869,1.0,0.9999899715795368,0.9999749140110687,0.9999065073565515,0.8766560487137965,0.8681478674640234,0.865386506556293,0.8628226150556435,0.8362246580928393,0.8229731660607796,0.11355562960266774
Layer_14,0.26874173773692145,0.8550098142743013,0.9416534443256994,0.9225534495518503,0.925141319400653,0.9249027463913354,0.9996512323300629,0.9996512381391971,0.9996373345869473,0.9996291724118319,0.9996118213581707,0.9996109824508648,0.9996121645852447,0.99998998261201,1.0,0.9999912581318817,0.9999343097746909,0.8771545805470266,0.8686667552353612,0.8659116174723651,0.8633695650452186,0.8368404363140916,0.8236453989116409,0.11466498159171128
Layer_15,0.26867440413686705,0.8553148792914735,0.9415819865577442,0.922427731591302,0.9250340388506578,0.924863493681735,0.9996121383221007,0.9996128663676963,0.999599421004796,0.9995916930990665,0.9995751544454857,0.9995750583262838,0.9995774912795115,0.9999749207965279,0.9999912473434898,1.0,0.9999566198274017,0.8775089694084836,0.8690394520954847,0.8663008523514582,0.8637804549117248,0.8373233509981466,0.8241996339947156,0.11624108239044233
Layer_16,0.26471092130296253,0.8584653549414986,0.9403457878848551,0.9204901696032525,0.9232653354544018,0.9236988317126822,0.9993489978744982,0.9993487230389945,0.999330447698401,0.9993202503737029,0.9992984094939985,0.9992990399559046,0.9993026552387771,0.9999065118476468,0.9999343173412101,0.9999566220729493,1.0,0.8811429438290296,0.8727876058765165,0.8700809748225482,0.8676044629988956,0.8414530098975241,0.8284652913622345,0.11830775550186
Layer_17,0.0699625114843945,0.9512041524040415,0.7568652570784629,0.700242794433839,0.7115695438943468,0.7433814144739843,0.8651128043218483,0.8650669555113415,0.8647412360934914,0.8645387866963723,0.8641578348126204,0.8640702356577505,0.8640470143520471,0.8766560497389378,0.8771545801564966,0.8775089593035192,0.8811429504192236,1.0,0.9997500478000938,0.9994747874973057,0.9991333852236043,0.9950800660591844,0.990128192278716,0.14569906576137676
Layer_18,0.07126661012960593,0.9501058549103827,0.7473620514856021,0.6901038141156883,0.7015809337444524,0.7341267491929556,0.8562945536567382,0.856251347806979,0.8559199673147303,0.8557133441279893,0.8553236489116316,0.8552360747994994,0.8552156806870819,0.8681478716134049,0.8686667547471986,0.8690394452612094,0.872787609635368,0.9997500448223023,1.0,0.9998940546721538,0.9996959868266287,0.9967886141633323,0.9923000057440718,0.15057860668763873
Layer_19,0.07369771331890404,0.949594370074979,0.744518540659271,0.6871646740805605,0.698695826955158,0.731401974260563,0.8534483491739809,0.8534072685886074,0.853073724804112,0.8528658401565802,0.8524761938052916,0.8523880989213736,0.8523680898227426,0.8653865121213459,0.8659116272356157,0.8663008534742319,0.8700809834142087,0.9994747879854682,0.9998940555508463,1.0,0.9998755927558418,0.9975116295857472,0.9934421977383694,0.15573162360331935
Layer_20,0.07438225207589476,0.9489092390914123,0.7417198774953244,0.6842138035486801,0.6957958630125216,0.7287854973065082,0.8507897274402396,0.8507506437325068,0.8504145356302473,0.8502073283570405,0.8498205785181169,0.849735738799574,0.8497193207221378,0.8628226126148308,0.8633695655333811,0.8637804595004526,0.8676044634382418,0.9991333856629505,0.9996959882423001,0.9998755849452413,1.0,0.9981803724162409,0.9945016953908059,0.16278395802392812
Layer_21,0.0754903045335722,0.9427823254458735,0.7126934361399245,0.6534527929272445,0.6655405927251149,0.7007840231585757,0.8233240576282473,0.8232901735348744,0.8229386139658023,0.822720286594269,0.8223190735735725,0.822238727049394,0.8222360433270753,0.8362246621445883,0.8368404382667417,0.8373233550010794,0.8414530099951567,0.9950800655710219,0.9967886094769721,0.9975116257292632,0.9981803802756576,1.0,0.9984491806748849,0.18517785540718606
Layer_22,0.07709134855200091,0.9373276678877323,0.6990450733172708,0.6393293694430546,0.6517090679044903,0.6879344003596919,0.809721086622749,0.8096879367746358,0.8093379700310791,0.80911914234177,0.8087200140679693,0.8086557331190648,0.808677321277028,0.8229731713329349,0.8236454065269764,0.8241996313098217,0.8284652965367573,0.990128185346808,0.992300001155344,0.9934421911481752,0.9945017055445866,0.9984491813583124,1.0,0.21854994728563262
Layer_23,0.151678457416832,0.13264384611916288,0.10460720667089232,0.10133905602919577,0.10448820078951428,0.11457241612450692,0.10987545429659515,0.1100399361818077,0.11015071547197378,0.11027779954315502,0.11048396919029449,0.11090377402735187,0.1114926375296153,0.11355562996878964,0.11466498170764987,0.1162410823477281,0.11830775609375706,0.14569906573696864,0.15057860704155657,0.1557316237619722,0.16278395756017372,0.18517785688387772,0.21854994810330486,1.0
