,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.016669944869956942,0.026057751676911316,0.03355436072205052,0.04066130156757693,0.049736276317775295,0.07660501087229336,0.08619488061182232,0.09710275092567214,0.10435533291072166,0.11874660726920393,0.13290618601683024,0.14986316355694326,0.16937277526468844,0.19713180899668872,0.23303364295387347,0.2670033051770403,0.29949452430864126,0.3486871270494906,0.40694884024713,0.46581098371407326,0.5296968983197974,0.6551556039500881,3.9178154488062877
Layer_1,0.016669944869956942,0.0,0.018287903471353305,0.02755281179350092,0.03555991687643342,0.04532183787917427,0.07427990587274136,0.08429248022627968,0.0954682967220536,0.10282877749053305,0.1173514812013148,0.13157750489792797,0.14864532776439318,0.16825516630546858,0.19601330203808887,0.23200913425306138,0.2660541119485679,0.2984910136505193,0.3477487784492296,0.4060915722210421,0.46508691107806954,0.529124460046551,0.6547814400639327,3.9173021008009603
Layer_2,0.026057751676911316,0.018287903471353305,0.0,0.020157769178997583,0.02982318548853284,0.040872959522293986,0.07162922634807987,0.08210829163944985,0.09365893153505771,0.10123438605341532,0.11580638431873017,0.1300556802119904,0.14719054988912633,0.16680350400550165,0.19457269493524018,0.2305987228583743,0.264757729621328,0.29710546331167415,0.34628754883492024,0.4047228456471027,0.4638419596266297,0.5279148085550829,0.6538176368632148,3.9168778336702266
Layer_3,0.03355436072205052,0.02755281179350092,0.020157769178997583,0.0,0.02204931095352337,0.03582794315972648,0.06799820670209684,0.07899835392112717,0.09102232580322599,0.09893094477328387,0.11377951923229966,0.12807651994830754,0.14526729085570372,0.16496393647133376,0.1927932601522755,0.2288748209443276,0.2632285898626095,0.29570708745429986,0.34484753613097074,0.40340599632477975,0.4626073929787073,0.5267889882871892,0.6529369303479143,3.916296300294456
Layer_4,0.04066130156757693,0.03555991687643342,0.02982318548853284,0.02204931095352337,0.0,0.028133755237059355,0.0629636267814892,0.07489048899513694,0.08751292999019201,0.09593420559319192,0.11115627015203262,0.12558719966130408,0.1428954243586749,0.16275609991864823,0.19061775207763612,0.2267983106196073,0.26128735935756364,0.29392646886499857,0.3432168911510955,0.40181371979690006,0.4611353859073505,0.5255605278202591,0.6518409397151019,3.9154616027069715
Layer_5,0.049736276317775295,0.04532183787917427,0.040872959522293986,0.03582794315972648,0.028133755237059355,0.0,0.054672140240620434,0.06936151998988631,0.08281054798083458,0.09201991275550887,0.10754072867535255,0.12247753720562737,0.13993976273124673,0.15995816694821224,0.18789095396784658,0.2242827425229559,0.25888759952212437,0.2917146676149064,0.3412184914685389,0.39996514034310293,0.4594227446336223,0.5240734535636324,0.6504939852143584,3.914682196360158
Layer_6,0.07660501087229336,0.07427990587274136,0.07162922634807987,0.06799820670209684,0.0629636267814892,0.054672140240620434,0.0,0.03865065724633933,0.05547682090031622,0.06707826245158154,0.08418587958295261,0.10024534541744369,0.11873570472050846,0.140479228969581,0.16888826110390343,0.20586684088693302,0.24256124678788665,0.28410937256934116,0.33433168054993867,0.3935959661329115,0.4533332105936524,0.5211188115124621,0.6491254682330008,3.9190969664380746
Layer_7,0.08619488061182232,0.08429248022627968,0.08210829163944985,0.07899835392112717,0.07489048899513694,0.06936151998988631,0.03865065724633933,0.0,0.04263636674564164,0.05846129086274382,0.0778576973993499,0.09487786326468918,0.11401896695564459,0.1365606799953595,0.1653614840626619,0.2028100002895702,0.23985569102172477,0.2820212018235993,0.3325659050060822,0.39205767523061047,0.4520710926139872,0.51999850272156,0.6480865999385044,3.9179252027781843
Layer_8,0.09710275092567214,0.0954682967220536,0.09365893153505771,0.09102232580322599,0.08751292999019201,0.08281054798083458,0.05547682090031622,0.04263636674564164,0.0,0.044854680745939464,0.0677404196095408,0.08693635881093562,0.1070944354194388,0.13099218518103273,0.16079031599778607,0.19894142152343394,0.2365519014125374,0.27917288872279855,0.33000770430892923,0.3896982074027956,0.44994902569284995,0.5180974984442377,0.6464652686115174,3.916801607677138
Layer_9,0.10435533291072166,0.10282877749053305,0.10123438605341532,0.09893094477328387,0.09593420559319192,0.09201991275550887,0.06707826245158154,0.05846129086274382,0.044854680745939464,0.0,0.05323845858973231,0.0765001133426011,0.09918489069796116,0.12413903301388,0.15535195163290194,0.19461960702475517,0.23287210658033983,0.27597854422507573,0.3272330454145661,0.3871397893024604,0.4474859118559241,0.5159659235327093,0.6448453931804566,3.9157077162896483
Layer_10,0.11874660726920393,0.1173514812013148,0.11580638431873017,0.11377951923229966,0.11115627015203262,0.10754072867535255,0.08418587958295261,0.0778576973993499,0.0677404196095408,0.05323845858973231,0.0,0.06001008242783636,0.08747465782825523,0.11520571938969872,0.14804632275881677,0.1889335741819074,0.228076969730278,0.2718626663735614,0.323620524736431,0.38380709124529194,0.44443578982724213,0.5132595833992001,0.6424727081569075,3.913501918755234
Layer_11,0.13290618601683024,0.13157750489792797,0.1300556802119904,0.12807651994830754,0.12558719966130408,0.12247753720562737,0.10024534541744369,0.09487786326468918,0.08693635881093562,0.0765001133426011,0.06001008242783636,0.0,0.06814429743625804,0.10154042193432698,0.13710613761106347,0.18027385149111425,0.22112710439553523,0.2660164961943755,0.3187009537444556,0.3796033335942699,0.44021992825954104,0.5093739289762933,0.6392544879960194,3.9107898929683427
Layer_12,0.14986316355694326,0.14864532776439318,0.14719054988912633,0.14526729085570372,0.1428954243586749,0.13993976273124673,0.11873570472050846,0.11401896695564459,0.1070944354194388,0.09918489069796116,0.08747465782825523,0.06814429743625804,0.0,0.07838788598068028,0.12078816918419777,0.16755347344398888,0.2102032629902689,0.25705054972281133,0.3110101103880286,0.37286774280811313,0.4342297188187114,0.5042175321330993,0.6348977637622905,3.9073767533173434
