Layer,Accuracy
Baseline,0.3488943488943489
0,0.23423423423423423
1,0.3046683046683047
2,0.20065520065520065
3,0.33988533988533987
4,0.3333333333333333
5,0.33906633906633904
6,0.3447993447993448
7,0.2972972972972973
8,0.3357903357903358
9,0.3284193284193284
10,0.34316134316134317
11,0.33415233415233414
12,0.34725634725634724
13,0.36445536445536447
14,0.3447993447993448
15,0.33497133497133497
16,0.3325143325143325
17,0.3447993447993448
18,0.3415233415233415
19,0.3366093366093366
20,0.32432432432432434
21,0.3464373464373464
