Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,1019.015418147949,1609.6389195383235,590.6235013903745
1,1019.015418147949,1295.8952139994922,276.8797958515431
2,1019.015418147949,1232.542589148541,213.52717100059203
3,1019.015418147949,1748.5536747526448,729.5382566046958
4,1019.015418147949,1394.1854082017705,375.1699900538215
5,1019.015418147949,1414.0458903379015,395.03047218995243
6,1019.015418147949,1164.1962614210147,145.18084327306565
7,1019.015418147949,1045.4794925670653,26.464074419116287
8,1019.015418147949,1349.5028483952422,330.4874302472931
9,1019.015418147949,1385.1165985601149,366.10118041216583
10,1019.015418147949,1114.2526483423278,95.23723019437875
11,1019.015418147949,1051.7581551125884,32.742736964639334
12,1019.015418147949,1069.6390216593672,50.623603511418196
13,1019.015418147949,1138.243369081761,119.22795093381205
14,1019.015418147949,1081.858117837055,62.842699689105984
15,1019.015418147949,1094.9228319682404,75.90741382029137
16,1019.015418147949,1175.0988935464943,156.08347539854526
17,1019.015418147949,1196.2414597066606,177.2260415587116
18,1019.015418147949,1103.2473205388465,84.2319023908974
19,1019.015418147949,1037.3148898348602,18.299471686911147
20,1019.015418147949,998.7466999585032,-20.26871818944585
21,1019.015418147949,1062.3513409533523,43.33592280540324
22,1019.015418147949,1577.2330725133352,558.2176543653861
23,1019.015418147949,1130.5438868563804,111.52846870843132
24,1019.015418147949,1209.9511304788864,190.93571233093735
25,1019.015418147949,1128.5520181391996,109.53659999125057
26,1019.015418147949,1043.7820709132175,24.766652765268418
27,1019.015418147949,1330.8518164743684,311.8363983264194
28,1019.015418147949,1295.0597118957726,276.04429374782353
29,1019.015418147949,1447.6117699731674,428.59635182521833
30,1019.015418147949,1532.980540327536,513.9651221795868
31,1019.015418147949,1554.628226355233,535.6128082072839
