Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,9.36328125,9.80078125,9.92578125,9.98828125,8.92578125,41.493804931640625,41.493804931640625,41.493804931640625,41.493804931640625,41.493804931640625,41.493804931640625,41.493804931640625,42.493804931640625,42.493804931640625,42.743804931640625,42.993804931640625,40.243804931640625,39.743804931640625,39.493804931640625,38.743804931640625,30.743804931640625,31.118804931640625,96.50360107421875
1,9.36328125,0.0,0.4375,0.5625,0.625,0.4375,40.8671875,40.8671875,40.8671875,40.8671875,40.8671875,40.8671875,40.8671875,41.8671875,41.8671875,42.1171875,42.3671875,39.6171875,39.1171875,38.8671875,38.1171875,30.1171875,30.4921875,96.50343322753906
2,9.80078125,0.4375,0.0,0.171875,0.265625,0.875,40.8515625,40.8515625,40.8515625,40.8515625,40.8515625,40.8515625,40.8515625,41.8515625,41.8515625,42.1015625,42.3515625,39.6015625,39.1015625,38.8515625,38.1015625,30.1015625,30.4765625,96.49600219726562
3,9.92578125,0.5625,0.171875,0.0,0.09375,1.0,40.84375,40.84375,40.84375,40.84375,40.84375,40.84375,40.84375,41.84375,41.84375,42.09375,42.34375,39.59375,39.09375,38.84375,38.09375,30.09375,30.46875,96.4969482421875
4,9.98828125,0.625,0.265625,0.09375,0.0,1.0625,40.83203125,40.83203125,40.83203125,40.83203125,40.83203125,40.83203125,40.83203125,41.83203125,41.83203125,42.08203125,42.33203125,39.58203125,39.08203125,38.83203125,38.08203125,30.08203125,30.45703125,96.50848388671875
5,8.92578125,0.4375,0.875,1.0,1.0625,0.0,40.73828125,40.73828125,40.73828125,40.73828125,40.73828125,40.73828125,40.73828125,41.73828125,41.73828125,41.98828125,42.23828125,39.48828125,38.98828125,38.73828125,37.98828125,29.98828125,30.36328125,96.51458740234375
6,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.0,0.125,0.25,0.375,0.5,0.671875,1.234375,1.71875,2.46875,3.99609375,6.0,8.65625,11.25,14.4375,17.625,26.25,35.5,96.515380859375
7,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.125,0.0,0.25,0.40625,0.5,0.734375,1.296875,1.78125,2.53125,4.05859375,6.0625,8.71875,11.3125,14.5,17.6875,26.3125,35.5625,96.5126953125
8,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.25,0.25,0.0,0.15625,0.25,0.484375,1.046875,1.53125,2.28125,3.80859375,5.8125,8.46875,11.0625,14.25,17.4375,26.0625,35.3125,96.538330078125
9,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.375,0.40625,0.15625,0.0,0.125,0.328125,0.890625,1.375,2.125,3.65234375,5.65625,8.3125,10.90625,14.09375,17.28125,25.90625,35.15625,96.543212890625
10,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.5,0.5,0.25,0.125,0.0,0.234375,0.796875,1.28125,2.03125,3.55859375,5.5625,8.21875,10.8125,14.0,17.1875,25.8125,35.0625,96.53515625
11,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,0.671875,0.734375,0.484375,0.328125,0.234375,0.0,0.5625,1.046875,1.796875,3.32421875,5.328125,7.984375,10.578125,13.765625,16.953125,25.578125,34.828125,96.534912109375
12,41.493804931640625,40.8671875,40.8515625,40.84375,40.83203125,40.73828125,1.234375,1.296875,1.046875,0.890625,0.796875,0.5625,0.0,1.0,1.234375,2.76171875,4.765625,7.421875,10.015625,13.203125,16.390625,25.015625,34.265625,96.5155029296875
13,42.493804931640625,41.8671875,41.8515625,41.84375,41.83203125,41.73828125,1.71875,1.78125,1.53125,1.375,1.28125,1.046875,1.0,0.0,0.75,2.27734375,4.28125,6.9375,9.53125,12.71875,15.90625,24.53125,33.78125,96.506591796875
14,42.493804931640625,41.8671875,41.8515625,41.84375,41.83203125,41.73828125,2.46875,2.53125,2.28125,2.125,2.03125,1.796875,1.234375,0.75,0.0,1.52734375,3.53125,6.1875,8.78125,11.96875,15.15625,23.78125,33.03125,96.55859375
15,42.743804931640625,42.1171875,42.1015625,42.09375,42.08203125,41.98828125,3.99609375,4.05859375,3.80859375,3.65234375,3.55859375,3.32421875,2.76171875,2.27734375,1.52734375,0.0,2.00390625,4.66015625,7.25390625,10.44140625,13.62890625,22.25390625,31.50390625,96.609375
16,42.993804931640625,42.3671875,42.3515625,42.34375,42.33203125,42.23828125,6.0,6.0625,5.8125,5.65625,5.5625,5.328125,4.765625,4.28125,3.53125,2.00390625,0.0,2.75,5.25,8.4375,11.625,20.25,29.5,96.5751953125
17,40.243804931640625,39.6171875,39.6015625,39.59375,39.58203125,39.48828125,8.65625,8.71875,8.46875,8.3125,8.21875,7.984375,7.421875,6.9375,6.1875,4.66015625,2.75,0.0,2.59375,5.78125,8.96875,17.59375,26.84375,96.61376953125
18,39.743804931640625,39.1171875,39.1015625,39.09375,39.08203125,38.98828125,11.25,11.3125,11.0625,10.90625,10.8125,10.578125,10.015625,9.53125,8.78125,7.25390625,5.25,2.59375,0.0,3.1875,6.375,15.0,24.25,96.62890625
19,39.493804931640625,38.8671875,38.8515625,38.84375,38.83203125,38.73828125,14.4375,14.5,14.25,14.09375,14.0,13.765625,13.203125,12.71875,11.96875,10.44140625,8.4375,5.78125,3.1875,0.0,3.1875,11.8125,21.0625,96.572265625
20,38.743804931640625,38.1171875,38.1015625,38.09375,38.08203125,37.98828125,17.625,17.6875,17.4375,17.28125,17.1875,16.953125,16.390625,15.90625,15.15625,13.62890625,11.625,8.96875,6.375,3.1875,0.0,8.625,17.875,96.2890625
21,30.743804931640625,30.1171875,30.1015625,30.09375,30.08203125,29.98828125,26.25,26.3125,26.0625,25.90625,25.8125,25.578125,25.015625,24.53125,23.78125,22.25390625,20.25,17.59375,15.0,11.8125,8.625,0.0,9.25,95.4609375
22,31.118804931640625,30.4921875,30.4765625,30.46875,30.45703125,30.36328125,35.5,35.5625,35.3125,35.15625,35.0625,34.828125,34.265625,33.78125,33.03125,31.50390625,29.5,26.84375,24.25,21.0625,17.875,9.25,0.0,91.46875
23,96.50360107421875,96.50343322753906,96.49600219726562,96.4969482421875,96.50848388671875,96.51458740234375,96.515380859375,96.5126953125,96.538330078125,96.543212890625,96.53515625,96.534912109375,96.5155029296875,96.506591796875,96.55859375,96.609375,96.5751953125,96.61376953125,96.62890625,96.572265625,96.2890625,95.4609375,91.46875,0.0
