Layer,Variance_Shift
0,4.837985397898592e-05
1,0.018795272335410118
2,0.02082071080803871
3,0.021427473053336143
4,0.021485740318894386
5,0.018314968794584274
6,0.3424590826034546
7,0.3431541323661804
8,0.3436436653137207
9,0.3434339165687561
10,0.343164324760437
11,0.34291020035743713
12,0.3433306813240051
13,0.35767456889152527
14,0.3573162853717804
15,0.3562523126602173
16,0.3590390086174011
17,0.3129464089870453
18,0.30470991134643555
19,0.30178865790367126
20,0.2992156445980072
21,0.2334671914577484
22,0.2646723985671997
23,2.08435320854187
