,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,1.49501485623462,2.0767621748960967,2.5747832869233704,3.0110586017589895,3.506157672375953,7.1152631066843295,7.709441630982845,8.466680129564365,8.995444926934395,9.974888726592942,10.826481486421253,12.009435384220808,13.47095520978673,15.084838459474156,17.517211693803567,20.284294401788983,22.746734994049447,25.567197046740734,29.053384521571854,32.60775888991297,36.014265421274544,45.43403726401239,257.46666705657185
Layer_1,0.721684024628804,0.0,0.7634310343048789,1.2051680188604694,1.5675526553739005,2.0260164654713786,2.966909763365862,3.4229613297499175,4.023753689313696,4.435241262996715,5.224615152891691,5.870923870221012,6.793745268182028,7.883135000474135,9.092583627411813,10.965381815236285,13.059943057004787,14.809301738754636,16.990706617181953,19.734503437513997,22.538975079073268,25.532285152938304,32.91484134183567,196.76286967009622
Layer_2,0.8284608215020388,0.5340550053227056,0.0,0.6343557491446986,0.950945090017389,1.337452628200509,1.9533923428923647,2.307808241231045,2.7722599861760493,3.0882315379883987,3.6959340339991815,4.181437151047366,4.880246518577932,5.7145856541751545,6.622794190749684,8.043354820951295,9.623543543272776,11.069904909282313,12.714017015124421,14.792185906012659,16.93187325982946,19.196096767078746,24.796392720415394,148.7712038807162
Layer_3,0.8674071943242466,0.673943754496094,0.49047330788273386,0.0,0.5360008252145422,0.8997522479290849,1.4322581308772582,1.721215052940531,2.0892127719109026,2.3370803517459553,2.8099414993757894,3.19360520740106,3.7405370734540484,4.384516617199322,5.10417415937569,6.2219840025530795,7.465934195741096,8.601892980564626,9.898161845164257,11.531954088921823,13.200919209885656,14.973665074966268,19.34790173092404,115.88053867799351
Layer_4,0.8900473076822717,0.7436712852859966,0.6156347807951388,0.4412297627215108,0.0,0.5867845844187568,1.10671684255764,1.3602372708621326,1.6773114981561483,1.894665181197464,2.306671579385956,2.634573002119322,3.096343571391875,3.639360471205278,4.244002135243209,5.181029974291502,6.216289799102109,7.160215290719422,8.259133672050332,9.632210978321321,11.04610115226227,12.549783737907442,16.229433734528264,97.56550737485644
Layer_5,0.9078580068331288,0.8034649717817534,0.7139290909509401,0.611752091617881,0.4763815728589026,0.0,0.8105607872903591,1.0633100820895982,1.3292058801963424,1.5178235493948184,1.8577481172399184,2.1379139808042433,2.5162558116256752,2.9604738381531863,3.4676029715354475,4.2359903641746826,5.085806010493873,5.845603820635197,6.75297093723369,7.886229655666492,9.048781929203567,10.277492727831092,13.295188889749513,80.19098195318898
Layer_6,0.9345200268290845,0.895306941771683,0.84132207728721,0.7727271972085296,0.6932566379251097,0.5741415856608986,0.0,0.534595188159224,0.7838582456063091,0.9594053115930643,1.2425230029759888,1.4808746726663262,1.7946646327761526,2.1585704391848153,2.5798307289167273,3.2157235280301704,3.915381344881925,4.601242429403669,5.352375362858628,6.282618587081497,7.231059111502208,8.253389971262115,10.72288922849588,65.20811523949875
Layer_7,0.947638797965038,0.9195030047012879,0.8772748813191756,0.8218739499428739,0.7614321598354468,0.6879829845889293,0.46405010390340257,0.0,0.5297943911134562,0.7290203912545188,1.003706543246417,1.2190053576235884,1.5006032747679514,1.8271931419599066,2.1972621151114176,2.7593649044864788,3.378059940978604,3.9838838387863444,4.649771290856439,5.471333157323014,6.307927327698904,7.2087865777917814,9.373422953850124,57.1084945016372
Layer_8,0.9556245961509504,0.9357647619512997,0.9022057977589694,0.8585638010433518,0.8108623954333993,0.7524359533769199,0.5804676902186763,0.44794132580628265,0.0,0.4680296899743201,0.7271526925491564,0.9336593279967437,1.1779008169431944,1.458579901102427,1.7918537835621815,2.274017212920068,2.8045140619067066,3.328268252465688,3.8998492308857986,4.601785646902548,5.312968249402995,6.07828832395149,7.913275995574751,48.460343641301435
Layer_9,0.9594104686884681,0.9435006140393375,0.9147537278406548,0.8767347181556071,0.8362364632784588,0.78738895617578,0.6437644566013421,0.5589551074303729,0.4214247744850796,0.0,0.5185905975899083,0.7397954531325169,0.981860826095531,1.2413396555121856,1.5557371124100432,2.004038901137681,2.4892371786509644,2.9702087106712525,3.4919626031324182,4.132316141417532,4.777081161908299,5.474356824701482,7.141609655844198,43.79246420083136
Layer_10,0.9656050282848555,0.9544217901870328,0.9307330410857361,0.9005233930526065,0.8682522627293917,0.827541797157197,0.7053742831989354,0.6482261141043624,0.5539019849825647,0.43561096605368077,0.0,0.4915500517559286,0.7293216451868281,0.9636352695860304,1.253018610893362,1.64876131490056,2.0676400855757193,2.487529367232889,2.9373427817901563,3.481419374667456,4.022037611351357,4.618762966455933,6.041880247926829,37.26712821566795
Layer_11,0.9697278347003665,0.9603661923599868,0.9395728942119714,0.9131678671840758,0.8851899092652386,0.851031788736948,0.745379456284591,0.6995494152365114,0.6298423915198355,0.552445239897735,0.4314807186987828,0.0,0.4998944253339619,0.7441117830397553,1.015098696161156,1.3788410180128567,1.7594317987646655,2.1396256660848834,2.5459285750924123,3.0364488190456456,3.5201911875500627,4.053618428162333,5.324204833853157,33.023411081424996
Layer_12,0.9728398536386107,0.9668967393360404,0.9496421615282694,0.9272042807255682,0.9035640498051186,0.8733393072984338,0.7809080327269877,0.7450827028202679,0.6874639492948752,0.6344213572610704,0.5530925016243081,0.4295329004648179,0.0,0.4810286457425351,0.7571223305933403,1.0896137366033205,1.426251678169994,1.7657313180887533,2.127212854411932,2.5570738171086167,2.979877331528285,3.4454133266508333,4.5448538981725894,28.470851901317598
Layer_13,0.9760776819214286,0.9713993071045278,0.9567500111707208,0.9375286241909405,0.9175014599340066,0.8908268703387273,0.8093152972736093,0.7812579752088668,0.7357791877007699,0.692808097937769,0.6324414951112014,0.5517061272671142,0.4123715039504346,0.0,0.4966302751079141,0.8149243217330795,1.1160949237223632,1.4214068576998637,1.7450302979869983,2.1223290526993837,2.4916425014889505,2.8995898834122293,3.8545250443529633,24.551088022267983
Layer_14,0.9807059496860833,0.9762440892050834,0.9643003572995891,0.948253541086464,0.9315861655394627,0.9094186546273353,0.8373789911773926,0.8148781011379908,0.7807622247792775,0.7501715585211083,0.7076797307660402,0.648867765183726,0.5600420776495282,0.42551238777498845,0.0,0.523775848939124,0.8168678619547226,1.091784338498096,1.3815415777406372,1.7183458746504725,2.0455414526390308,2.409527992050146,3.2533344886617326,21.187976646579553
Layer_15,0.9847672156971269,0.9811749630634361,0.971759217572349,0.9591700015353141,0.9462301298597618,0.9285875715553321,0.8658151416677027,0.8490739743988793,0.8229026023136798,0.8016185966502634,0.7723073647902893,0.7305285955529834,0.6680339879427261,0.5804091888700325,0.4313767432775974,0.0,0.47307360950890964,0.73361383550583,0.9933207903505836,1.279767199679538,1.5632451232782063,1.8777381132900666,2.5925917615663994,17.505764002882
Layer_16,0.9872585976836528,0.9843733625564294,0.9769832549477874,0.9669127884114208,0.9565292129645476,0.9414796210233546,0.8863168238226651,0.8738039672911704,0.852545165507936,0.8360599519091488,0.8120807418073425,0.7815031502502654,0.7327481870959763,0.6651385687688254,0.5646735283803198,0.39521145063965757,0.0,0.423726713554865,0.6792271865576042,0.9338216263187605,1.1832552452149887,1.4618564202685906,2.069792699169468,14.688029013531409
Layer_17,0.9887388960247055,0.98522099513289,0.981180421696834,0.9736290470095172,0.9649237267410629,0.950700005237242,0.9530640095106214,0.9435121420462731,0.9261164894658557,0.9134627838392515,0.8940685734604344,0.8699307080959316,0.8317388868253803,0.7771798841392867,0.698115919624363,0.5734318802827308,0.4064567892596333,0.0,0.41388917154801075,0.6658054072284777,0.895198748797105,1.1550953752383357,1.7035442244118106,12.803521982672564
Layer_18,0.991077020800963,0.9871052585108958,0.981373333569729,0.974756721587185,0.9677725683754336,0.9570974207725025,0.9621842258978242,0.9546199140247998,0.9408782188956802,0.9308733219108457,0.9159078449621052,0.8969438475824398,0.8673914863768413,0.8255610341033811,0.7618391100838964,0.665792854958924,0.548973535046433,0.3594545727133458,0.0,0.4077913097237877,0.6348764408230293,0.8799515799066261,1.3870105118560165,11.184335710961344
Layer_19,0.9926815490367273,0.9894191221464471,0.9841162748360224,0.9786866769548521,0.9730796304323164,0.9645417732942505,0.9704368775931662,0.9647967851523197,0.9537673907920438,0.9457461319918714,0.9337090323149035,0.9189721382513679,0.8953601450435847,0.8615990182984373,0.8119293826706189,0.7333744254686323,0.6422414530700197,0.4992905616955519,0.3499618369375068,0.0,0.3864188145214568,0.6186274793380406,1.0750752256894873,9.661622769123799
