Layer,Logit_Lens_KL,Top1_Match_Rate
0,9.796875,0.0
1,9.5390625,0.0
2,9.984375,0.0
3,10.484375,0.0
4,10.8671875,0.0
5,10.94921875,0.0
6,11.34765625,0.0
7,11.73046875,0.0
8,11.4140625,0.0
9,11.26171875,0.0
10,10.3828125,0.0
11,9.28515625,0.0
12,8.4609375,0.0
13,8.31640625,0.0
14,8.021484375,0.0
15,6.26953125,0.0
16,5.408203125,0.0
17,4.169921875,0.078125
18,3.7255859375,0.34375
19,3.365234375,0.296875
20,5.7099609375,0.359375
21,2.9130859375,0.546875
22,1.89111328125,0.234375
23,0.4625244140625,0.921875
