Layer,Attn_vs_MLP_Ratio
MoE_Layer_0,0.8932214024198629
MoE_Layer_1,0.12387021780002451
MoE_Layer_2,0.5939050212108913
MoE_Layer_3,0.5529814227184989
MoE_Layer_4,0.48916443036193563
MoE_Layer_5,0.3743377587067427
MoE_Layer_6,0.27875429361776943
MoE_Layer_7,0.5191412860234702
MoE_Layer_8,0.6460592653639969
MoE_Layer_9,0.634695806919891
MoE_Layer_10,0.6931721906274405
MoE_Layer_11,0.5001570615093133
MoE_Layer_12,0.5442995460758673
MoE_Layer_13,0.5869599274771079
MoE_Layer_14,0.5831327138662709
MoE_Layer_15,0.5333254205691077
MoE_Layer_16,0.4468318631382548
MoE_Layer_17,0.2551304112656078
MoE_Layer_18,0.453040855050374
MoE_Layer_19,0.45437421276333445
MoE_Layer_20,0.4785853950640478
MoE_Layer_21,0.4043651278754223
MoE_Layer_22,0.48309697700960536
MoE_Layer_23,0.5042543906167808
