Layer,SVD_Entropy_O_Proj
0,0.9341896772384644
1,0.9514458179473877
2,0.9595420956611633
3,0.9580878615379333
4,0.9585751295089722
5,0.9653735756874084
6,0.9658080339431763
7,0.9599622488021851
8,0.9631270170211792
9,0.9589924812316895
10,0.9592257142066956
11,0.9550759196281433
12,0.9610253572463989
13,0.9589875936508179
14,0.9570233225822449
15,0.9650484323501587
16,0.9641246199607849
17,0.9644069671630859
18,0.9693440198898315
19,0.9681429862976074
20,0.9700210690498352
21,0.9711781740188599
22,0.9657707810401917
23,0.9637451767921448
