,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.042935351494699715,0.06159214871376753,0.06899412912875413,0.0692685876339674,0.059723903313279154,1.6668548667430878,1.6752369561195373,1.6871369683742523,1.6950130848884581,1.7075628385543824,1.7174251329898835,1.7283387312889098,1.7995030517578126,1.8211458566188812,1.8533857684135437,1.958169585943222,1.8758968062400818,1.9533382167816162,2.0406633694171905,2.1271534950733186,1.8589708318710327,2.1065079400539397,34.32777639770508
Layer_1,0.042935351494699715,0.0,0.01145068366266787,0.017237043796107174,0.017242713879793883,0.0140371960606426,1.6997324719429017,1.70901700091362,1.7221872315406799,1.7299827411174775,1.7435279853343963,1.7537964899539948,1.7647115709781647,1.8362510423660279,1.8574181385040283,1.888915380716324,1.991941311120987,1.9080692474842071,1.9846422822475434,2.0691359741687774,2.152836011171341,1.8754852190017701,2.116340707540512,34.343075744628905
Layer_2,0.06159214871376753,0.01145068366266787,0.0,0.0012262425415683537,0.0020791086463723333,0.004415276504121721,1.7334964821338654,1.7432084858417511,1.7569073970317841,1.7646038877964019,1.778572580099106,1.7888895244598388,1.7996111600399016,1.8700649807453156,1.8905803539752961,1.9213307390213012,2.0224921624660492,1.9170563611984253,1.9863851571083069,2.0674812948703765,2.1497117850780487,1.8686987752914428,2.1097803690433503,34.37700932312012
Layer_3,0.06899412912875413,0.017237043796107174,0.0012262425415683537,0.0,0.000981528554810211,0.004381674468982965,1.7355122044086457,1.7452010078430176,1.7588634974956512,1.766451003074646,1.7803849551677704,1.7905722210407258,1.8010646460056305,1.8711563222408294,1.891322114944458,1.921619844675064,2.021962420463562,1.9162803592681885,1.9839030561447144,2.0642190351486205,2.145916994333267,1.8646528208255768,2.1054450669288634,34.38046101379395
Layer_4,0.0692685876339674,0.017242713879793883,0.0020791086463723333,0.000981528554810211,0.0,0.0028947153869085013,1.7295201272964478,1.7390593326091766,1.7524873046875,1.7600126395225524,1.7737765612602234,1.7837423751354218,1.793947944164276,1.8637896449565887,1.8836537153720856,1.9135546629428863,2.013536583185196,1.9094571845531463,1.9773309679031372,2.0576904640197755,2.1392867345809936,1.8585206937789918,2.0987046144008636,34.36826773834228
Layer_5,0.059723903313279154,0.0140371960606426,0.004415276504121721,0.004381674468982965,0.0028947153869085013,0.0,1.6980433332920075,1.7074227294921875,1.7202173874378204,1.7276536507606506,1.7408227288722993,1.7504816772937775,1.7601998517513275,1.829752461194992,1.8493025040626525,1.8786738045215607,1.9782793338298799,1.883848313331604,1.9535173375606536,2.03478556227684,2.116639306783676,1.8394000787734985,2.0793252489566805,34.345192123413085
Layer_6,1.6668548667430878,1.6997324719429017,1.7334964821338654,1.7355122044086457,1.7295201272964478,1.6980433332920075,0.0,0.002717959385830909,0.005765912654809654,0.008378845951519907,0.013511284615844488,0.019373353872448207,0.02851125756651163,0.042658446826040745,0.06286036709696055,0.09461079108715058,0.1427474945783615,0.43122403156757355,0.5319000632762909,0.6393952652215957,0.7507125871181488,0.9428113687038422,1.3742382633686065,36.27513852691651
Layer_7,1.6752369561195373,1.70901700091362,1.7432084858417511,1.7452010078430176,1.7390593326091766,1.7074227294921875,0.002717959385830909,0.0,0.003386504167225212,0.00622703848965466,0.011301844799891114,0.01694028552994132,0.025819995440542698,0.039705430001020434,0.059597448490560055,0.09101297540962697,0.1389884369969368,0.42870539712905886,0.5296185656785964,0.6373233418464661,0.7487388836145401,0.9417619111537934,1.3737074539661407,36.26471406555176
Layer_8,1.6871369683742523,1.7221872315406799,1.7569073970317841,1.7588634974956512,1.7524873046875,1.7202173874378204,0.005765912654809654,0.003386504167225212,0.0,0.003484411282930523,0.008111193398945034,0.013538013624027371,0.02183250977471471,0.03525245733559132,0.05480149491876364,0.08549706241488457,0.1325451309531927,0.4232507709264755,0.5239370669722557,0.6315537446737289,0.7425286489725113,0.9367137829065323,1.3662300598621369,36.25756820678711
Layer_9,1.6950130848884581,1.7299827411174775,1.7646038877964019,1.766451003074646,1.7600126395225524,1.7276536507606506,0.008378845951519907,0.00622703848965466,0.003484411282930523,0.0,0.005064250043593347,0.010478856585919858,0.01861998179554939,0.031443657606840134,0.0508265523314476,0.08115128362178803,0.12743841689825058,0.41859091889858246,0.5188914244174957,0.6261029461622238,0.7367270057201385,0.9314952632188797,1.3609519743919372,36.24829418945313
Layer_10,1.7075628385543824,1.7435279853343963,1.778572580099106,1.7803849551677704,1.7737765612602234,1.7408227288722993,0.013511284615844488,0.011301844799891114,0.008111193398945034,0.005064250043593347,0.0,0.00630720001179725,0.014084429426118731,0.02644132249802351,0.0454688483029604,0.07518110786378383,0.12044200178980827,0.4126418939232826,0.5128753151297569,0.6197974810600281,0.729944247841835,0.9258608795404434,1.3532242062091828,36.228294471740725
Layer_11,1.7174251329898835,1.7537964899539948,1.7888895244598388,1.7905722210407258,1.7837423751354218,1.7504816772937775,0.019373353872448207,0.01694028552994132,0.013538013624027371,0.010478856585919858,0.00630720001179725,0.0,0.008612508347257972,0.020640643741935492,0.03890459854900837,0.0676057808548212,0.11199306057393552,0.40379962795972824,0.5032672095894813,0.6098605198860169,0.7191169228553772,0.9151129353046418,1.3411679546833037,36.20834523773193
Layer_12,1.7283387312889098,1.7647115709781647,1.7996111600399016,1.8010646460056305,1.793947944164276,1.7601998517513275,0.02851125756651163,0.025819995440542698,0.02183250977471471,0.01861998179554939,0.014084429426118731,0.008612508347257972,0.0,0.01249911510385573,0.02996001771837473,0.05698837128281593,0.0995857774913311,0.39032155406475066,0.48864567881822585,0.5942345473766327,0.7025853618383407,0.8982572116851807,1.3216758036613465,36.16271263122559
Layer_13,1.7995030517578126,1.8362510423660279,1.8700649807453156,1.8711563222408294,1.8637896449565887,1.829752461194992,0.042658446826040745,0.039705430001020434,0.03525245733559132,0.031443657606840134,0.02644132249802351,0.020640643741935492,0.01249911510385573,0.0,0.01676332763582468,0.04182938976585865,0.07985981826484204,0.3536870591044426,0.45008472645282743,0.5543326312303543,0.661579291343689,0.8653721171617508,1.2894480006694793,36.179375480651856
Layer_14,1.8211458566188812,1.8574181385040283,1.8905803539752961,1.891322114944458,1.8836537153720856,1.8493025040626525,0.06286036709696055,0.059597448490560055,0.05480149491876364,0.0508265523314476,0.0454688483029604,0.03890459854900837,0.02996001771837473,0.01676332763582468,0.0,0.022767548710107804,0.05750525613129139,0.3260574935078621,0.4183398867249489,0.5194885707497596,0.6245584616661072,0.8265808990001678,1.2474712150096894,36.04892825317383
Layer_15,1.8533857684135437,1.888915380716324,1.9213307390213012,1.921619844675064,1.9135546629428863,1.8786738045215607,0.09461079108715058,0.09101297540962697,0.08549706241488457,0.08115128362178803,0.07518110786378383,0.0676057808548212,0.05698837128281593,0.04182938976585865,0.022767548710107804,0.0,0.030706778574734927,0.2928540305197239,0.3792296517491341,0.4746323742866516,0.5757999412417412,0.7752006376981735,1.1880546550750732,35.88482386016846
Layer_16,1.958169585943222,1.991941311120987,2.0224921624660492,2.021962420463562,2.013536583185196,1.9782793338298799,0.1427474945783615,0.1389884369969368,0.1325451309531927,0.12743841689825058,0.12044200178980827,0.11199306057393552,0.0995857774913311,0.07985981826484204,0.05750525613129139,0.030706778574734927,0.0,0.25318182703852654,0.3315100080370903,0.4199405391812325,0.5157971980571747,0.7191059800386429,1.1206159632205963,35.7844711227417
Layer_17,1.8758968062400818,1.9080692474842071,1.9170563611984253,1.9162803592681885,1.9094571845531463,1.883848313331604,0.43122403156757355,0.42870539712905886,0.4232507709264755,0.41859091889858246,0.4126418939232826,0.40379962795972824,0.39032155406475066,0.3536870591044426,0.3260574935078621,0.2928540305197239,0.25318182703852654,0.0,0.04555364863574505,0.11509204904735089,0.19543553251028062,0.36060273957252503,0.7377813193798065,35.614263275146484
Layer_18,1.9533382167816162,1.9846422822475434,1.9863851571083069,1.9839030561447144,1.9773309679031372,1.9535173375606536,0.5319000632762909,0.5296185656785964,0.5239370669722557,0.5188914244174957,0.5128753151297569,0.5032672095894813,0.48864567881822585,0.45008472645282743,0.4183398867249489,0.3792296517491341,0.3315100080370903,0.04555364863574505,0.0,0.05539615494757891,0.12492112646996975,0.27564865002036093,0.6324755990505219,35.233969650268556
