,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.2967737067937851,0.419658992767334,0.4779958199262619,0.5116684824824334,0.5452930048704148,0.6213454577326775,0.6586969808340073,0.6755084833502769,0.6830528673529624,0.6975676913261414,0.7062441276311875,0.7097285086512566,0.7159048019647598,0.7388139093220234,0.7536865197420121,0.7585054723620415,0.770034011542797,0.7922897475659847,0.8092218717336654,0.822831395149231,0.8395024501979351,0.8715675332248211,0.9806467718658969
Layer_1,0.2967737067937851,0.0,0.1499190183877945,0.2407316368818283,0.3042652883529663,0.3729762283563614,0.46551458489894865,0.5138493737578392,0.5463448386192322,0.5631843061447144,0.593356717467308,0.6099725236296654,0.6291130498051644,0.6435600544810295,0.6650044612288475,0.6868858522176743,0.7006810238361358,0.7121777310967445,0.7281660904288292,0.7508565261363983,0.7667612907588481,0.7844069413840771,0.8189466380774975,0.9573532557338477
Layer_2,0.419658992767334,0.1499190183877945,0.0,0.12561798083782197,0.20686306583881378,0.29040003192424774,0.3951992485523224,0.448988894701004,0.48915264880657194,0.5119610807299614,0.546656488955021,0.5657958521842956,0.5884829216599464,0.6060191057920455,0.6302711631059646,0.6538506729602813,0.6715336015224457,0.6839010235667229,0.6996173293590545,0.725036294400692,0.7427502616643905,0.7608701550364494,0.7974176445901394,0.9496533406004309
Layer_3,0.4779958199262619,0.2407316368818283,0.12561798083782197,0.0,0.10851547694206237,0.20912245333194732,0.32806579184532164,0.3861725972890854,0.43132181811332704,0.45713999831676483,0.4961701134443283,0.5182907608151436,0.5433129678964614,0.5626432552337647,0.5903480089902878,0.6172830898165703,0.6365242539048195,0.6498648366332054,0.6678605315685272,0.696264488041401,0.7139630786776543,0.7320735568702221,0.7673686918914318,0.9475429097786546
Layer_4,0.5116684824824334,0.3042652883529663,0.20686306583881378,0.10851547694206237,0.0,0.1268994117975235,0.2624011790752411,0.3278954246044159,0.3790868586301804,0.40915137696266174,0.4540116188526154,0.47975483751297,0.5073853402137757,0.5292049204707145,0.5608861012458801,0.592022873878479,0.6133414863944053,0.6298870115280152,0.6510155608057976,0.6803971653580666,0.6995472524762154,0.7186037104725838,0.753166469246149,0.9437748616859317
Layer_5,0.5452930048704148,0.3729762283563614,0.29040003192424774,0.20912245333194732,0.1268994117975235,0.0,0.17879370236396788,0.2658860875368118,0.322708291888237,0.3592729684114456,0.4061989920139313,0.43826902532577516,0.46737089490890504,0.49157628160715106,0.5269685850143433,0.561064015507698,0.5832630472779274,0.603449030816555,0.6295817201137542,0.6604569126367569,0.6808586695194244,0.7020099447369575,0.7353342480063438,0.944335739351809
Layer_6,0.6213454577326775,0.46551458489894865,0.3951992485523224,0.32806579184532164,0.2624011790752411,0.17879370236396788,0.0,0.12552842998504637,0.198018386721611,0.24747307646274566,0.3026065764427185,0.34352471721172334,0.38208880054950717,0.41330609571933746,0.45435999405384064,0.493606516122818,0.5236558589339256,0.553614199757576,0.5892539913058281,0.6263315771818161,0.6507564755678177,0.6800231226086616,0.7156955944299698,0.9342880449220539
Layer_7,0.6586969808340073,0.5138493737578392,0.448988894701004,0.3861725972890854,0.3278954246044159,0.2658860875368118,0.12552842998504637,0.0,0.11486054337024688,0.1818590942621231,0.25104422962665557,0.2986305381059647,0.3446252304315567,0.38270233714580537,0.4288304942846298,0.4738560335636139,0.5102600958943367,0.5445335322022438,0.5831683720350266,0.6222119469046593,0.6485686590671539,0.6790937204957008,0.7186289786100387,0.9287109372168779
Layer_8,0.6755084833502769,0.5463448386192322,0.48915264880657194,0.43132181811332704,0.3790868586301804,0.322708291888237,0.198018386721611,0.11486054337024688,0.0,0.09925777995586395,0.17693260300159455,0.23521857368946075,0.2865531460046768,0.33263665771484374,0.3874843991994858,0.4378698515892029,0.4767507971525192,0.5133790779709816,0.5546950029730797,0.5965994841456413,0.6237556979060173,0.6561262920498848,0.6919716427922249,0.9258986987620592
Layer_9,0.6830528673529624,0.5631843061447144,0.5119610807299614,0.45713999831676483,0.40915137696266174,0.3592729684114456,0.24747307646274566,0.1818590942621231,0.09925777995586395,0.0,0.10729591488838196,0.17756385040283204,0.2392866587638855,0.28850769793987274,0.3520325039625168,0.40907504737377165,0.45137521576881406,0.4920991096496582,0.5356383992433548,0.5789660357832909,0.6074472751617431,0.6423164346814155,0.6836202807426452,0.9214755956083536
