,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,1.5608794786930085,2.156246628284454,2.639157991886139,3.1204497952461243,3.667185688972473,6.7792538604736325,7.3954769220352174,8.185157832145691,8.699926561355591,9.663491662979126,10.547474534988403,11.78616883468628,13.209565008163452,15.043973020553588,17.46972996902466,20.266337169647215,22.958656230926515,26.078162063598633,29.50704276275635,32.903055793762206,36.32863255310058,45.71784712982178,255.80658251953125
Layer_1,0.7099758185148239,0.0,0.7482626008987426,1.1622451674938201,1.551106465101242,2.019115480184555,2.9002667622566225,3.3698632698059083,3.9820083723068236,4.372715528488159,5.126326835632324,5.78312223148346,6.72824508857727,7.754407147407532,9.103681344985961,10.9276674118042,13.00077145576477,14.886376708984375,17.23840002822876,19.848632194519045,22.446642925262452,25.331839614868166,32.487832248687745,190.63874160766602
Layer_2,0.818071779370308,0.5291278382539749,0.0,0.6110846592187882,0.947127656340599,1.3377550802230835,1.9220663440227508,2.286267894744873,2.755853964328766,3.058952398777008,3.6350239315032957,4.133903851032257,4.850418713569641,5.6339427919387814,6.660970316886901,8.042301474571229,9.606229549407958,11.143748012542725,12.91788766670227,14.888589056015014,16.85842259788513,19.0391676902771,24.46792890548706,144.14490496826173
Layer_3,0.8586852020025253,0.6641710873842239,0.478509078502655,0.0,0.5513376073837281,0.915903672337532,1.4264950296878816,1.7255864160060883,2.099772341251373,2.340465392112732,2.793905993461609,3.193110113143921,3.7615425453186035,4.3789916486740115,5.202424828529358,6.3023115882873535,7.546802750587464,8.767348262786864,10.181571264266967,11.753889625549316,13.314598804473876,15.042421369552612,19.33183860015869,113.66630715942382
Layer_4,0.8845884442329407,0.7395264216661454,0.6116694061756134,0.44744058620929716,0.0,0.5912154327630996,1.084856217622757,1.3453955533504487,1.6616267628669739,1.8678598892688751,2.2554420647621156,2.589149153709412,3.0602755913734434,3.5698763842582704,4.250745587348938,5.16032262802124,6.184695798873902,7.187775025367737,8.36765266418457,9.667820096969605,10.963920610427856,12.405198612213134,15.958617370605468,94.12763594055176
Layer_5,0.9056455891132354,0.8006112377643585,0.7114631742238998,0.614534517288208,0.48046148669719696,0.0,0.7904251334667206,1.052472990989685,1.318229395389557,1.497127871274948,1.8180218021869659,2.1030697774887086,2.48930641746521,2.9085409989356994,3.4770055527687074,4.225725416183471,5.070318887710571,5.8823233327865605,6.855122475624085,7.932236618995667,8.999337182998657,10.178514766693116,13.102843324661254,77.4901633758545
Layer_6,0.9331754482984543,0.9430398570299149,0.8991717151403427,0.8352339372634888,0.759249492764473,0.6498071506023407,0.0,0.5481202166080474,0.8011815519332885,0.9720830491781235,1.2463507068157196,1.4913485293388367,1.8172763538360597,2.16920294046402,2.649634805202484,3.2756053218841554,3.9810293226242064,4.717200177192688,5.534022123336792,6.43304160785675,7.320818155288697,8.318843680381775,10.749897066116333,64.04643881988525
Layer_7,0.9472601252794266,0.9672106083631515,0.9344790881872177,0.8838819124698639,0.8275987001657485,0.7653751703500747,0.47389883124828336,0.0,0.5392961261272431,0.7342896596193313,0.9973438773155212,1.2179670445919037,1.5088964064121246,1.8224166958332062,2.24446480846405,2.7955997643470765,3.4169661688804625,4.063432876586914,4.782071640968323,5.57123567199707,6.347571646690368,7.220529920578003,9.340757287979127,55.716248390197755
Layer_8,0.9554581899642944,0.9757342915534973,0.9504655472040177,0.9101386740207672,0.8654832056760788,0.8157990742921829,0.5883144698143006,0.45477931994199755,0.0,0.4676046600937843,0.719051390171051,0.9277254074811936,1.1810565130710602,1.454930196285248,1.8280435225963592,2.3027869300842285,2.8344270839691164,3.391271921634674,4.007236008167267,4.684455941200256,5.345638257026672,6.08903515625,7.884651713371277,47.23813345336914
Layer_9,0.9593771115541458,0.9784729268550872,0.9572077977657318,0.9219073370695114,0.8837642583847046,0.8428250036239624,0.6504988355636596,0.5649316234588623,0.4242819442152977,0.0,0.5163776080608368,0.7420306249856948,0.992906541109085,1.2483031384944916,1.6019973456859589,2.043168830394745,2.53044801235199,3.043345322608948,3.6071562514305113,4.226792109489441,4.830278642654419,5.510793304443359,7.149801146507263,42.939312797546386
Layer_10,0.9655344656705857,0.9836703890562057,0.9666614558696747,0.9382137871980667,0.9077765402793885,0.8734141681194305,0.7110070734024048,0.6531077560186386,0.5565452259778977,0.4383889027237892,0.0,0.49357932949066163,0.7418819296360016,0.9796672478914261,1.301481905221939,1.6923415746688844,2.116533758163452,2.567218686103821,3.0574042682647704,3.593404914855957,4.109211840629578,4.698355309486389,6.110037603378296,36.85597967529297
Layer_11,0.9696088129281998,0.9856395974159241,0.970881123304367,0.9460507756471634,0.919628259062767,0.8909670504331588,0.750473120212555,0.7044936528205872,0.632375116944313,0.5558689588308334,0.4317295165657997,0.0,0.5107841047048569,0.7559237246513366,1.056367275238037,1.4122536828517913,1.7962114191055298,2.200699547290802,2.6382795782089232,3.1177504801750184,3.5754507298469544,4.100057227134704,5.351197025299072,32.49674991226196
Layer_12,0.9732429912090301,0.9880398228168488,0.9760906414985657,0.9552217862606048,0.9329138214588165,0.9076171749830246,0.7871737262010574,0.751560405254364,0.6935374013185501,0.6409092844724655,0.5588782612085342,0.4372738661170006,0.0,0.48870345228910445,0.7899456949234008,1.1131358745098114,1.4536579716205598,1.8131786341667175,2.1980663390159605,2.617570526123047,3.0158099851608275,3.472218677043915,4.552600417137146,27.92685778427124
Layer_13,0.9767242856025696,0.9883286397457123,0.9783321515321731,0.9605497207641601,0.9415299705266953,0.9194125287532806,0.8159661366939545,0.7882235248088837,0.7428293541669846,0.7007572417259216,0.6414559386968612,0.561737633228302,0.4220855556130409,0.0,0.5269873994588852,0.8412196435928345,1.1498491644859314,1.4742032895088195,1.8184045267105102,2.1907070746421815,2.5418782362937926,2.9445566582679747,3.8912296690940855,24.222906841278075
Layer_14,0.9816352834701538,0.9899419630765915,0.9819142371416092,0.9673865908384323,0.9520889812707901,0.9338992739915848,0.8458263309001922,0.824279242515564,0.7905901536941529,0.7612559200525284,0.7196737755537033,0.6635310564041138,0.5763614288568497,0.4429825364947319,0.0,0.5256120343208313,0.8224304039478302,1.1089717996120454,1.4105939157009124,1.7357481167316438,2.0413304345607757,2.3924452104568483,3.2128812475204467,20.52145051574707
Layer_15,0.9852798097133636,0.9911808457374572,0.9848494048118591,0.9734030125141144,0.9614608784914017,0.9468471353054047,0.8722938545942307,0.8562953363656998,0.8306711441278458,0.8098974907398224,0.7802079131603241,0.7395100017786026,0.6772115809917449,0.5902762949466706,0.4354892587065697,0.0,0.4904905288815498,0.7621245969533921,1.029579321026802,1.3100236506462097,1.5741058225631714,1.87910901927948,2.578309966087341,17.042836757659913
Layer_16,0.9876599088907242,0.9915876779556274,0.9866177781820297,0.9772748421430588,0.9675974152088165,0.955172559261322,0.8922208832502365,0.8804933723211289,0.8597002242803573,0.8435257308483124,0.8196569807529449,0.7898676115274429,0.742215983748436,0.6771083018779754,0.5727491103410721,0.41023861479759216,0.0,0.4469615317583084,0.7086063525676727,0.9621226788759232,1.1951684560775757,1.4655070421695708,2.063911693572998,14.313302852630615
