,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.01696216733381152,0.02626043913885951,0.033389378536492584,0.04125385122746229,0.05063609477877617,0.07552427437901497,0.08571250604093075,0.09721292568743228,0.1044449556171894,0.11906005136668682,0.133335161074996,0.1519738684296608,0.1730407666862011,0.20465694409608842,0.24201726034283638,0.27928300976753234,0.3172008058428764,0.3697193615436554,0.4297397812008858,0.4865856759548187,0.5506537871360779,0.6751443217992783,3.904084029197693
Layer_1,0.01696216733381152,0.0,0.01829846027866006,0.027203683845698833,0.036000243812799454,0.046126107580959794,0.07329191987216473,0.08395556508004666,0.09568262283504009,0.10303513729572296,0.11780357037484646,0.13215956899523734,0.15086483106017112,0.17198252579569817,0.20359540316462515,0.24102162367105484,0.27831770879030227,0.3162210918664932,0.36880286860466005,0.4288874146938324,0.4858224088549614,0.5500551110506058,0.6747591960430145,3.9036424417495725
Layer_2,0.02626043913885951,0.01829846027866006,0.0,0.01984047843143344,0.030323929328471423,0.04172772671282291,0.07063529414683581,0.08174662192165852,0.09382504214346409,0.10144044806063175,0.11630039964616298,0.1306865285485983,0.14946296107769014,0.17060611137747764,0.20224250933527946,0.2396820405125618,0.2770752826333046,0.3149067204594612,0.36742199820280075,0.42757552641630175,0.48459326261281965,0.5488821501731873,0.673813109755516,3.903266870498657
Layer_3,0.033389378536492584,0.027203683845698833,0.01984047843143344,0.0,0.022855852458626032,0.03686089591681957,0.06718138358741998,0.07875980819761753,0.09127151992917061,0.09915925008058547,0.11429067493975162,0.12873684793710707,0.1475899019241333,0.16884188744425774,0.20053308695554733,0.23801182222366332,0.2755807766318321,0.31352313709259033,0.3660389801859856,0.4263431043624878,0.4834255738258362,0.5477938047647476,0.672968456864357,3.90274743270874
Layer_4,0.04125385122746229,0.036000243812799454,0.030323929328471423,0.022855852458626032,0.0,0.029164573661983013,0.06227812073379755,0.07474586027860641,0.08788708655536175,0.09626245340704918,0.11176118387281894,0.1263451732248068,0.14531085121631623,0.1666190801858902,0.19836500027775764,0.23595672780275345,0.27364162808656695,0.31171965450048444,0.36433617931604384,0.4247365304231644,0.4819503006339073,0.5464882981777192,0.671833646774292,3.901903199672699
Layer_5,0.05063609477877617,0.046126107580959794,0.04172772671282291,0.03686089591681957,0.029164573661983013,0.0,0.05388834556937218,0.06934445099532605,0.08327940423786641,0.09243644210696221,0.10823144999146461,0.12328888124227524,0.1423724663257599,0.1638419359922409,0.19560562336444856,0.23336256062984467,0.27122924381494523,0.3095342597961426,0.36235418593883517,0.4229300489425659,0.4802233397960663,0.5449807758331299,0.6704746127128601,3.9010734353065493
Layer_6,0.07552427437901497,0.07329191987216473,0.07063529414683581,0.06718138358741998,0.06227812073379755,0.05388834556937218,0.0,0.040149694882333276,0.05751829031854868,0.0690782140046358,0.08640993070602417,0.10261631390452385,0.12262317335605621,0.1457216491997242,0.17803098937869072,0.21629299566149712,0.25610366943478585,0.3021892958879471,0.3557134938836098,0.41679255896806716,0.4744110655784607,0.5420250773429871,0.6689537825584412,3.9045938086509704
Layer_7,0.08571250604093075,0.08395556508004666,0.08174662192165852,0.07875980819761753,0.07474586027860641,0.06934445099532605,0.040149694882333276,0.0,0.044285252876579764,0.06022251507639885,0.07980593232810497,0.09697987625002862,0.1176299076527357,0.1415449052453041,0.17435280653834342,0.213037866294384,0.2532846359014511,0.2999266968369484,0.3537589575648308,0.4150458406805992,0.4728942892551422,0.5406557077169418,0.6677380342483521,3.9032804617881776
Layer_8,0.09721292568743228,0.09568262283504009,0.09382504214346409,0.09127151992917061,0.08788708655536175,0.08327940423786641,0.05751829031854868,0.044285252876579764,0.0,0.046034541457891466,0.06927371902763843,0.08878019078075886,0.1106186193972826,0.13586012601852418,0.16954382824897765,0.20890224444866182,0.24975623938441277,0.2967600438594818,0.35095120388269424,0.4125225830674171,0.4706339002251625,0.5386765002012253,0.6660459090471268,3.9020447974205017
Layer_9,0.1044449556171894,0.10303513729572296,0.10144044806063175,0.09915925008058547,0.09626245340704918,0.09243644210696221,0.0690782140046358,0.06022251507639885,0.046034541457891466,0.0,0.05460841415077448,0.07829578088223935,0.10263463668525219,0.1289605924785137,0.16421442821621896,0.20458237007260321,0.24601607254147528,0.293527570784092,0.3480996081233025,0.4098913578391075,0.46812881737947465,0.5364524179697037,0.6643614478111267,3.900925998687744
