,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,1.0,0.703318932056427,0.5804531466960907,0.522108724474907,0.4884529206156731,0.45484955060482024,0.3787853342294693,0.341421870470047,0.32460076063871385,0.317135797560215,0.30267969363927844,0.29396325212717056,0.29053642934560775,0.2842857638001442,0.26144163781404495,0.24653302910923958,0.24177858686447143,0.23021232545375825,0.20790117660164834,0.19092048481106758,0.1773031894862652,0.16055427020788193,0.12852925364673137,0.0193571686828509
Layer_1,0.703318932056427,1.0,0.8501052521467208,0.759306584239006,0.6957732744216919,0.6270685570240021,0.5345398237705231,0.48621924525499344,0.45367174172401425,0.4368498737812042,0.4067181348800659,0.3900860008597374,0.3709356818795204,0.35648074859380724,0.3350420656204224,0.31315496665239334,0.29936705017089843,0.2878657577633858,0.2718690676689148,0.24916098242998122,0.23326264655590057,0.21562517201900483,0.18107067513465883,0.04263648616522551
Layer_2,0.5804531466960907,0.8501052521467208,1.0,0.8744051532745362,0.7931465523242951,0.7095963565111161,0.604805547952652,0.5510196979045868,0.5108435666561126,0.48804585671424866,0.4533634621500969,0.43423638558387756,0.41154528892040254,0.3940075680613518,0.3697670037150383,0.3461718726158142,0.32849320697784423,0.3161239864230156,0.3004027123451233,0.2749742668867111,0.257263937920332,0.23916149526834488,0.20259059637784957,0.05029462108761072
Layer_3,0.522108724474907,0.759306584239006,0.8744051532745362,1.0,0.8914852658510208,0.7908824155330658,0.6719638948440552,0.6138593020439148,0.5687116791009903,0.5429052579402923,0.5038806618452072,0.4817566683292389,0.4567399634718895,0.4373956753611565,0.40969540548324584,0.3827340821623802,0.3635105394721031,0.3501597193479538,0.3321680043935776,0.3037494564652443,0.28605552834272385,0.26795222488045695,0.23264661940932274,0.05242602974921465
Layer_4,0.4884529206156731,0.6957732744216919,0.7931465523242951,0.8914852658510208,1.0,0.8731037456989288,0.7376169422864914,0.6721242843866349,0.6209340702295303,0.5908744938373566,0.5460246886014939,0.5202768714427948,0.49265541219711306,0.47082693231105804,0.4391490141153336,0.40798851937055586,0.38668399810791015,0.37012621837854387,0.3489995414614677,0.3196060924530029,0.300457379758358,0.2814118978381157,0.24684300351142882,0.05617733453959227
Layer_5,0.45484955060482024,0.6270685570240021,0.7095963565111161,0.7908824155330658,0.8731037456989288,1.0,0.8212201112508773,0.7341269464492798,0.677313413977623,0.6407642176151276,0.593833666563034,0.5617838671207428,0.5326878401041031,0.5084756959676743,0.4730815670490265,0.43896312683820726,0.4167690455317497,0.3965795439481735,0.3704550298452377,0.3395666587948799,0.31916265469789507,0.29802800995111467,0.26469710424542425,0.05563541132956743
Layer_6,0.3787853342294693,0.5345398237705231,0.604805547952652,0.6719638948440552,0.7376169422864914,0.8212201112508773,1.0,0.8744922664165496,0.8020136040449143,0.7525759069919586,0.6974302893877029,0.6565230627059937,0.6179730293750763,0.5867669632434845,0.545711305975914,0.5064598050117493,0.47640472412109375,0.44645370757579805,0.4108017683029175,0.3736996311545372,0.3492781210541725,0.32001976764202117,0.28433660954236983,0.06567655595391989
Layer_7,0.341421870470047,0.48621924525499344,0.5510196979045868,0.6138593020439148,0.6721242843866349,0.7341269464492798,0.8744922664165496,1.0,0.8851537231206894,0.8181693185567855,0.7489750025272369,0.7014086772203445,0.6554174834489822,0.6173396435976028,0.5712229365110397,0.5261809649467468,0.4897802437543869,0.4555036704540253,0.41685644030570984,0.37780128997564316,0.3514361753463745,0.3209342392086983,0.2813868362903595,0.07126473104208708
Layer_8,0.32460076063871385,0.45367174172401425,0.5108435666561126,0.5687116791009903,0.6209340702295303,0.677313413977623,0.8020136040449143,0.8851537231206894,1.0,0.9007580347061157,0.8230967625379563,0.764819146990776,0.7134678181409836,0.6673906127214432,0.6125549681186676,0.5621676094532013,0.5232802873849869,0.4866527290344238,0.44532022964954376,0.40340658789873124,0.3762407191991806,0.3439010833501816,0.3080366340279579,0.07408448445796967
Layer_9,0.317135797560215,0.4368498737812042,0.48804585671424866,0.5429052579402923,0.5908744938373566,0.6407642176151276,0.7525759069919586,0.8181693185567855,0.9007580347061157,1.0,0.8927205513715744,0.8224569171667099,0.7607159931659698,0.7115058677196503,0.6479847104549408,0.5909394220113754,0.5486229494810104,0.5078948739767074,0.4643466968536377,0.42101756066083906,0.3925311278700829,0.35770409417152405,0.3163733261823654,0.07849889171123504
