Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.0,4.7661590576171875,163.74441528320312,414.15966796875,5442.189453125,12724.716796875,19220.083984375,34358.56640625,61145.5078125,91753.171875,147335.4375,223136.65625,295060.8125,373940.40625,438392.09375,479553.5,515467.0,630588.875,722434.0625,784262.5625,821380.25,896790.875,975782.0,1047283.1875,1111374.5,1232792.875,1408937.75,1646877.5,1973166.75,2117709.5,2059839.375,1974859.75,2004548.75,750.1886596679688
1,4.7661590576171875,0.0,119.33226013183594,342.5926208496094,5178.728515625,12324.412109375,18729.947265625,33705.83984375,60277.26953125,90691.5703125,145992.4375,221485.828125,293163.5625,371806.1875,436082.25,477139.09375,512966.0,627825.875,719479.4375,781187.3125,818236.3125,893507.0,972358.0,1043736.6875,1107724.0,1228948.875,1404831.875,1642436.125,1968304.25,2112671.5,2054874.0,1970001.0,1999657.375,848.9381713867188
2,163.74441528320312,119.33226013183594,0.0,60.91596603393555,3760.561767578125,10087.103515625,15953.1591796875,29951.927734375,55231.30078125,84486.359375,138098.96875,211745.625,281946.0625,359166.75,422387.34375,462816.5,498118.84375,611405.625,701910.125,762895.25,799535.8125,873960.5,951963.875,1022603.375,1085960.25,1206025.25,1380327.375,1615921.75,1939254.0,2082569.375,2025195.75,1940979.75,1970444.0,1595.9112548828125
3,414.15966796875,342.5926208496094,60.91596603393555,0.0,2874.8447265625,8593.9375,14058.0,27330.91015625,51649.49609375,80042.125,132400.15625,204674.71875,273777.625,349940.3125,412377.28125,452336.09375,487247.0625,599359.0625,689002.0625,749439.375,785767.0,859564.8125,936940.3125,1007031.5,1069918.25,1189122.5,1362249.25,1596354.75,1917807.0,2060337.375,2003278.0,1919533.0,1948840.375,2254.07177734375
4,5442.189453125,5178.728515625,3760.561767578125,2874.8447265625,0.0,1545.288818359375,4253.23876953125,12548.6025390625,30279.765625,52759.17578125,96513.4375,159374.640625,220950.25,289857.25,346921.0625,383665.78125,415896.875,519968.0,603722.5,660412.3125,694598.25,764096.75,837172.875,903504.5,963167.8125,1076451.75,1241528.625,1465409.5,1773959.75,1911116.375,1856210.75,1775725.0,1803989.0,10116.587890625
5,12724.716796875,12324.412109375,10087.103515625,8593.9375,1545.288818359375,0.0,677.3925170898438,5300.6669921875,18169.212890625,36282.1640625,73682.5625,129595.7734375,185614.421875,249163.703125,302259.65625,336624.0625,366870.1875,464986.0625,544376.875,598288.4375,630886.75,697208.8125,767110.0625,830661.625,887945.0,996861.0,1155988.0,1372323.625,1671355.0,1804543.75,1751221.375,1673117.625,1700586.25,19453.29296875
6,19220.083984375,18729.947265625,15953.1591796875,14058.0,4253.23876953125,677.3925170898438,0.0,2194.061767578125,11846.630859375,27072.04296875,60272.03125,111591.671875,163935.921875,223941.828125,274413.4375,307202.1875,336132.875,430311.40625,506815.09375,558887.4375,590432.5,654656.5,722456.5625,784172.125,839878.375,945910.625,1101097.625,1312449.75,1605181.125,1735745.25,1683472.75,1606943.5,1633889.25,27302.76953125
7,34358.56640625,33705.83984375,29951.927734375,27330.91015625,12548.6025390625,5300.6669921875,2194.061767578125,0.0,3848.15380859375,13862.1044921875,39479.8046875,82508.8203125,128221.421875,181832.53125,227567.78125,257514.09375,284072.03125,371146.3125,442441.0625,491198.5625,520846.9375,581280.4375,645288.8125,703690.5625,756552.9375,857377.125,1005464.375,1207820.5,1489184.375,1615018.5,1564640.25,1490949.75,1516954.25,44894.0703125
8,61145.5078125,60277.26953125,55231.30078125,51649.49609375,30279.765625,18169.212890625,11846.630859375,3848.15380859375,0.0,3106.29296875,18684.0546875,50735.55859375,87666.59375,132806.578125,172270.90625,198451.71875,221869.578125,299537.375,363933.5625,408299.90625,435438.3125,490854.40625,549848.0,603861.8125,652959.9375,746886.9375,885566.625,1076008.125,1342319.75,1461885.5,1414016.125,1344098.25,1368851.875,74925.203125
9,91753.171875,90691.5703125,84486.359375,80042.125,52759.17578125,36282.1640625,27072.04296875,13862.1044921875,3106.29296875,0.0,6564.9169921875,28756.134765625,57801.38671875,95332.390625,129166.8515625,151965.203125,172563.59375,241781.078125,299982.125,340403.5625,365288.0625,416201.0,470695.1875,520769.90625,566487.625,654222.0,784457.125,964198.1875,1216990.625,1330925.5,1285312.5,1218777.75,1242411.75,108446.921875
