Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.0,0.3385496735572815,0.8372618556022644,1.0919831991195679,2.6717944145202637,3.689551591873169,4.470065116882324,5.689864158630371,7.3784027099609375,8.675603866577148,11.257238388061523,13.613183975219727,15.271074295043945,17.22123908996582,18.78706932067871,21.305692672729492,24.90312385559082,29.03360366821289,31.31545639038086,34.348236083984375,39.71942901611328,43.56559753417969,47.75000762939453,50.7559814453125,57.04182052612305,63.16644287109375,75.92700958251953,82.87998962402344,88.35223388671875,91.29721069335938,94.16690063476562,99.19061279296875,105.37080383300781,1.664597749710083
1,0.3385496735572815,0.0,0.6205180883407593,0.8854877352714539,2.488830327987671,3.5057036876678467,4.2909770011901855,5.526673793792725,7.215831756591797,8.518378257751465,11.09544563293457,13.477320671081543,15.135363578796387,17.104368209838867,18.676986694335938,21.198055267333984,24.807876586914062,28.944772720336914,31.218719482421875,34.28112030029297,39.66146469116211,43.52583694458008,47.72727584838867,50.74027633666992,57.01359939575195,63.14867401123047,75.9140853881836,82.86834716796875,88.34952545166016,91.29725646972656,94.16905212402344,99.18647766113281,105.35539245605469,1.799139380455017
2,0.8372618556022644,0.6205180883407593,0.0,0.5060170888900757,2.080599069595337,3.095445156097412,3.9135165214538574,5.165063858032227,6.883636474609375,8.206388473510742,10.791403770446777,13.22553825378418,14.881708145141602,16.8588809967041,18.42601203918457,20.954862594604492,24.573820114135742,28.747676849365234,31.102025985717773,34.15839767456055,39.54515838623047,43.40703582763672,47.61676025390625,50.61290740966797,56.89177322387695,63.03792190551758,75.7973403930664,82.7654037475586,88.24224853515625,91.18895721435547,94.03978729248047,99.0584716796875,105.2445068359375,2.2280232906341553
3,1.0919831991195679,0.8854877352714539,0.5060170888900757,0.0,1.876807451248169,2.933206796646118,3.7533421516418457,4.991436004638672,6.700465202331543,8.021876335144043,10.614013671875,13.040138244628906,14.694601058959961,16.679157257080078,18.255598068237305,20.785785675048828,24.38898277282715,28.584381103515625,30.935226440429688,33.983543395996094,39.37712860107422,43.24407196044922,47.44146728515625,50.45117950439453,56.73914337158203,62.881309509277344,75.65133666992188,82.61750030517578,88.09650421142578,91.03813171386719,93.88873291015625,98.92247009277344,105.09165954589844,2.4379193782806396
4,2.6717944145202637,2.488830327987671,2.080599069595337,1.876807451248169,0.0,1.4466270208358765,2.336881399154663,3.5959038734436035,5.321648597717285,6.707326412200928,9.302209854125977,11.749271392822266,13.424263000488281,15.414098739624023,16.99056625366211,19.547208786010742,23.168373107910156,27.42339515686035,29.8199462890625,32.892669677734375,38.27242660522461,42.13525390625,46.35572052001953,49.397159576416016,55.68396759033203,61.784645080566406,74.60108947753906,81.54557800292969,87.03180694580078,89.98511505126953,92.8630599975586,97.8968505859375,104.12260437011719,3.9413833618164062
5,3.689551591873169,3.5057036876678467,3.095445156097412,2.933206796646118,1.4466270208358765,0.0,1.2905209064483643,2.6098623275756836,4.3928656578063965,5.78922176361084,8.416017532348633,10.886683464050293,12.564340591430664,14.557235717773438,16.137691497802734,18.680950164794922,22.33717155456543,26.609111785888672,28.98874282836914,32.067935943603516,37.460365295410156,41.30360412597656,45.50675582885742,48.560150146484375,54.86164474487305,60.9241828918457,73.74461364746094,80.65728759765625,86.13968658447266,89.13735961914062,91.9981689453125,97.06282043457031,103.25113677978516,4.914744853973389
6,4.470065116882324,4.2909770011901855,3.9135165214538574,3.7533421516418457,2.336881399154663,1.2905209064483643,0.0,1.8574144840240479,3.6483676433563232,5.083377838134766,7.729661464691162,10.207240104675293,11.89941120147705,13.892005920410156,15.482983589172363,18.012989044189453,21.6740665435791,25.946392059326172,28.345911026000977,31.422632217407227,36.813133239746094,40.666526794433594,44.876190185546875,47.91585159301758,54.21074295043945,60.289451599121094,73.10630798339844,80.07488250732422,85.55167388916016,88.5047378540039,91.3709487915039,96.44815826416016,102.62210845947266,5.634443759918213
7,5.689864158630371,5.526673793792725,5.165063858032227,4.991436004638672,3.5959038734436035,2.6098623275756836,1.8574144840240479,0.0,2.3179869651794434,3.817760467529297,6.449179649353027,8.975103378295898,10.701272010803223,12.689760208129883,14.279200553894043,16.81246566772461,20.476394653320312,24.793737411499023,27.204580307006836,30.29754638671875,35.747520446777344,39.583309173583984,43.77790451049805,46.85212326049805,53.10737228393555,59.24315643310547,72.08322143554688,79.04228210449219,84.52696228027344,87.48697662353516,90.40097045898438,95.43904876708984,101.59120178222656,6.788762092590332
8,7.3784027099609375,7.215831756591797,6.883636474609375,6.700465202331543,5.321648597717285,4.3928656578063965,3.6483676433563232,2.3179869651794434,0.0,2.183253765106201,4.825335502624512,7.408868312835693,9.171773910522461,11.191169738769531,12.774090766906738,15.343719482421875,19.018726348876953,23.368450164794922,25.80704689025879,28.870569229125977,34.35291290283203,38.1751594543457,42.386741638183594,45.507545471191406,51.75684356689453,57.90447235107422,70.74771118164062,77.7276611328125,83.21025085449219,86.19470977783203,89.09893798828125,94.13092803955078,100.32144927978516,8.380491256713867
9,8.675603866577148,8.518378257751465,8.206388473510742,8.021876335144043,6.707326412200928,5.78922176361084,5.083377838134766,3.817760467529297,2.183253765106201,0.0,3.446467161178589,5.990482330322266,7.7538347244262695,9.801861763000488,11.36898136138916,13.951680183410645,17.676694869995117,22.03466796875,24.466794967651367,27.53550148010254,33.06499099731445,36.91168975830078,41.171051025390625,44.31637954711914,50.5910530090332,56.72285842895508,69.57569122314453,76.52813720703125,82.061767578125,85.01280212402344,87.93679809570312,92.984130859375,99.19188690185547,9.63361930847168
