Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.0,88.0,616.0,1008.0,3696.0,5680.0,6992.0,9360.0,12496.0,15312.0,19408.0,23888.0,27472.0,30928.0,33488.0,35024.0,36304.0,40144.0,42960.0,44752.0,45776.0,47824.0,49872.0,51664.0,53200.0,56016.0,59856.0,64720.0,70864.0,73424.0,72400.0,70864.0,71376.0,1328.0
1,88.0,0.0,528.0,920.0,3608.0,5592.0,6904.0,9272.0,12408.0,15224.0,19320.0,23800.0,27384.0,30840.0,33400.0,34936.0,36216.0,40056.0,42872.0,44664.0,45688.0,47736.0,49784.0,51576.0,53112.0,55928.0,59768.0,64632.0,70776.0,73336.0,72312.0,70776.0,71288.0,1416.0
2,616.0,528.0,0.0,392.0,3080.0,5064.0,6376.0,8744.0,11880.0,14696.0,18792.0,23272.0,26856.0,30312.0,32872.0,34408.0,35688.0,39528.0,42344.0,44136.0,45160.0,47208.0,49256.0,51048.0,52584.0,55400.0,59240.0,64104.0,70248.0,72808.0,71784.0,70248.0,70760.0,1944.0
3,1008.0,920.0,392.0,0.0,2688.0,4672.0,5984.0,8352.0,11488.0,14304.0,18400.0,22880.0,26464.0,29920.0,32480.0,34016.0,35296.0,39136.0,41952.0,43744.0,44768.0,46816.0,48864.0,50656.0,52192.0,55008.0,58848.0,63712.0,69856.0,72416.0,71392.0,69856.0,70368.0,2336.0
4,3696.0,3608.0,3080.0,2688.0,0.0,1984.0,3296.0,5664.0,8800.0,11616.0,15712.0,20192.0,23776.0,27232.0,29792.0,31328.0,32608.0,36448.0,39264.0,41056.0,42080.0,44128.0,46176.0,47968.0,49504.0,52320.0,56160.0,61024.0,67168.0,69728.0,68704.0,67168.0,67680.0,5024.0
5,5680.0,5592.0,5064.0,4672.0,1984.0,0.0,1312.0,3680.0,6816.0,9632.0,13728.0,18208.0,21792.0,25248.0,27808.0,29344.0,30624.0,34464.0,37280.0,39072.0,40096.0,42144.0,44192.0,45984.0,47520.0,50336.0,54176.0,59040.0,65184.0,67744.0,66720.0,65184.0,65696.0,7008.0
6,6992.0,6904.0,6376.0,5984.0,3296.0,1312.0,0.0,2368.0,5504.0,8320.0,12416.0,16896.0,20480.0,23936.0,26496.0,28032.0,29312.0,33152.0,35968.0,37760.0,38784.0,40832.0,42880.0,44672.0,46208.0,49024.0,52864.0,57728.0,63872.0,66432.0,65408.0,63872.0,64384.0,8320.0
7,9360.0,9272.0,8744.0,8352.0,5664.0,3680.0,2368.0,0.0,3136.0,5952.0,10048.0,14528.0,18112.0,21568.0,24128.0,25664.0,26944.0,30784.0,33600.0,35392.0,36416.0,38464.0,40512.0,42304.0,43840.0,46656.0,50496.0,55360.0,61504.0,64064.0,63040.0,61504.0,62016.0,10688.0
8,12496.0,12408.0,11880.0,11488.0,8800.0,6816.0,5504.0,3136.0,0.0,2816.0,6912.0,11392.0,14976.0,18432.0,20992.0,22528.0,23808.0,27648.0,30464.0,32256.0,33280.0,35328.0,37376.0,39168.0,40704.0,43520.0,47360.0,52224.0,58368.0,60928.0,59904.0,58368.0,58880.0,13824.0
9,15312.0,15224.0,14696.0,14304.0,11616.0,9632.0,8320.0,5952.0,2816.0,0.0,4096.0,8576.0,12160.0,15616.0,18176.0,19712.0,20992.0,24832.0,27648.0,29440.0,30464.0,32512.0,34560.0,36352.0,37888.0,40704.0,44544.0,49408.0,55552.0,58112.0,57088.0,55552.0,56064.0,16640.0
