Layer,KL_noise
0,0.016802789688110352
1,0.017456913948059084
2,0.016932721138000487
3,0.016828987121582033
4,0.01596843886375427
5,0.015383757114410401
6,0.014349199295043946
7,0.014123229026794434
8,0.01450776195526123
9,0.014105707168579102
10,0.013828346729278565
11,0.013820350646972656
12,0.01374538230895996
13,0.013139211177825927
14,0.012023262023925781
15,0.011295873165130615
16,0.011521005630493164
17,0.010942022323608398
18,0.011294724464416504
19,0.01020466884970665
20,0.009634700067341328
21,0.008849199295043946
22,0.009037924766540526
23,0.009215346932411194
24,0.008313444137573242
25,0.00783579158782959
26,0.006775995969772339
27,0.00654591578245163
28,0.006244983077049255
29,0.004441866874694824
30,0.003226306200027466
31,0.002234161376953125
32,-0.0008901928067207337
33,-0.004029181003570557
