Layer,Outlier_IoU
0,0.0028117187321186066
1,0.0029531249310821295
2,0.0029031250160187483
3,0.002928124973550439
4,0.0029249999206513166
5,0.003204687498509884
6,0.0035226561594754457
7,0.003341406350955367
8,0.003071093698963523
9,0.003108593635261059
10,0.003133593825623393
11,0.003249218687415123
12,0.0030867187306284904
13,0.0030203124042600393
14,0.0029750000685453415
15,0.003148437477648258
16,0.003200781298801303
17,0.0031531250569969416
18,0.0031624999828636646
19,0.0031851562671363354
20,0.0031812500674277544
21,0.003195312572643161
22,0.0032250001095235348
23,0.0033328125718981028
24,0.003451562486588955
25,0.003311718814074993
26,0.0036453125067055225
27,0.0037124999798834324
28,0.0037515624426305294
29,0.0037304686848074198
30,0.003764843801036477
31,0.0038257811684161425
32,0.0038898438215255737
33,0.004086718894541264
