Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,830.80426,677.3792,975.3153,1316.7306,2119.5217,2957.7593,3675.3088,4543.4893,6369.795,8096.4844,11944.217,17052.16,19620.547,21488.445,23719.691,26324.77,29159.955,31890.621,32367.082,32424.637,32461.746,33812.09,31889.887,30665.45,31211.623,33781.582,35652.836,37666.87,43310.297,45950.598,47888.945,49894.383,57508.336,105.976746
1,830.80426,0.0,153.42505,144.51105,485.92633,1288.7175,2126.955,2844.5046,3712.6848,5538.9907,7265.68,11113.412,16221.355,18789.742,20657.64,22888.887,25493.965,28329.15,31059.816,31536.277,31593.832,31630.941,32981.285,31059.082,29834.645,30380.818,32950.777,34822.03,36836.066,42479.492,45119.793,47058.14,49063.58,56677.53,830.84357
2,677.3792,153.42505,0.0,297.9361,639.3514,1442.1426,2280.3801,2997.9297,3866.1099,5692.416,7419.1055,11266.837,16374.78,18943.168,20811.066,23042.312,25647.39,28482.576,31213.242,31689.703,31747.258,31784.367,33134.71,31212.508,29988.07,30534.244,33104.203,34975.457,36989.492,42632.918,45273.22,47211.566,49217.004,56830.957,677.4185
3,975.3153,144.51105,297.9361,0.0,341.41528,1144.2064,1982.444,2699.9937,3568.1738,5394.48,7121.1694,10968.901,16076.845,18645.23,20513.129,22744.375,25349.453,28184.639,30915.305,31391.766,31449.32,31486.43,32836.773,30914.57,29690.133,30236.307,32806.266,34677.52,36691.555,42334.98,44975.28,46913.63,48919.066,56533.02,975.3546
4,1316.7306,485.92633,639.3514,341.41528,0.0,802.79114,1641.0287,2358.5781,3226.7583,5053.0645,6779.754,10627.486,15735.43,18303.816,20171.715,22402.96,25008.04,27843.225,30573.89,31050.352,31107.906,31145.016,32495.36,30573.156,29348.719,29894.893,32464.852,34336.105,36350.14,41993.566,44633.867,46572.215,48577.652,56191.605,1316.7699
5,2119.5217,1288.7175,1442.1426,1144.2064,802.79114,0.0,838.23755,1555.7871,2423.9673,4250.2734,5976.963,9824.695,14932.639,17501.025,19368.924,21600.17,24205.248,27040.434,29771.1,30247.56,30305.115,30342.225,31692.568,29770.365,28545.928,29092.102,31662.06,33533.312,35547.348,41190.773,43831.074,45769.42,47774.86,55388.812,2119.561
6,2957.7593,2126.955,2280.3801,1982.444,1641.0287,838.23755,0.0,717.54956,1585.7297,3412.036,5138.7256,8986.457,14094.4,16662.787,18530.686,20761.932,23367.01,26202.195,28932.861,29409.322,29466.877,29503.986,30854.33,28932.127,27707.69,28253.863,30823.822,32695.076,34709.113,40352.54,42992.84,44931.188,46936.625,54550.58,2957.7986
7,3675.3088,2844.5046,2997.9297,2699.9937,2358.5781,1555.7871,717.54956,0.0,868.1802,2694.4863,4421.176,8268.908,13376.852,15945.238,17813.137,20044.383,22649.46,25484.646,28215.312,28691.773,28749.328,28786.438,30136.781,28214.578,26990.14,27536.314,30106.273,31977.527,33991.562,39634.99,42275.29,44213.637,46219.074,53833.027,3675.3481
8,4543.4893,3712.6848,3866.1099,3568.1738,3226.7583,2423.9673,1585.7297,868.1802,0.0,1826.3062,3552.9956,7400.7275,12508.671,15077.058,16944.957,19176.203,21781.281,24616.465,27347.133,27823.594,27881.148,27918.258,29268.602,27346.398,26121.96,26668.133,29238.094,31109.348,33123.383,38766.81,41407.11,43345.457,45350.895,52964.848,4543.5283
9,6369.795,5538.9907,5692.416,5394.48,5053.0645,4250.2734,3412.036,2694.4863,1826.3062,0.0,1726.6895,5574.4214,10682.365,13250.752,15118.65,17349.896,19954.975,22790.16,25520.826,25997.287,26054.842,26091.951,27442.295,25520.092,24295.654,24841.828,27411.787,29283.041,31297.076,36940.5,39580.8,41519.15,43524.586,51138.54,6369.8345
10,8096.4844,7265.68,7419.1055,7121.1694,6779.754,5976.963,5138.7256,4421.176,3552.9956,1726.6895,0.0,3847.732,8955.676,11524.0625,13391.961,15623.207,18228.285,21063.47,23794.137,24270.598,24328.152,24365.262,25715.605,23793.402,22568.965,23115.139,25685.098,27556.352,29570.387,35213.812,37854.113,39792.46,41797.9,49411.85,8096.524
11,11944.217,11113.412,11266.837,10968.901,10627.486,9824.695,8986.457,8268.908,7400.7275,5574.4214,3847.732,0.0,5107.9434,7676.33,9544.229,11775.475,14380.553,17215.738,19946.404,20422.865,20480.42,20517.53,21867.873,19945.67,18721.232,19267.406,21837.365,23708.62,25722.654,31366.08,34006.383,35944.727,37950.164,45564.117,11944.256
12,17052.16,16221.355,16374.78,16076.845,15735.43,14932.639,14094.4,13376.852,12508.671,10682.365,8955.676,5107.9434,0.0,2568.3867,4436.285,6667.5312,9272.609,12107.795,14838.461,15314.922,15372.477,15409.586,16759.93,14837.727,13613.289,14159.463,16729.422,18600.676,20614.71,26258.137,28898.438,30836.785,32842.223,40456.176,17052.2
13,19620.547,18789.742,18943.168,18645.23,18303.816,17501.025,16662.787,15945.238,15077.058,13250.752,11524.0625,7676.33,2568.3867,0.0,1867.8984,4099.1445,6704.2227,9539.408,12270.074,12746.535,12804.09,12841.199,14191.543,12269.34,11044.902,11591.076,14161.035,16032.289,18046.324,23689.75,26330.05,28268.398,30273.836,37887.79,19620.586
14,21488.445,20657.64,20811.066,20513.129,20171.715,19368.924,18530.686,17813.137,16944.957,15118.65,13391.961,9544.229,4436.285,1867.8984,0.0,2231.246,4836.324,7671.51,10402.176,10878.637,10936.191,10973.301,12323.645,10401.441,9177.004,9723.178,12293.137,14164.391,16178.426,21821.852,24462.152,26400.5,28405.938,36019.89,21488.484
15,23719.691,22888.887,23042.312,22744.375,22402.96,21600.17,20761.932,20044.383,19176.203,17349.896,15623.207,11775.475,6667.5312,4099.1445,2231.246,0.0,2605.0781,5440.2637,8170.9297,8647.391,8704.945,8742.055,10092.398,8170.1953,6945.758,7491.9316,10061.891,11933.145,13947.18,19590.605,22230.906,24169.254,26174.691,33788.645,23719.73
16,26324.77,25493.965,25647.39,25349.453,25008.04,24205.248,23367.01,22649.46,21781.281,19954.975,18228.285,14380.553,9272.609,6704.2227,4836.324,2605.0781,0.0,2835.1855,5565.8516,6042.3125,6099.867,6136.9766,7487.3203,5565.117,4340.6797,4886.8535,7456.8125,9328.066,11342.102,16985.527,19625.828,21564.176,23569.613,31183.566,26324.809
17,29159.955,28329.15,28482.576,28184.639,27843.225,27040.434,26202.195,25484.646,24616.465,22790.16,21063.47,17215.738,12107.795,9539.408,7671.51,5440.2637,2835.1855,0.0,2730.666,3207.127,3264.6816,3301.791,4652.135,2729.9316,1505.4941,2051.668,4621.627,6492.881,8506.916,14150.342,16790.643,18728.99,20734.428,28348.38,29159.994
