Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.0,0.052781943,0.048811674,0.026388012,0.025177002,0.009951047,0.0032421625,0.00024570478,-0.0023977472,-0.004690429,-0.0036716547,-0.0020053354,-0.0005894811,-0.0006952903,0.00039673853,0.00022732641,0.0014112759,0.0005025598,0.0029211317,0.004896397,0.006703455,0.00730808,0.008214725,0.010224364,0.011709392,0.011055135,0.010306915,0.009413309,0.012558507,0.011388361,0.014121357,0.012881481,0.016123509,0.013039041,0.065277606
1,0.052781943,1.0,0.9918994,0.98618436,0.98208976,0.96055686,0.95538086,0.9510518,0.9463102,0.9396051,0.93540215,0.9310206,0.9283564,0.92743367,0.92612994,0.9258651,0.9246079,0.92367524,0.92247313,0.9212526,0.91937065,0.91770846,0.91743845,0.9174471,0.9147842,0.91245455,0.9111325,0.90736365,0.90490013,0.90573657,0.90349054,0.9017017,0.89748794,0.89865977,0.0024474591
2,0.048811674,0.9918994,0.9999999,0.99217474,0.9790603,0.95616007,0.9430759,0.9342751,0.92577237,0.91488814,0.9086904,0.90215915,0.8983166,0.8969883,0.8952408,0.89463896,0.89302576,0.89186513,0.89039516,0.8890053,0.8869824,0.8854338,0.88529694,0.8853681,0.8829086,0.8805635,0.8792981,0.8756325,0.87337905,0.8743184,0.87199193,0.8703574,0.8662836,0.8670307,0.0024758484
3,0.026388012,0.98618436,0.99217474,0.9999998,0.99135286,0.97834337,0.96664745,0.9581533,0.94969547,0.938827,0.9323486,0.92530245,0.921192,0.9197736,0.9179703,0.9171152,0.915403,0.9141707,0.91258794,0.91102874,0.9090565,0.90742046,0.907139,0.90723747,0.9046346,0.9022255,0.9009275,0.89713603,0.8948722,0.8957817,0.89340955,0.8915422,0.88708603,0.8880898,0.0017952928
4,0.025177002,0.98208976,0.9790603,0.99135286,1.0,0.988075,0.9829427,0.97790664,0.972282,0.9644694,0.95958906,0.95412886,0.9507464,0.9496457,0.9480274,0.94734025,0.9459434,0.94486386,0.9435302,0.94212085,0.94025254,0.9386555,0.9383522,0.9383073,0.93568003,0.93342644,0.9321566,0.9281546,0.92558044,0.92632276,0.92405355,0.9218111,0.91716385,0.9185685,0.0041451515
5,0.009951047,0.96055686,0.95616007,0.97834337,0.988075,1.0,0.9943794,0.98839414,0.98224753,0.9733197,0.96765065,0.96089417,0.95693237,0.9555175,0.9539006,0.95278186,0.95109504,0.9497703,0.9481669,0.94665027,0.94510096,0.9433705,0.94269115,0.9428278,0.94002885,0.9379264,0.9367915,0.93263,0.93004483,0.93068886,0.9283858,0.9256654,0.9207144,0.92233896,0.001134923
6,0.0032421625,0.95538086,0.9430759,0.96664745,0.9829427,0.9943794,0.99999994,0.9973333,0.9941378,0.9886278,0.98467445,0.97980464,0.97667307,0.9756673,0.97427857,0.97326833,0.97178394,0.97074044,0.9694881,0.968177,0.9667697,0.96491075,0.96417946,0.9641229,0.9614801,0.9594894,0.9582306,0.95408726,0.9514966,0.9520113,0.94975173,0.9467189,0.9415153,0.9434038,0.0013347369
7,0.00024570478,0.9510518,0.9342751,0.9581533,0.97790664,0.98839414,0.9973333,1.0,0.9982457,0.99478096,0.9917947,0.9879864,0.9854781,0.9845966,0.9834212,0.9824851,0.981241,0.980268,0.9791123,0.9779326,0.9765876,0.9748138,0.97404504,0.97386926,0.9710646,0.96902025,0.9676148,0.96334743,0.96082747,0.96132594,0.9590318,0.955976,0.95086116,0.9530617,0.0021696887
8,-0.0023977472,0.9463102,0.92577237,0.94969547,0.972282,0.98224753,0.9941378,0.9982457,0.99999994,0.9981337,0.9960769,0.99311453,0.9909066,0.9902035,0.98921645,0.9884137,0.9873191,0.9863924,0.9853396,0.9842225,0.98289,0.9810878,0.980316,0.9801303,0.9773048,0.9752895,0.9737278,0.9694414,0.96677536,0.9672778,0.9649629,0.9617736,0.9567081,0.95894116,-0.0001080432
9,-0.004690429,0.9396051,0.91488814,0.938827,0.9644694,0.9733197,0.9886278,0.99478096,0.9981337,0.99999976,0.9989842,0.99742657,0.9959469,0.9954531,0.9947202,0.99405164,0.99319357,0.99243724,0.99151754,0.99050814,0.9892732,0.9875628,0.98670274,0.9863205,0.983342,0.9813412,0.9797247,0.97539586,0.97269416,0.973221,0.9709901,0.96773773,0.962724,0.96521425,-0.00075935666
10,-0.0036716547,0.93540215,0.9086904,0.9323486,0.95958906,0.96765065,0.98467445,0.9917947,0.9960769,0.9989842,0.9999998,0.9988958,0.9977344,0.99735725,0.99676293,0.99620175,0.99547327,0.99477476,0.99391454,0.9929679,0.9917398,0.99003,0.9892539,0.98880774,0.9858214,0.98386997,0.9821298,0.9778679,0.9751788,0.975744,0.97346795,0.9702557,0.96523404,0.96790403,0.0007723165
11,-0.0020053354,0.9310206,0.90215915,0.92530245,0.95412886,0.96089417,0.97980464,0.9879864,0.99311453,0.99742657,0.9988958,1.0,0.99910873,0.99893343,0.99851507,0.9980593,0.9974805,0.9969134,0.9961465,0.9953122,0.99415886,0.99251777,0.9916869,0.9912673,0.98826647,0.98629737,0.9845489,0.980378,0.9776369,0.97818923,0.9759576,0.9726648,0.96770734,0.97055435,0.0017214143
12,-0.0005894811,0.9283564,0.8983166,0.921192,0.9507464,0.95693237,0.97667307,0.9854781,0.9909066,0.9959469,0.9977344,0.99910873,0.9999999,0.9994054,0.9990236,0.9985181,0.9980686,0.9974629,0.99688387,0.9959971,0.9948648,0.9931986,0.99242675,0.9918757,0.98894936,0.9869569,0.985196,0.98093873,0.97826266,0.97874254,0.9765196,0.9731078,0.9680769,0.9710082,0.0020234191
13,-0.0006952903,0.92743367,0.8969883,0.9197736,0.9496457,0.9555175,0.9756673,0.9845966,0.9902035,0.9954531,0.99735725,0.99893343,0.9994054,1.0,0.9994601,0.9990172,0.99853855,0.9980392,0.9973865,0.99658257,0.99547774,0.99387634,0.9930425,0.99251133,0.9895694,0.98756105,0.98578614,0.98168695,0.97887486,0.9794824,0.9773255,0.973893,0.96895576,0.9718345,0.0030467908
14,0.00039673853,0.92612994,0.8952408,0.9179703,0.9480274,0.9539006,0.97427857,0.9834212,0.98921645,0.9947202,0.99676293,0.99851507,0.9990236,0.9994601,0.99999964,0.9993464,0.9988611,0.9983484,0.99768925,0.99689746,0.99575645,0.99416137,0.99335915,0.9927429,0.98985296,0.9878917,0.98602843,0.98186725,0.9790025,0.97958565,0.9773397,0.97385824,0.96892715,0.9719637,0.002578685
15,0.00022732641,0.9258651,0.89463896,0.9171152,0.94734025,0.95278186,0.97326833,0.9824851,0.9884137,0.99405164,0.99620175,0.9980593,0.9985181,0.9990172,0.9993464,1.0,0.99935883,0.99880725,0.99811906,0.99731785,0.99620664,0.9946681,0.9938016,0.9931221,0.9901306,0.9881092,0.9861845,0.98206675,0.9792926,0.9798179,0.9776552,0.97418535,0.96912473,0.9720618,0.0028730924
16,0.0014112759,0.9246079,0.89302576,0.915403,0.9459434,0.95109504,0.97178394,0.981241,0.9873191,0.99319357,0.99547327,0.9974805,0.9980686,0.99853855,0.9988611,0.99935883,0.9999998,0.9992751,0.998501,0.9977435,0.9966785,0.99504924,0.99415183,0.9934358,0.9904246,0.98838145,0.9864799,0.9823919,0.9795838,0.9801213,0.97784954,0.97435313,0.9694795,0.97235453,0.004551436
17,0.0005025598,0.92367524,0.89186513,0.9141707,0.94486386,0.9497703,0.97074044,0.980268,0.9863924,0.99243724,0.99477476,0.9969134,0.9974629,0.9980392,0.9983484,0.99880725,0.9992751,0.99999994,0.9991278,0.9984371,0.99733037,0.9957318,0.9947947,0.9939768,0.9908864,0.98879963,0.98687786,0.9828033,0.9800746,0.98045784,0.9781542,0.97442186,0.96950984,0.97231793,0.0050109597
18,0.0029211317,0.92247313,0.89039516,0.91258794,0.9435302,0.9481669,0.9694881,0.9791123,0.9853396,0.99151754,0.99391454,0.9961465,0.99688387,0.9973865,0.99768925,0.99811906,0.998501,0.9991278,1.0,0.9991091,0.9980279,0.9964345,0.9955659,0.9945509,0.991584,0.98949766,0.9874351,0.9834551,0.98070204,0.9809942,0.9787196,0.9747712,0.9698754,0.97249323,0.0071413144
19,0.004896397,0.9212526,0.8890053,0.91102874,0.94212085,0.94665027,0.968177,0.9779326,0.9842225,0.99050814,0.9929679,0.9953122,0.9959971,0.99658257,0.99689746,0.99731785,0.9977435,0.9984371,0.9991091,0.9999999,0.9987981,0.99715686,0.9961093,0.9950562,0.99211305,0.99005806,0.9879514,0.9840625,0.98126256,0.9814592,0.97918344,0.97524816,0.970408,0.9727645,0.010369124
20,0.006703455,0.91937065,0.8869824,0.9090565,0.94025254,0.94510096,0.9667697,0.9765876,0.98289,0.9892732,0.9917398,0.99415886,0.9948648,0.99547774,0.99575645,0.99620664,0.9966785,0.99733037,0.9980279,0.9987981,0.9999997,0.9981473,0.9968438,0.99557287,0.9927404,0.9906383,0.9884611,0.98438704,0.9815388,0.9816248,0.9793789,0.9754608,0.9705871,0.9727783,0.014326306
21,0.00730808,0.91770846,0.8854338,0.90742046,0.9386555,0.9433705,0.96491075,0.9748138,0.9810878,0.9875628,0.99003,0.99251777,0.9931986,0.99387634,0.99416137,0.9946681,0.99504924,0.9957318,0.9964345,0.99715686,0.9981473,0.9999994,0.9980089,0.9965101,0.9937275,0.9915671,0.98944163,0.98544806,0.98244345,0.9823419,0.9802074,0.97603303,0.9709723,0.9728992,0.022382457
22,0.008214725,0.91743845,0.88529694,0.907139,0.9383522,0.94269115,0.96417946,0.97404504,0.980316,0.98670274,0.9892539,0.9916869,0.99242675,0.9930425,0.99335915,0.9938016,0.99415183,0.9947947,0.9955659,0.9961093,0.9968438,0.9980089,0.9999998,0.99786574,0.99529845,0.9931926,0.9909987,0.9873126,0.9841214,0.9839659,0.9817744,0.9776849,0.9726895,0.97405475,0.027474979
23,0.010224364,0.9174471,0.8853681,0.90723747,0.9383073,0.9428278,0.9641229,0.97386926,0.9801303,0.9863205,0.98880774,0.9912673,0.9918757,0.99251133,0.9927429,0.9931221,0.9934358,0.9939768,0.9945509,0.9950562,0.99557287,0.9965101,0.99786574,0.9999999,0.9970945,0.994764,0.9923548,0.9883827,0.9854006,0.9849711,0.9827252,0.97886205,0.97380155,0.97505367,0.034373503
24,0.011709392,0.9147842,0.8829086,0.9046346,0.93568003,0.94002885,0.9614801,0.9710646,0.9773048,0.983342,0.9858214,0.98826647,0.98894936,0.9895694,0.98985296,0.9901306,0.9904246,0.9908864,0.991584,0.99211305,0.9927404,0.9937275,0.99529845,0.9970945,1.0,0.99767476,0.99505275,0.9919559,0.9887353,0.9876902,0.98539793,0.98133475,0.9759931,0.9765349,0.050852686
25,0.011055135,0.91245455,0.8805635,0.9022255,0.93342644,0.9379264,0.9594894,0.96902025,0.9752895,0.9813412,0.98386997,0.98629737,0.9869569,0.98756105,0.9878917,0.9881092,0.98838145,0.98879963,0.98949766,0.99005806,0.9906383,0.9915671,0.9931926,0.994764,0.99767476,0.99999976,0.99679184,0.99411535,0.9909604,0.9898076,0.9873443,0.98333454,0.97815263,0.9778981,0.05975471
