Layer,Value
0,0.0
1,1.797647386447161e-22
2,2.6212937856271745e-24
3,7.74168039091071e-18
4,4.545751388824925e-16
5,4.1688366811509974e-13
6,1.3588947669375406e-09
7,1.0547005340616477e-08
8,1.3670790134368004e-07
9,1.6320893969634653e-06
10,3.6191164355159343e-06
11,1.2447154199435318e-05
12,7.0611773139717116e-06
13,6.7220085156805e-06
14,1.30968316398139e-05
15,2.7345068201611866e-05
16,4.5355098154686854e-05
17,4.2831149130506674e-05
18,0.00026213899909635077
19,0.0010648442854289896
20,0.004081350262276828
21,0.05968749693129212
22,0.0972647559363395
23,0.17702667124103755
24,0.7529502168297768
25,0.8333980724215507
26,0.8195833258330822
27,0.9024759764317423
28,0.8883941654115916
29,0.8994814261794091
30,0.896008075773716
31,0.9047976195812225
32,0.9249144405126571
33,0.9657926768064499
