Layer,Value
0,0.0
1,3.018080346679836e-36
2,2.539853466588731e-43
3,1.0986675488859608e-33
4,5.198014397387106e-28
5,3.098001698017533e-22
6,6.515193382593785e-17
7,6.763347443672265e-14
8,1.0848877720660844e-11
9,2.6639371597525497e-09
10,1.8934211309939997e-08
11,3.110677774031956e-07
12,4.389345960476021e-07
13,6.851060192047953e-07
14,2.2439226881942886e-06
15,3.2256505619443486e-06
16,6.3700053260618e-06
17,9.786912346498867e-06
18,0.00022763846318412105
19,0.0007868358152336441
20,0.005353312450461089
21,0.06137213245965541
22,0.20965767139568925
23,0.33003176347119734
24,0.9103170618414879
25,0.8740077048540116
26,0.8710047692060471
27,0.9451259702444077
28,0.9278366044163704
29,0.924880537390709
30,0.968790340423584
31,0.9686563372611999
32,0.9944993197917938
33,0.9900173664093017
