Layer,Variance_Shift
Layer_0,4087.9314365234377
Layer_1,1.06012364423275
Layer_2,1.6687239272594452
Layer_3,1.2546216073036194
Layer_4,4.270683708667755
Layer_5,1.7028917524814606
Layer_6,1.2967621494531631
Layer_7,1.972747079372406
Layer_8,2.490245090723038
Layer_9,1.5798864448070526
Layer_10,1.9250510971546173
Layer_11,1.6756207027435304
Layer_12,1.2902499318122864
Layer_13,1.2279693892002106
Layer_14,1.1953031611442566
Layer_15,1.1054144127368928
Layer_16,1.1094655125141144
Layer_17,1.2388305349349975
Layer_18,1.1850942416191101
Layer_19,1.111886700630188
Layer_20,1.0724117486476898
Layer_21,1.1209712834358216
Layer_22,1.1227550401687623
Layer_23,1.1345460767745972
Layer_24,1.0607990059852601
Layer_25,1.1591746480464935
Layer_26,1.183268613576889
Layer_27,1.2007910273075104
Layer_28,1.2237112565040589
Layer_29,1.0929466435909272
Layer_30,0.9581327958106994
Layer_31,1.0599850487709046
Layer_32,1.0530785317420959
Layer_33,1.052438318490982
