Layer,Attn_vs_MLP_Ratio
Layer_0,19.347960146732586
Layer_1,4.118889278418226
Layer_2,5.217825585422439
Layer_3,3.558824813810527
Layer_4,12.940931493011844
Layer_5,5.4566862518492485
Layer_6,1.930112742775554
Layer_7,4.347760193730906
Layer_8,2.71218437197266
Layer_9,4.2233335774611325
Layer_10,0.635711099987797
Layer_11,1.2853649923649302
Layer_12,10.845622957270477
Layer_13,6.470179488533903
Layer_14,5.169889379131097
Layer_15,9.629350228281394
Layer_16,3.485801378180662
Layer_17,3.4760041947333025
Layer_18,7.714395842040387
Layer_19,3.8573190002824504
Layer_20,9.026578750953364
Layer_21,8.084025035960321
Layer_22,3.206172448693147
Layer_23,7.589403119718633
Layer_24,8.100259482704104
Layer_25,9.80518107865784
Layer_26,4.148397601511946
Layer_27,4.404849190339587
Layer_28,4.769050919663819
Layer_29,3.600922347207216
Layer_30,3.8927204462340064
Layer_31,5.283867418408269
Layer_32,1.2716165357000653
Layer_33,1.1570579563976102
