Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.75179666,0.83634734,0.9158406,0.9699319,0.9654249,0.9972944,0.9951409,1.0075133,1.0160135,1.0132346,0.9957594,1.0004792,0.9981705,1.0008993,0.9965726,0.98175395,0.9840758,0.9957726,1.0130059,1.0131327,1.0204645,1.0245205,1.0290141,1.0305574,1.0298792,1.0198276,1.0056295,0.9718134
1,0.75179666,0.0,0.12930381,0.24108016,0.3650959,0.48993295,0.5598435,0.57375085,0.5941284,0.6799047,0.7211642,0.79913753,0.75853676,0.8069453,0.7777343,0.7550427,0.7806583,0.7731458,0.765606,0.80950344,0.8245039,0.83192635,0.83706486,0.8560547,0.85708266,0.86913973,0.8791516,0.89381635,0.99288625
2,0.83634734,0.12930381,0.0,0.15043777,0.2786975,0.43018907,0.5142654,0.5339366,0.5578228,0.65134203,0.6961777,0.7809625,0.74727046,0.80459607,0.7733246,0.753468,0.7796792,0.7667097,0.7615758,0.7967634,0.8137105,0.8319108,0.83730054,0.853652,0.8609482,0.8730626,0.8893488,0.90677714,1.0037898
3,0.9158406,0.24108016,0.15043777,-1.1920929e-07,0.15811032,0.3476709,0.45398563,0.483967,0.4968211,0.60810846,0.6686287,0.76124156,0.7221989,0.800951,0.76287204,0.72951186,0.77159816,0.754433,0.7449697,0.7749793,0.7928277,0.81078696,0.8214645,0.834461,0.8446144,0.8557748,0.873492,0.9002378,0.99530554
4,0.9699319,0.3650959,0.2786975,0.15811032,0.0,0.2557345,0.3950131,0.44488436,0.47229975,0.5901165,0.65592253,0.7475027,0.7192319,0.78104395,0.7606957,0.72582173,0.761678,0.750592,0.74822265,0.7735424,0.7964616,0.8160889,0.82410467,0.8336127,0.84719616,0.85814327,0.8779767,0.9119494,0.9898048
5,0.9654249,0.48993295,0.43018907,0.3476709,0.2557345,0.0,0.27482986,0.3718915,0.4425289,0.5671483,0.64292836,0.7228166,0.6998781,0.7605834,0.75481564,0.72997236,0.7578219,0.7591783,0.7627802,0.79128546,0.81046754,0.83162457,0.8393779,0.8490037,0.8651299,0.87645715,0.89492947,0.9237545,1.0025942
6,0.9972944,0.5598435,0.5142654,0.45398563,0.3950131,0.27482986,-1.1920929e-07,0.23205799,0.34661925,0.49494523,0.5932865,0.6689973,0.6627613,0.7121419,0.73388195,0.71193314,0.7374958,0.73789656,0.7460327,0.7690697,0.7885337,0.80725145,0.8204508,0.8327765,0.8497819,0.8613205,0.87873346,0.90622365,0.9808126
7,0.9951409,0.57375085,0.5339366,0.483967,0.44488436,0.3718915,0.23205799,5.9604645e-08,0.21581697,0.38489598,0.5052948,0.62117636,0.61223257,0.68358517,0.7127087,0.68316495,0.7185601,0.7157676,0.7273183,0.75055873,0.7693048,0.79788184,0.81671196,0.82948005,0.843909,0.8569355,0.87099856,0.9014666,0.9966892
8,1.0075133,0.5941284,0.5578228,0.4968211,0.47229975,0.4425289,0.34661925,0.21581697,-1.1920929e-07,0.29846466,0.43558443,0.5706854,0.55757666,0.64909124,0.6664593,0.64697254,0.68480617,0.6902706,0.7027848,0.7224486,0.7361496,0.7660717,0.78725934,0.79735035,0.8165759,0.83150744,0.8451382,0.8795692,0.9935075
9,1.0160135,0.6799047,0.65134203,0.60810846,0.5901165,0.5671483,0.49494523,0.38489598,0.29846466,-1.1920929e-07,0.26814145,0.44335425,0.4922071,0.6153476,0.67036474,0.66478956,0.70328176,0.7156193,0.7379823,0.7494976,0.7617714,0.782098,0.7950796,0.8027755,0.81917393,0.8315494,0.84056634,0.8682746,0.98173124
10,1.0132346,0.7211642,0.6961777,0.6686287,0.65592253,0.64292836,0.5932865,0.5052948,0.43558443,0.26814145,5.9604645e-08,0.28133994,0.39081246,0.5330427,0.61279714,0.6178371,0.667217,0.69176465,0.7183627,0.7332833,0.74811214,0.77274543,0.78944224,0.7978281,0.8120454,0.8296481,0.83878374,0.860496,0.986929
11,0.9957594,0.79913753,0.7809625,0.76124156,0.7475027,0.7228166,0.6689973,0.62117636,0.5706854,0.44335425,0.28133994,1.1920929e-07,0.22799706,0.4113778,0.55208504,0.585899,0.62793136,0.6713067,0.6964376,0.719116,0.7475174,0.77636766,0.79139477,0.8005842,0.81808,0.82884693,0.836631,0.86103606,0.9712787
12,1.0004792,0.75853676,0.74727046,0.7221989,0.7192319,0.6998781,0.6627613,0.61223257,0.55757666,0.4922071,0.39081246,0.22799706,-1.1920929e-07,0.26202387,0.4446864,0.48751527,0.54162085,0.5851517,0.61481607,0.656254,0.69274247,0.7284749,0.75196135,0.7620086,0.78518903,0.79949623,0.81641644,0.8364581,0.95459455
13,0.9981705,0.8069453,0.80459607,0.800951,0.78104395,0.7605834,0.7121419,0.68358517,0.64909124,0.6153476,0.5330427,0.4113778,0.26202387,0.0,0.29927933,0.3894753,0.44476497,0.5093016,0.56040835,0.6056039,0.647931,0.7041083,0.7369355,0.7502333,0.77471435,0.7967497,0.8194263,0.8477877,0.9457426
14,1.0008993,0.7777343,0.7733246,0.76287204,0.7606957,0.75481564,0.73388195,0.7127087,0.6664593,0.67036474,0.61279714,0.55208504,0.4446864,0.29927933,0.0,0.18220544,0.28380954,0.35703903,0.41905612,0.47566414,0.53353846,0.6084422,0.6509924,0.68070614,0.71498984,0.7475809,0.7773807,0.81447196,0.93464404
15,0.9965726,0.7550427,0.753468,0.72951186,0.72582173,0.72997236,0.71193314,0.68316495,0.64697254,0.66478956,0.6178371,0.585899,0.48751527,0.3894753,0.18220544,5.9604645e-08,0.13392884,0.215361,0.2944159,0.37460434,0.43703133,0.5192003,0.57509625,0.6081363,0.64264286,0.6753253,0.71450484,0.75129527,0.92016387
16,0.98175395,0.7806583,0.7796792,0.77159816,0.761678,0.7578219,0.7374958,0.7185601,0.68480617,0.70328176,0.667217,0.62793136,0.54162085,0.44476497,0.28380954,0.13392884,-1.1920929e-07,0.09803575,0.19070077,0.2740907,0.3388365,0.4316603,0.50306284,0.53892684,0.5756684,0.61101043,0.65419567,0.69223356,0.88605237
17,0.9840758,0.7731458,0.7667097,0.754433,0.750592,0.7591783,0.73789656,0.7157676,0.6902706,0.7156193,0.69176465,0.6713067,0.5851517,0.5093016,0.35703903,0.215361,0.09803575,0.0,0.115357876,0.19808722,0.25710124,0.34326708,0.41887772,0.4624784,0.4990548,0.53809464,0.5845722,0.62766814,0.8470431
18,0.9957726,0.765606,0.7615758,0.7449697,0.74822265,0.7627802,0.7460327,0.7273183,0.7027848,0.7379823,0.7183627,0.6964376,0.61481607,0.56040835,0.41905612,0.2944159,0.19070077,0.115357876,0.0,0.10547209,0.17073679,0.25306225,0.32201606,0.36713636,0.4004901,0.44754928,0.495637,0.5454756,0.81263655
19,1.0130059,0.80950344,0.7967634,0.7749793,0.7735424,0.79128546,0.7690697,0.75055873,0.7224486,0.7494976,0.7332833,0.719116,0.656254,0.6056039,0.47566414,0.37460434,0.2740907,0.19808722,0.10547209,0.0,0.07444459,0.1736086,0.25049126,0.29881173,0.3422851,0.395397,0.45610636,0.51442647,0.7920332
20,1.0131327,0.8245039,0.8137105,0.7928277,0.7964616,0.81046754,0.7885337,0.7693048,0.7361496,0.7617714,0.74811214,0.7475174,0.69274247,0.647931,0.53353846,0.43703133,0.3388365,0.25710124,0.17073679,0.07444459,-1.1920929e-07,0.08564186,0.16154575,0.20368284,0.24148118,0.29362154,0.35435104,0.42662048,0.78440046
21,1.0204645,0.83192635,0.8319108,0.81078696,0.8160889,0.83162457,0.80725145,0.79788184,0.7660717,0.782098,0.77274543,0.77636766,0.7284749,0.7041083,0.6084422,0.5192003,0.4316603,0.34326708,0.25306225,0.1736086,0.08564186,-1.1920929e-07,0.07235098,0.11869347,0.142829,0.19375521,0.24923587,0.32360554,0.74629164
22,1.0245205,0.83706486,0.83730054,0.8214645,0.82410467,0.8393779,0.8204508,0.81671196,0.78725934,0.7950796,0.78944224,0.79139477,0.75196135,0.7369355,0.6509924,0.57509625,0.50306284,0.41887772,0.32201606,0.25049126,0.16154575,0.07235098,-1.1920929e-07,0.056635857,0.087643445,0.13982874,0.20088756,0.2743644,0.69149876
23,1.0290141,0.8560547,0.853652,0.834461,0.8336127,0.8490037,0.8327765,0.82948005,0.79735035,0.8027755,0.7978281,0.8005842,0.7620086,0.7502333,0.68070614,0.6081363,0.53892684,0.4624784,0.36713636,0.29881173,0.20368284,0.11869347,0.056635857,5.9604645e-08,0.03455776,0.08677316,0.14764214,0.22940397,0.66511786
24,1.0305574,0.85708266,0.8609482,0.8446144,0.84719616,0.8651299,0.8497819,0.843909,0.8165759,0.81917393,0.8120454,0.81808,0.78518903,0.77471435,0.71498984,0.64264286,0.5756684,0.4990548,0.4004901,0.3422851,0.24148118,0.142829,0.087643445,0.03455776,0.0,0.045414746,0.10508931,0.1894288,0.66186166
25,1.0298792,0.86913973,0.8730626,0.8557748,0.85814327,0.87645715,0.8613205,0.8569355,0.83150744,0.8315494,0.8296481,0.82884693,0.79949623,0.7967497,0.7475809,0.6753253,0.61101043,0.53809464,0.44754928,0.395397,0.29362154,0.19375521,0.13982874,0.08677316,0.045414746,5.9604645e-08,0.06364828,0.1529535,0.6422181
26,1.0198276,0.8791516,0.8893488,0.873492,0.8779767,0.89492947,0.87873346,0.87099856,0.8451382,0.84056634,0.83878374,0.836631,0.81641644,0.8194263,0.7773807,0.71450484,0.65419567,0.5845722,0.495637,0.45610636,0.35435104,0.24923587,0.20088756,0.14764214,0.10508931,0.06364828,0.0,0.07377803,0.63978416
27,1.0056295,0.89381635,0.90677714,0.9002378,0.9119494,0.9237545,0.90622365,0.9014666,0.8795692,0.8682746,0.860496,0.86103606,0.8364581,0.8477877,0.81447196,0.75129527,0.69223356,0.62766814,0.5454756,0.51442647,0.42662048,0.32360554,0.2743644,0.22940397,0.1894288,0.1529535,0.07377803,-1.1920929e-07,0.56148386
