Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.9999999,0.24818486,0.16358806,0.084139444,0.029689854,0.034213558,0.0035278865,0.0045768414,-0.0073807985,-0.015861776,-0.013105581,0.0045443918,-0.00010704296,0.002130325,-0.00061712135,0.0035442999,0.018433986,0.016138703,0.0043456424,-0.013137763,-0.013152856,-0.020409228,-0.02452986,-0.02895952,-0.030506218,-0.029562343,-0.01934714,-0.0054966044,0.02828411
1,0.24818486,1.0,0.8707396,0.7588798,0.6346628,0.5092951,0.44009793,0.42588782,0.40505993,0.31890962,0.27842093,0.20025705,0.24124846,0.19330104,0.22240692,0.24519868,0.21930677,0.22703776,0.23418757,0.19035842,0.17515,0.16777891,0.16272384,0.1435912,0.1426889,0.1306993,0.12077871,0.106218845,0.007111661
2,0.16358806,0.8707396,1.0,0.84952915,0.7209405,0.56895983,0.4857921,0.4658602,0.441618,0.34764755,0.30376536,0.21863358,0.2525348,0.19552502,0.22675201,0.2466695,0.22000492,0.23320767,0.23801032,0.20302668,0.1859186,0.16777623,0.16244295,0.14601114,0.13884291,0.12679622,0.11069465,0.09343681,-0.0039141886
3,0.084139444,0.7588798,0.84952915,1.0,0.8416004,0.6514396,0.5461155,0.5156975,0.50197273,0.39038613,0.33121035,0.23817632,0.27750027,0.19901854,0.23710552,0.27057323,0.22794355,0.24537088,0.25455028,0.22477387,0.2067234,0.18883592,0.17816457,0.16511409,0.15504569,0.14397444,0.12653889,0.09990605,0.0043594735
4,0.029689854,0.6346628,0.7209405,0.8416004,1.0,0.7435203,0.60545367,0.5546469,0.5264991,0.40836495,0.34364954,0.25212467,0.28059328,0.21946101,0.23982988,0.27473733,0.23845375,0.24985324,0.25186574,0.22667226,0.20346005,0.18408406,0.17607644,0.16654053,0.15307687,0.14221692,0.1227019,0.08890898,0.010342064
5,0.034213558,0.5092951,0.56895983,0.6514396,0.7435203,0.9999999,0.7259726,0.62735087,0.5565171,0.43171573,0.35689855,0.27697754,0.2999854,0.23946175,0.24506491,0.26994744,0.24161151,0.24063829,0.23704419,0.20855625,0.18946809,0.1684749,0.16068502,0.15112467,0.13507563,0.12384354,0.10588733,0.07740967,-0.002679535
6,0.0035278865,0.44009793,0.4857921,0.5461155,0.60545367,0.7259726,1.0,0.7671912,0.6533168,0.5042949,0.40720478,0.33084399,0.33710253,0.28745598,0.26609248,0.28794834,0.2616005,0.26144093,0.253537,0.2306268,0.21104005,0.19238746,0.1794121,0.16701739,0.15004456,0.13840711,0.1214711,0.09418255,0.018329302
7,0.0045768414,0.42588782,0.4658602,0.5156975,0.5546469,0.62735087,0.7671912,0.9999999,0.78346944,0.6139071,0.4946701,0.37819016,0.38750234,0.3162414,0.2871729,0.31689215,0.28045785,0.2835343,0.27243078,0.24926923,0.23048198,0.20184469,0.18288887,0.17013074,0.15588124,0.14289859,0.12937045,0.099047646,0.0024393057
8,-0.0073807985,0.40505993,0.441618,0.50197273,0.5264991,0.5565171,0.6533168,0.78346944,1.0,0.70038086,0.5643159,0.42900702,0.44203356,0.35108197,0.3332948,0.3527105,0.31457978,0.3090995,0.2967481,0.27733466,0.26375023,0.23381633,0.21246105,0.20227633,0.18313216,0.16823357,0.15493721,0.120694466,0.005936262
9,-0.015861776,0.31890962,0.34764755,0.39038613,0.40836495,0.43171573,0.5042949,0.6139071,0.70038086,1.0,0.7315746,0.5559353,0.5073459,0.38443083,0.32912388,0.33436373,0.29581589,0.28359795,0.2611806,0.24979131,0.23777601,0.21756896,0.2045669,0.19670919,0.18027797,0.1677916,0.15866531,0.13097572,0.01822596
