Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.4573254,0.5937932,1.0805837,1.2556834,1.3294383,1.4798402,1.8034543,1.8126296,1.3668181,1.9352558,0.9931087,1.5360888,1.4656198,2.3855398,3.205622,2.5458848,3.429913,3.1374786,3.0057044,5.2881894,8.494821,9.304096,10.598194,13.514246,14.5786915,17.247917,17.549822,17.92326
1,0.4573254,0.0,0.16494545,0.6517359,0.82683563,0.90059054,1.0509924,1.3746065,1.3837818,0.9379703,1.506408,0.8500242,1.1931664,1.4082437,1.956692,2.7767742,2.117037,3.0010653,2.7086308,2.973683,5.2561684,8.462799,9.272075,10.566173,13.482224,14.54667,17.215897,17.517801,17.957678
2,0.5937932,0.16494545,0.0,0.48679048,0.6618902,0.7356451,0.88604695,1.209661,1.2188363,0.77302486,1.3414626,0.7970585,1.1402007,1.355278,1.7917466,2.6118288,1.9520917,2.83612,2.640049,3.01924,5.301725,8.508356,9.317632,10.61173,13.5277815,14.592227,17.261452,17.563356,17.992455
3,1.0805837,0.6517359,0.48679048,0.0,0.17509973,0.2874653,0.49588662,0.7228706,0.7320459,0.51717603,0.8546721,0.7516324,1.0947745,1.3098518,1.3527789,2.1250381,1.7526497,2.3493295,2.6122935,2.9914844,5.2739697,8.4806,9.289876,10.583974,13.500026,14.564471,17.233698,17.535603,17.974148
4,1.2556834,0.82683563,0.6618902,0.17509973,0.0,0.18326002,0.44059044,0.54777086,0.55694616,0.4461564,0.67957234,0.6963362,1.0394784,1.2545557,1.2974828,1.9499385,1.6973536,2.1742296,2.65755,3.036741,5.319226,8.525857,9.335133,10.6292305,13.545282,14.609728,17.278954,17.580858,18.005436
5,1.3294383,0.90059054,0.7356451,0.2874653,0.18326002,0.0,0.25855312,0.47401595,0.48319125,0.46886793,0.60581744,0.560038,0.85744107,1.0725183,1.1154455,1.8761836,1.5153162,2.1004748,2.725576,3.1047668,5.387252,8.593883,9.403158,10.697256,13.613308,14.677753,17.34698,17.648884,18.022482
6,1.4798402,1.0509924,0.88604695,0.49588662,0.44059044,0.25855312,0.0,0.32361412,0.33278942,0.4342624,0.4950752,0.5655741,0.639109,0.8139652,0.90880215,1.7257818,1.270172,1.9500729,2.7924929,3.1716838,5.454169,8.6608,9.470076,10.7641735,13.680225,14.744671,17.413897,17.715801,17.985117
7,1.8034543,1.3746065,1.209661,0.7228706,0.54777086,0.47401595,0.32361412,0.0,0.21872032,0.4366362,0.52807987,0.81655025,0.6615703,0.9021006,0.91957474,1.4021677,1.3194455,1.8623325,2.7461784,3.1253693,5.407854,8.614486,9.423761,10.717859,13.633911,14.698357,17.367582,17.669487,17.940601
8,1.8126296,1.3837818,1.2188363,0.7320459,0.55694616,0.48319125,0.33278942,0.21872032,0.0,0.4458115,0.4227038,0.82572556,0.5859855,0.9112759,0.8439899,1.3929924,1.2438607,1.7462786,2.6301246,3.0093155,5.2918005,8.498431,9.307707,10.601805,13.517857,14.582302,17.251528,17.553432,17.976439
9,1.3668181,0.9379703,0.77302486,0.51717603,0.4461564,0.46886793,0.4342624,0.4366362,0.4458115,0.0,0.5684377,0.4883922,0.6325501,0.8476274,1.0187217,1.8388039,1.2904253,2.063095,2.5370102,2.916201,5.198686,8.405317,9.214593,10.508691,13.424743,14.489188,17.158413,17.460318,18.01252
10,1.9352558,1.506408,1.3414626,0.8546721,0.67957234,0.60581744,0.4950752,0.52807987,0.4227038,0.5684377,0.0,0.94835174,0.6014441,1.0339022,0.85944855,1.2703662,1.2593193,1.5943059,2.4781516,2.8573425,5.1398277,8.346458,9.155734,10.449832,13.365884,14.430329,17.099556,17.40146,18.071331
11,0.9931087,0.8500242,0.7970585,0.7516324,0.6963362,0.560038,0.5655741,0.81655025,0.82572556,0.4883922,0.94835174,0.0,0.5491848,0.55821943,1.3986357,2.218718,1.5589808,2.443009,2.5421557,2.9213467,5.2038317,8.410462,9.219738,10.513836,13.429888,14.494333,17.163559,17.465464,17.947731
12,1.5360888,1.1931664,1.1402007,1.0947745,1.0394784,0.85744107,0.639109,0.6615703,0.5859855,0.6325501,0.6014441,0.5491848,0.0,0.63473517,0.84945095,1.6695331,1.1496334,1.8938242,2.6719544,3.0511453,5.33363,8.540261,9.349537,10.643635,13.559687,14.624132,17.293358,17.595263,18.20054
