Layer,LogitLens
0,1.6708956103431256e-08
1,3.705461985754632e-06
2,8.141532600979657e-06
3,2.7431761598259845e-06
4,8.70711122219649e-07
5,5.472273609079333e-06
6,9.125904123109659e-06
7,2.0642061888027516e-05
8,6.852004071315173e-06
9,1.0394369689230836e-05
10,1.3684647741297284e-06
11,2.6949356931554627e-06
12,1.0236834489478459e-06
13,2.5432055511205648e-05
14,1.4940965847346142e-05
15,5.676696578990398e-05
16,0.00010760689210909241
17,0.000597858398076653
18,0.0013050501781631644
19,0.0018827918202540769
20,0.01477027496760983
21,0.06668370219013818
22,0.08032514011710541
23,0.12520394765816356
24,0.14417328182545439
25,0.13085701470341843
26,0.40605246609139406
27,0.6690997177953119
