Layer,Variance_Shift
0,8.887845154762267
1,30.675416732788086
2,1.9795112934112549
3,1.6023293614387513
4,1.3972763977050782
5,1.2891690711975097
6,1.2505508122444153
7,1.2462066452503204
8,1.1391756238937378
9,1.0922852623462678
10,1.063938047170639
11,1.2597182068824768
12,1.1053514320850373
13,1.1110817635059356
14,1.2061488053798675
15,1.202264875650406
16,1.1647270584106446
17,1.1568559081554413
18,1.1337438926696777
19,1.246650854587555
20,1.209679095506668
21,1.170898941040039
22,1.1901701185703277
23,1.2174389307498932
24,1.193224362373352
25,1.2418253526687622
26,1.244060518026352
27,1.5545866541862488
