Layer,Outlier_IoU
0,0.017907609637826682
1,0.5973261851072311
2,0.6107982994318009
3,0.6651200757026673
4,0.6396666711568832
5,0.6283156257867814
6,0.6170910153388977
7,0.6169200994968415
8,0.6341841844320297
9,0.6533356229066849
10,0.6348098455667496
11,0.5983539788722992
12,0.665029804468155
13,0.6737269788980484
14,0.6810809668302537
15,0.7247066119909287
16,0.7658108483552932
17,0.7686141171455383
18,0.7662133663892746
19,0.7389530667066574
20,0.7810775024890899
21,0.7701838183403015
22,0.7484794609546661
23,0.7355431337356567
24,0.6918687362670899
25,0.6361989096403122
26,0.5030199908018113
27,0.1428344769179821
