Layer,Frobenius_Norm
0,72.28461674281529
1,69.62230110168457
2,66.88266590663365
3,67.93529156276158
4,68.4946403503418
5,67.29938234601703
6,67.5446583884103
7,67.22393635341099
8,66.77673067365374
9,67.59510884966168
10,66.03323827471051
11,67.04559217180524
12,66.63911601475307
13,66.83661760602679
14,68.22331592014858
15,68.4733052934919
16,68.76582145690918
17,68.44966670445034
18,68.44738905770438
19,68.84447288513184
20,69.60335295540946
21,69.82179696219308
22,69.99117251804897
23,70.5760498046875
24,70.57329395839146
25,70.31275612967355
26,70.75775909423828
27,71.95544542585101
