Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,50.2623,67.24394,90.36113,122.001785,164.95796,212.18228,212.69319,209.0424,261.04382,308.27158,356.57776,355.018,382.24213,456.76068,456.96246,473.3561,494.0321,507.302,541.077,567.9147,650.651,721.8823,772.6082,931.29224,1033.4927,1114.8191,1275.0977,3392.3691
1,50.2623,0.0,40.259724,69.59529,105.6944,153.72672,201.97229,203.8678,201.66638,254.51793,301.49423,351.51,348.30966,376.4198,450.5343,452.3324,469.41238,490.24976,503.62686,536.9769,563.5392,645.81476,716.2853,767.26465,925.8863,1027.6362,1110.3121,1270.5983,3393.5894
2,67.24394,40.259724,0.0,57.133926,96.76666,149.0683,198.21107,201.54315,200.50153,254.45013,301.93005,350.81305,347.5973,377.28806,450.29596,453.0375,470.5475,490.94946,505.18066,537.73175,563.4227,645.2563,715.4639,765.7257,925.4989,1027.6519,1110.5164,1270.6859,3394.5237
3,90.36113,69.59529,57.133926,0.0,80.29387,141.06488,193.69872,199.3869,197.85515,252.43887,302.35205,350.80695,347.47095,379.16162,452.9898,455.52405,474.03955,492.62262,505.80548,538.07983,563.69147,645.226,714.3862,765.6641,923.70776,1026.7085,1111.1737,1268.4596,3397.104
4,122.001785,105.6944,96.76666,80.29387,0.0,128.1573,186.89383,198.40604,200.75491,256.1496,304.50623,355.53275,351.49298,381.234,456.71942,458.69736,477.88602,498.48868,511.00818,543.0897,569.4124,648.0762,717.03546,765.9382,925.71045,1031.1436,1113.9111,1271.0676,3398.486
5,164.95796,153.72672,149.0683,141.06488,128.1573,0.0,161.68613,189.60078,206.30542,261.12634,309.41693,358.16107,358.93707,388.38306,464.88388,469.11777,485.1153,502.0749,516.0122,550.4265,577.40515,658.5301,721.6433,771.9656,929.7682,1031.162,1114.7759,1272.6514,3397.9746
6,212.18228,201.97229,198.21107,193.69872,186.89383,161.68613,0.0,160.8452,198.0218,257.93854,310.99554,362.53516,365.8078,391.12433,466.67383,470.66522,488.61066,509.3142,522.8368,554.5733,581.2708,660.4449,724.3948,767.3954,928.2384,1026.2961,1108.935,1267.6138,3395.3853
7,212.69319,203.8678,201.54315,199.3869,198.40604,189.60078,160.8452,0.0,159.40866,229.38666,292.4258,351.6928,352.08972,386.6555,465.13336,469.33484,486.5236,508.9016,525.9147,555.3905,580.1169,664.8738,729.7742,777.73065,935.20483,1034.0664,1117.0074,1274.511,3399.3633
8,209.0424,201.66638,200.50153,197.85515,200.75491,206.30542,198.0218,159.40866,0.0,197.95258,265.72617,336.0069,336.84305,377.6784,453.62238,458.41687,480.0968,504.75818,518.5266,547.5153,574.9249,654.1229,722.30554,768.65955,929.0829,1030.6189,1111.4542,1267.0848,3397.635
9,261.04382,254.51793,254.45013,252.43887,256.1496,261.12634,257.93854,229.38666,197.95258,0.0,216.15825,311.9777,329.3791,385.3444,467.31628,472.2704,491.73468,515.4661,538.5587,570.2047,596.0956,669.7253,732.6894,781.2123,939.7741,1040.2329,1122.081,1273.0253,3398.4482
10,308.27158,301.49423,301.93005,302.35205,304.50623,309.41693,310.99554,292.4258,265.72617,216.15825,0.0,260.849,307.20245,374.9995,460.0872,470.00952,501.79346,526.99194,544.76184,575.88965,602.5619,676.3092,738.39343,785.2625,939.22485,1039.4907,1120.45,1272.7429,3395.6196
11,356.57776,351.51,350.81305,350.80695,355.53275,358.16107,362.53516,351.6928,336.0069,311.9777,260.849,0.0,245.82051,341.31497,444.11865,467.42975,500.34393,528.49304,549.1471,583.7223,608.4495,682.49097,746.20886,794.647,942.35175,1036.2524,1118.137,1270.2141,3379.8804
12,355.018,348.30966,347.5973,347.47095,351.49298,358.93707,365.8078,352.08972,336.84305,329.3791,307.20245,245.82051,0.0,272.2968,407.79697,433.3934,473.8567,502.79156,526.6135,563.6494,590.2897,660.0016,725.68835,777.1245,929.42395,1025.7994,1106.0283,1259.0886,3379.7515
13,382.24213,376.4198,377.28806,379.16162,381.234,388.38306,391.12433,386.6555,377.6784,385.3444,374.9995,341.31497,272.2968,0.0,334.20972,389.41125,432.65497,467.1978,497.83582,543.2346,573.57495,643.69116,715.0237,761.0149,917.14514,1015.8672,1096.492,1255.794,3371.4736
14,456.76068,450.5343,450.29596,452.9898,456.71942,464.88388,466.67383,465.13336,453.62238,467.31628,460.0872,444.11865,407.79697,334.20972,0.0,298.51605,373.92838,433.2567,472.07816,523.6419,558.7075,639.5502,718.17395,760.7221,918.9546,1019.29315,1102.614,1258.0786,3368.1519
