Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.9999966,2.6299717,4.032593,8.030977,11.988545,18.352291,30.031322,31.648663,31.534672,44.520523,60.48161,77.29638,78.955765,89.62106,130.79442,138.64879,149.85309,165.63672,178.4862,202.06116,231.2895,300.9219,362.2582,408.80026,606.6381,728.06934,826.2527,1121.2198,7417.144
1,0.38023046,0.9999987,1.5333197,3.0536325,4.5584254,6.9781237,11.418861,12.033826,11.990483,16.928116,22.997026,29.390535,30.021486,34.076775,49.73219,52.71867,56.9789,62.98034,67.86612,76.83006,87.94361,114.42006,137.74207,155.43883,230.66307,276.83505,314.16748,426.32336,2820.2336
2,0.24797836,0.6521783,0.9999991,1.9915154,2.9729097,4.5509863,7.447143,7.84821,7.819943,11.040163,14.99818,19.167894,19.579386,22.22416,32.434296,34.382015,37.160446,41.07446,44.260864,50.106964,57.354984,74.62237,89.8325,101.37396,150.43364,180.54605,204.89348,278.03918,1839.2975
3,0.12451737,0.32747826,0.50212955,0.9999996,1.4927871,2.2851868,3.739434,3.9408214,3.9266279,5.543597,7.5310364,9.624774,9.831397,11.159417,16.286232,17.264242,18.659376,20.62472,22.224709,25.16021,28.799658,37.47013,45.107594,50.902905,75.53725,90.657585,102.88316,139.61182,923.5664
4,0.083412655,0.21937366,0.3363704,0.6698874,0.99999976,1.5308185,2.5050006,2.6399078,2.6303997,3.7135875,5.0449486,6.447518,6.585932,7.475556,10.909946,11.565103,12.499685,13.816245,14.888059,16.854513,19.292536,25.100779,30.21702,34.099228,50.601467,60.7304,68.92016,93.52423,618.6857
5,0.054488916,0.1433048,0.21973234,0.43760073,0.65324503,0.9999998,1.6363797,1.7245071,1.7182959,2.4258833,3.2955885,4.21181,4.3022285,4.8833714,7.12687,7.5548477,8.1653595,9.025396,9.725553,11.010131,12.6027565,16.396963,19.739124,22.275158,33.05517,39.671844,45.021767,61.094257,404.1535
6,0.03329845,0.08757428,0.13427955,0.26742002,0.39920133,0.61110497,0.9999999,1.053855,1.0500593,1.4824694,2.0139506,2.5738583,2.6291134,2.9842527,4.3552666,4.6168056,4.9898925,5.515465,5.9433346,6.7283463,7.701608,10.0202675,12.062678,13.612462,20.20018,24.243664,27.513027,37.33501,246.98026
7,0.031596802,0.08309898,0.12741747,0.25375408,0.378801,0.5798757,0.94889694,0.9999999,0.9963982,1.4067109,1.9110318,2.4423265,2.4947581,2.8317487,4.1326995,4.380873,4.7348943,5.2336087,5.6396127,6.384508,7.3080335,9.508203,11.446239,12.916825,19.16789,23.004742,26.10703,35.427082,234.35883
8,0.031711016,0.083399355,0.12787804,0.25467134,0.38017023,0.58197176,0.95232695,1.0036147,0.9999999,1.4117957,1.9179398,2.451155,2.5037758,2.8419847,4.147638,4.396709,4.75201,5.2525268,5.659998,6.407586,7.33445,9.542572,11.487615,12.963515,19.237177,23.087896,26.2014,35.55514,235.20598
9,0.022461474,0.05907324,0.09057828,0.1803882,0.2692813,0.4122209,0.67455006,0.710878,0.70831764,0.99999994,1.3585106,1.7361964,1.7734689,2.013028,2.9378455,3.1142669,3.3659325,3.7204576,4.0090766,4.5386066,5.195121,6.7591724,8.136881,9.182287,13.626033,16.353565,18.558916,25.184334,166.60056
10,0.016533894,0.04348382,0.06667469,0.13278379,0.198218,0.30343586,0.49653637,0.5232774,0.5213927,0.7361001,0.9999999,1.2780144,1.3054507,1.4817902,2.1625485,2.2924123,2.4776635,2.7386293,2.951082,3.340869,3.824129,4.9754276,5.989559,6.7590833,10.030125,12.037862,13.661221,18.538193,122.63469
11,0.012937172,0.03402451,0.052170523,0.10389849,0.1550984,0.23742755,0.3885217,0.40944555,0.40797088,0.5759716,0.7824636,0.99999994,1.0214677,1.1594471,1.6921157,1.7937293,1.9386817,2.142878,2.3091147,2.6141088,2.992242,3.8930917,4.6866126,5.2887373,7.848209,9.41919,10.689409,14.505463,95.95719
12,0.012665276,0.03330943,0.051074073,0.101714894,0.15183875,0.23243763,0.38035628,0.4008404,0.3993967,0.5638666,0.76601887,0.9789833,0.99999994,1.1350794,1.656553,1.7560312,1.8979372,2.097842,2.2605848,2.559169,2.9293554,3.811272,4.5881157,5.1775856,7.6832657,9.2212305,10.464754,14.200606,93.9405
13,0.011158053,0.029345462,0.044996034,0.089610375,0.13376927,0.20477653,0.3350922,0.35313863,0.35186672,0.496764,0.6748592,0.8624799,0.8809955,0.99999994,1.4594159,1.5470557,1.6720743,1.8481895,1.9915652,2.2546165,2.580749,3.3577137,4.04211,4.56143,6.7689233,8.123863,9.219402,12.510672,82.76116
14,0.00764556,0.020107675,0.030831534,0.06140153,0.09165946,0.14031403,0.22960706,0.24197257,0.24110106,0.3403855,0.46241733,0.5909761,0.6036631,0.6852056,1.0,1.0600513,1.1457146,1.2663898,1.3646317,1.544876,1.7683438,2.3007243,2.7696762,3.1255176,4.638104,5.566517,6.317186,8.572383,56.708412
15,0.0072124437,0.018968588,0.029084947,0.05792317,0.086467,0.13236532,0.21659996,0.22826496,0.22744282,0.32110286,0.43622166,0.5574977,0.56946594,0.64638907,0.9433506,1.0,1.0808107,1.1946496,1.2873261,1.4573597,1.6681682,2.1703897,2.6127758,2.948459,4.3753586,5.251177,5.959321,8.086762,53.495914
16,0.00667318,0.017550334,0.026910309,0.05359234,0.08000199,0.12246855,0.20040509,0.21119793,0.21043725,0.29709446,0.40360603,0.51581436,0.5268878,0.59805954,0.8728177,0.92523146,1.0,1.1053274,1.1910746,1.348395,1.5434417,2.008113,2.4174223,2.7280068,4.048219,4.8585544,5.5137515,7.4821267,49.496105
17,0.006037288,0.015877951,0.024346007,0.04848549,0.072378546,0.11079845,0.18130836,0.19107273,0.19038455,0.26878414,0.36514613,0.46666208,0.4766803,0.54107004,0.78964627,0.8370655,0.90470934,1.0,1.0775763,1.2199055,1.3963661,1.8167584,2.1870646,2.4680533,3.6624618,4.3955793,4.9883423,6.76915,44.779587
18,0.005602655,0.014734874,0.022593303,0.044994947,0.06716791,0.1028219,0.1682557,0.17731713,0.17667848,0.24943396,0.33885872,0.4330664,0.44236338,0.5021176,0.73279846,0.776804,0.839578,0.92800856,1.0,1.1320827,1.2958397,1.6859673,2.0296147,2.2903745,3.3987956,4.079135,4.6292243,6.281829,41.55584
19,0.00494898,0.013015722,0.01995729,0.039745282,0.05933127,0.09082543,0.14862491,0.15662913,0.15606499,0.22033192,0.2993233,0.3825395,0.3907518,0.44353437,0.6473012,0.6861724,0.74162245,0.8197356,0.88332766,1.0,1.1446509,1.4892615,1.7928147,2.0231512,3.0022502,3.6032128,4.089122,5.548913,36.707424
20,0.004323571,0.0113709085,0.01743526,0.034722622,0.051833503,0.07934771,0.129843,0.13683571,0.13634287,0.1924883,0.2614974,0.33419752,0.341372,0.38748437,0.5655009,0.59945995,0.64790267,0.71614456,0.77170044,0.87362874,1.0,1.3010616,1.5662545,1.767483,2.622852,3.1478703,3.5723743,4.84769,32.06866
21,0.00332311,0.008739715,0.013400795,0.026687913,0.03983939,0.06098689,0.099797726,0.10517234,0.10479354,0.1479471,0.20098773,0.25686523,0.2623796,0.29782167,0.43464574,0.46074677,0.49798,0.55043095,0.5931313,0.67147374,0.7686031,1.0,1.203828,1.3584929,2.015932,2.4194627,2.745738,3.7259495,24.64807
22,0.0027604527,0.007259937,0.011131819,0.022169208,0.03309392,0.0506608,0.08290032,0.08736493,0.08705027,0.12289721,0.16695718,0.2133737,0.21795438,0.24739555,0.36105302,0.38273472,0.41366374,0.45723388,0.4927044,0.5577821,0.6384659,0.83068347,1.0,1.1284776,1.6746016,2.0098078,2.2808392,3.0950847,20.474745
23,0.0024461742,0.0064333905,0.009864457,0.019645236,0.029326169,0.044893052,0.07346209,0.0774184,0.077139564,0.108905315,0.14794904,0.18908104,0.1931402,0.21922947,0.319947,0.33916023,0.36656797,0.40517762,0.4366098,0.49427843,0.5657763,0.73610985,0.88614964,1.0,1.4839475,1.7809904,2.021165,2.7427082,18.143688
24,0.0016484235,0.004335322,0.0066474434,0.013238497,0.019762266,0.030252451,0.049504507,0.052170575,0.051982675,0.07338893,0.099699646,0.1274176,0.13015299,0.14773397,0.21560533,0.22855271,0.2470222,0.27304038,0.29422185,0.33308348,0.38126436,0.49604842,0.597157,0.67387825,1.0,1.2001708,1.362019,1.8482513,12.226637
25,0.0013734909,0.0036122545,0.005538748,0.011030512,0.016466213,0.025206791,0.041247886,0.043469295,0.043312732,0.06114874,0.08307122,0.10616623,0.10844539,0.123094134,0.17964555,0.1904335,0.20582254,0.2275013,0.24515001,0.2775301,0.3176751,0.4133149,0.49756002,0.56148535,0.8332148,1.0,1.1348544,1.5399904,10.187414
26,0.0012102794,0.0031830114,0.0048805806,0.00971976,0.014509538,0.022211475,0.036346413,0.038303852,0.038165893,0.053882454,0.07319989,0.09355053,0.09555886,0.10846689,0.15829833,0.16780435,0.18136472,0.2004674,0.21601892,0.24455129,0.27992585,0.3642008,0.43843514,0.4947642,0.7342042,0.88117033,1.0,1.3569938,8.976848
27,0.00089188275,0.0023456344,0.003596612,0.007162715,0.010692413,0.016368147,0.02678451,0.028226992,0.028125325,0.03970722,0.053942688,0.06893954,0.07041952,0.07993175,0.11665368,0.12365889,0.13365184,0.14772904,0.15918931,0.18021546,0.20628381,0.26838797,0.32309294,0.36460313,0.5410519,0.6493547,0.73692304,1.0,6.6152453
