Layer,Attn_vs_MLP_Ratio
0,0.5414130408581785
1,0.048834904129529254
2,0.5790692716414895
3,0.5205890711991946
4,0.5121356127389748
5,0.5362100712179777
6,0.48432960149124177
7,0.6051180493464355
8,0.5954058768220681
9,0.6089347319568216
10,0.5889584156078664
11,0.6174836275380217
12,0.6099561130412386
13,0.5705323053623911
14,0.5110702522128302
15,0.4465197264685668
16,0.38444657040483105
17,0.34828022690660626
18,0.36889649928791546
19,0.41584505298748964
20,0.3523010807890437
21,0.38007470362614176
22,0.46056646152017244
23,0.46566833034536
24,0.4549942141420071
25,0.5051647561287647
26,0.5311167957246374
27,0.2654461783746574
