,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.8917201230215499,1.4734392197380097,14.762765555573134,16.309921693450402,35.2043010842888,35.26233055120995,36.36012683121715,40.09393498157498,41.46996888950357,64.70585901321299,66.21999045769569,68.85367925083119,69.85200421757429,71.64930057135105,73.21505196498711,74.4947880456723,92.65473061638909,94.23510500996157,99.10136782234561,102.69225574340321,107.31843355071047,110.03527229677742,113.39929291071411,122.36696116754405,127.62472177391459,130.86673049239425,128.5104306320203,108.22668755083764,116.00082841103044,121.38816999705672,67.3421827249113
Layer_1,0.5465154116218155,0.0,0.647660987822371,7.497946316252762,8.591698203684365,23.07780884329556,23.07566335492208,23.765329467967142,26.574032323463932,27.429852478627197,43.419842533358384,44.478766735804854,46.36436939630032,47.01506955383451,48.17953519016675,49.253052188957646,50.090097967861716,63.89422813309303,64.9801834974984,68.19955950775271,70.65480746332491,73.74811586447176,75.7463142869904,77.96850143232666,84.02009555651065,87.55299151246417,89.71967217572686,89.61412353265686,75.46158566111721,80.67528432085317,84.11077351613088,45.64906471308678
Layer_2,0.6997345958353554,0.4695554780335235,0.0,8.106073467385857,8.936161115851,19.356850694379876,19.369940907714994,19.917272248295465,21.929045308524717,22.58553150186375,34.449132891193365,35.20614256300368,36.560535785509465,37.06129914673502,37.92797296853655,38.73314710643621,39.35252670300583,49.10168774454053,49.912462042356296,52.29313092930799,54.09812935993966,56.37294292528057,57.80557339704984,59.44738228100426,63.88687407472503,66.48714197082269,68.06694513769251,66.1853421529134,55.15013303139676,59.09554829390492,61.35562648663845,33.542880444913294
Layer_3,0.7701920304114852,0.6979334601410875,0.5872029152490583,0.0,1.1150690802875647,9.068122563061413,9.18547518696578,9.763791599398651,11.482559172078101,12.105239373753053,22.584220205927167,23.226559087548658,24.37217305782484,24.813232840523185,25.591527186681947,26.289219149402864,26.838670198688927,34.925024230982025,35.61930459137338,37.728006473825566,39.2896116492594,41.29322001857898,42.52310283607777,43.98028130964799,47.87124740638077,50.15688891336627,51.581959186275895,54.09172589538724,46.372118622625976,49.85852811221311,52.723442736851396,28.835079780472388
Layer_4,0.8877148632628326,0.8669899767974085,0.8101889522811803,0.6800047222167912,0.0,4.805102214375839,4.9055532762791465,5.285244502169885,6.257485276846296,6.6687614341723345,12.95593398052781,13.334783095985431,14.005460289635685,14.29640093521443,14.796582086861475,15.228036893771185,15.580795398996464,20.007673408045914,20.439292555456763,21.775476976655526,22.73061096072685,23.985153152940704,24.694306535275622,25.615208226671772,28.028836852502472,29.460945729248646,30.36116802174961,31.938614997582587,27.61921097976472,29.886236860945417,31.84064866362001,17.74917441796905
Layer_5,0.9554639908254,0.9559464084135519,0.9396049441322746,0.8654190920885229,0.8000231909029412,0.0,0.507175870306857,0.8538838778237258,1.208728684644832,1.5975734059875075,5.660571001769089,5.827110155989751,6.111511383263622,6.339466504636698,6.673719483843405,6.923758951783864,7.153813241838335,8.27024530856752,8.520548919885496,9.330037158010047,9.834116182788096,10.554127212043282,10.823492707432928,11.36643123079967,12.705489678035303,13.52510302385085,14.057713116513813,14.810907066307724,12.809696754405579,14.359500435119179,15.838568407819468,9.487836835425375
Layer_6,0.9685851143189477,0.9736408792881571,0.9628878792810401,0.9040770550227185,0.8488021823932264,0.4328554441311826,0.0,0.5641549547171613,0.9076573043744355,1.2479621747494916,4.689851161400672,4.839659494322699,5.094028150810754,5.2904597047310595,5.5777097314620585,5.788598520261747,5.9845731234960535,6.969888849203748,7.177868558577491,7.866892667015882,8.293086925361315,8.906679188980615,9.13797953165915,9.596580421407138,10.736221404860588,11.432879758017851,11.88237713634919,12.53506155349894,10.856577119507035,12.167913044016446,13.435410884635356,8.037378623581246
Layer_7,0.9811603866279565,0.9857859876095321,0.9784040616048739,0.9423549286075346,0.9005925786192548,0.5764772722605893,0.44669687794330765,0.0,0.5298502675633661,0.8362375911779818,3.529147435074259,3.6624435679918426,3.878474834900621,4.039296025237912,4.271644950401187,4.435728306364173,4.5890040044214375,5.411416284965746,5.571377532585638,6.11838097966762,6.453207791583837,6.939536187025878,7.123961090162872,7.485379882565685,8.383946890913005,8.933202822417337,9.286154477543562,9.810723330523517,8.522126647314998,9.543413647269734,10.541011016745728,6.307999740556847
Layer_8,0.9880140875813221,0.994428965373668,0.9902344282097156,0.9679289420641025,0.9351598535962616,0.681094732858625,0.595221651152057,0.4324678238984701,0.0,0.4464348830423035,2.2115276483704474,2.3477127373364985,2.5415162019901447,2.6778294403078515,2.8777982919163434,3.0050386703961407,3.1360458440218277,3.782034658292197,3.900570090338405,4.360821832310069,4.63201532629452,5.03989282736126,5.192629642314739,5.492581386823912,6.238299474083528,6.697928393502201,6.9902188307334905,7.513078118620301,6.823256040380979,7.625675188919055,8.494595849836195,5.162992455937841
Layer_9,0.9884172128322767,0.9917634165160095,0.9862654036327427,0.9668413012072652,0.9393152638500972,0.7207575097716704,0.647937070630204,0.5318010410844645,0.34313154269397306,0.0,0.9684239910529541,1.1053570922674651,1.286770052005774,1.4047862642324918,1.587480848241692,1.700353218140317,1.8222143023254245,2.3594309165768697,2.459253836322475,2.874393526205364,3.1106395694098445,3.477961133485149,3.6170382339577514,3.889024937572682,4.5582598833448085,4.975627849182079,5.241982434246991,5.850816832518206,5.800233405501407,6.455963675259177,7.29305599284504,4.552450215982473
