Layer,Logit_Lens_KL,Top1_Match_Rate
0,5.161812573671341,0.0
1,4.940087288618088,0.0
2,5.190159738063812,0.0
3,5.128033638000488,0.0
4,5.162074416875839,0.0
5,5.766749322414398,0.0
6,6.473393797874451,0.0
7,6.585335373878479,0.0
8,6.236610472202301,0.0
9,6.504817873239517,0.0
10,6.158975005149841,0.0
11,5.9712875187397,0.0
12,5.9291349947452545,0.0
13,5.782308876514435,0.0
14,5.655745983123779,0.0
15,5.606288284063339,0.0
16,5.592932879924774,0.0
17,5.478869080543518,0.0
18,5.439961403608322,0.0
19,4.999951720237732,0.0
20,4.906340271234512,0.0
21,4.7022624015808105,0.0
22,4.673022747039795,0.0
23,4.606964528560638,0.0
24,4.3795687556266785,0.0
25,4.403501749038696,0.0
26,3.7176893204450607,0.01171875
27,2.700319826602936,0.03515625
28,1.589870609343052,0.05859375
29,0.6410608384758234,0.29296875
30,0.3702021259814501,0.42578125
31,2.4314198791980743,0.67578125
