Layer,Attn_vs_MLP_Ratio
MoE_Layer_0,0.0
MoE_Layer_1,0.0
MoE_Layer_2,0.0
MoE_Layer_3,0.0
MoE_Layer_4,0.0
MoE_Layer_5,0.0
MoE_Layer_6,0.0
MoE_Layer_7,0.0
MoE_Layer_8,0.0
MoE_Layer_9,0.0
MoE_Layer_10,0.0
MoE_Layer_11,0.0
MoE_Layer_12,0.0
MoE_Layer_13,0.0
MoE_Layer_14,0.0
MoE_Layer_15,0.0
MoE_Layer_16,0.0
MoE_Layer_17,0.0
MoE_Layer_18,0.0
MoE_Layer_19,0.0
MoE_Layer_20,0.0
MoE_Layer_21,0.0
MoE_Layer_22,0.0
MoE_Layer_23,0.0
MoE_Layer_24,0.0
MoE_Layer_25,0.0
MoE_Layer_26,0.0
MoE_Layer_27,0.0
MoE_Layer_28,0.0
MoE_Layer_29,0.0
MoE_Layer_30,0.0
MoE_Layer_31,0.0
