Layer,SVD_Entropy_O_Proj
0,0.9580389857292175
1,0.9733428955078125
2,0.976486325263977
3,0.9825060367584229
4,0.9780126810073853
5,0.9776660799980164
6,0.9742056727409363
7,0.975062906742096
8,0.9770541787147522
9,0.9779878854751587
10,0.9786844849586487
11,0.9741610288619995
12,0.9753741025924683
13,0.9755526185035706
14,0.9717565774917603
15,0.9744259119033813
16,0.9717212915420532
17,0.9732252359390259
18,0.9725529551506042
19,0.9747353196144104
20,0.9740938544273376
21,0.980454683303833
22,0.9740358591079712
23,0.9788699150085449
24,0.9754140973091125
25,0.9782858490943909
26,0.9776384234428406
27,0.9778466820716858
28,0.9739614129066467
29,0.9693143963813782
30,0.9725295901298523
31,0.9422171711921692
