Layer,Spectral_Norm
0,3.3621548005979354
1,3.269035808027607
2,3.445114948161661
3,3.581418951896772
4,3.440315631970967
5,3.533569237957262
6,3.4338461030019474
7,3.520955065341845
8,3.372862355349815
9,3.5819366027231085
10,3.57284140995104
11,3.333895261157049
12,3.477482341740229
13,3.456994501695241
14,3.4345735376828337
15,3.5528750003200686
16,3.749753900294034
17,3.7637278673783787
18,3.892752969040061
19,3.851577603592063
20,3.8583399214834535
21,3.8976140876985945
22,3.829143470188357
23,3.918930125686358
24,3.8098802094189628
25,3.829399342806834
26,3.905307839501579
27,4.108674222568296
28,4.562086352762186
29,4.517594812051305
30,4.858777028209758
31,6.256827138504892
