Layer,Effective_Rank
0,412.26518296542235
1,435.5187142123915
2,436.6050960266427
3,440.6927522437213
4,442.8828298490341
5,442.36794756536614
6,443.0559154079385
7,443.39709746347717
8,444.51499427508
9,442.05840569326324
10,443.6472685892288
11,444.6001040837536
12,443.5736285693025
13,444.6727992410529
14,442.20525097520385
15,442.4782726470738
16,467.0887706144801
17,467.39950148564463
18,467.6595284983797
19,468.4445609236663
20,469.963654572109
21,470.8189062982235
22,470.3353217142933
23,470.6610709136387
24,472.39530548059713
25,473.49530101272296
26,471.3508711850868
27,471.5096094383384
28,471.5039207980318
29,469.0374749111679
30,468.9539559562251
31,434.9167307007988
