,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.14022078859806061,0.23339986515045166,0.3298760434389114,0.47203970557451247,0.6724429679512978,0.7186351689100265,0.7855801468193531,0.8231769464612008,0.8292883834540844,0.8264101077616215,0.8192149817049503,0.8211778567135334,0.8318462516665459,0.8315644006729126,0.838766731619835,0.8456853797584772,0.8565109665989876,0.8636703137308359,0.8763184246122837,0.8817646827250719,0.8884399528205394,0.892572993054986,0.8959237833172083,0.9030422618091106,0.9048720890134573,0.9087881600111722,0.9163229980021715,0.922784390360117,0.9249793363064528,0.9462311989217996,0.9690310657024384
Layer_1,0.14022078859806061,0.0,0.10461284482479095,0.24893629229068756,0.40400879406929013,0.6219385874867439,0.6784480401277542,0.7459602048099041,0.7935676729977131,0.7980088222920895,0.7907385184168816,0.782417348921299,0.7850024401545524,0.798708467900753,0.800063556522131,0.8071380234956741,0.8179426574409008,0.8296018404066563,0.8381443301141263,0.8541422467976808,0.8619551936089993,0.8692061475813389,0.874580263748765,0.8805684258788824,0.8884694430083037,0.8924185811132193,0.8956277316063642,0.9027232965379953,0.9138879649341106,0.914367457062006,0.946726105324924,0.9651622826121747
Layer_2,0.23339986515045166,0.10461284482479095,0.0,0.1641931128501892,0.3393996542692184,0.5955677342414856,0.654769898712635,0.7262624179720879,0.7764145444631576,0.7799514743387699,0.7771873440444469,0.7672241832017899,0.7700479008555412,0.7835256467163563,0.785606743246317,0.7931391621828079,0.8020944649875164,0.8168229611515999,0.8247235076427459,0.841132664322853,0.8494821833223104,0.8565722420960665,0.861279855236411,0.8667192565947771,0.8753717458844185,0.8798356023430824,0.8824215934574604,0.8905252994447946,0.9003458322882653,0.9001694195121527,0.9305961794108153,0.9511003598496318
Layer_3,0.3298760434389114,0.24893629229068756,0.1641931128501892,0.0,0.25002121126651766,0.5203645201325416,0.5925269379019737,0.6808565653562546,0.7391836871802807,0.7476159326136113,0.748998404443264,0.7456057074666024,0.7500921304821968,0.7642356310486793,0.7702352828383445,0.7742895809412003,0.7819932451546192,0.79570639321208,0.8024073959290982,0.8204430662095547,0.8276380171179771,0.8362039857804775,0.8401848810911179,0.8464398545026779,0.8568236975222826,0.8610428599268198,0.86337131126225,0.8734795663952828,0.8828111337125302,0.882668547719717,0.9177042244076729,0.9280330019295215
Layer_4,0.47203970557451247,0.40400879406929013,0.3393996542692184,0.25002121126651766,0.0,0.454664186000824,0.5174403935074806,0.6032894669771195,0.6562479133605957,0.6806313250064849,0.6943209968805313,0.6916885771751404,0.6980042859911919,0.7149332471489906,0.7215499733686447,0.7292081714570522,0.7380202767848969,0.7595379791855812,0.7698108892440796,0.7893245704770088,0.8009399973452092,0.8104504472017289,0.8169634870886803,0.8231190035939216,0.8334651842713356,0.836724440395832,0.8400863827168942,0.8522123682498932,0.8623627183884383,0.8640233955979347,0.8886714601516723,0.9170560474991798
Layer_5,0.6724429679512978,0.6219385874867439,0.5955677342414856,0.5203645201325416,0.454664186000824,0.0,0.15689520025253295,0.2894074841737747,0.37680909597873685,0.4198438109755516,0.4444958348274231,0.4587026081085205,0.4805602254271507,0.5076850832104683,0.5341452850103379,0.5437402251362801,0.5617743141651154,0.5793908460736275,0.5896751408576966,0.629174106001854,0.6436611943840981,0.6652698855698108,0.6729957421123981,0.684142642557621,0.7094905804991722,0.7222244602143765,0.73045468044281,0.7506231741905213,0.8008700472712517,0.8226786700189114,0.8944922853857279,0.9161997862309218
Layer_6,0.7186351689100265,0.6784480401277542,0.654769898712635,0.5925269379019737,0.5174403935074806,0.15689520025253295,0.0,0.163041264295578,0.2698491116762161,0.32864873731136324,0.37457656890153884,0.3936730858683586,0.4189739471077919,0.4493970176577568,0.48158690869808196,0.4942128111124039,0.5132777038812637,0.5392730545997619,0.5482861660718917,0.5901362799406051,0.6031846601963043,0.6282433564066887,0.6361861021518708,0.6466307275891304,0.6768291782438755,0.6911995648741722,0.698034802109003,0.7231711066961288,0.7722811948657036,0.7970570864081383,0.8735507158041,0.9025143553763628
Layer_7,0.7855801468193531,0.7459602048099041,0.7262624179720879,0.6808565653562546,0.6032894669771195,0.2894074841737747,0.163041264295578,0.0,0.13390252244472503,0.22007273030281066,0.2993251507282257,0.33200055539608003,0.3653763846158981,0.4011285528540611,0.44182004588842394,0.4562625786662102,0.47460896348953246,0.513959785759449,0.5227665380835533,0.569176629960537,0.5828292233943939,0.6116478767395019,0.6185625268220901,0.6318827959299087,0.6649535368084908,0.6821108198165894,0.6902202945053577,0.715305575042963,0.7618644759654999,0.7883225080370903,0.8567710601836442,0.8868206632882356
Layer_8,0.8231769464612008,0.7935676729977131,0.7764145444631576,0.7391836871802807,0.6562479133605957,0.37680909597873685,0.2698491116762161,0.13390252244472503,0.0,0.10731904602050782,0.21378201735019683,0.25349362099170686,0.28904058754444123,0.3265586848258972,0.3716536419391632,0.38895537781715395,0.4090467255115509,0.4560687963366509,0.4632265104651451,0.5132847091555596,0.5293493402600289,0.5616001920700073,0.5702565749883651,0.5848465200066566,0.6191593360900879,0.6403649109601974,0.6486520550847054,0.6758695253133774,0.7214500895142555,0.7503516720831395,0.8203389956951141,0.8615372609347105
Layer_9,0.8292883834540844,0.7980088222920895,0.7799514743387699,0.7476159326136113,0.6806313250064849,0.4198438109755516,0.32864873731136324,0.22007273030281066,0.10731904602050782,0.0,0.13564387321472168,0.17070678257942198,0.20577698624134064,0.23943728983402252,0.28189693784713743,0.3028644149303436,0.3250980017185211,0.3743041672706604,0.3843188591003418,0.4311619822978973,0.4484815419316292,0.4791822025179863,0.48953394329547884,0.5061037017703056,0.5373509405255318,0.559771300315857,0.5716670348048211,0.6017576026320457,0.650415114402771,0.6824849311113358,0.7573995334506035,0.8311386335194111
Layer_10,0.8264101077616215,0.7907385184168816,0.7771873440444469,0.748998404443264,0.6943209968805313,0.4444958348274231,0.37457656890153884,0.2993251507282257,0.21378201735019683,0.13564387321472168,0.0,0.031828076243400574,0.0668680716753006,0.10745553481578828,0.15097616338729858,0.17789071905612946,0.2066957700252533,0.2425702303647995,0.2614599586725235,0.3101212419271469,0.32916347551345826,0.3606466479301453,0.3749702913761139,0.39683492624759675,0.4284076828956604,0.4524173166155815,0.46728700935840606,0.4998915605545044,0.58208633518219,0.6120446577072144,0.7245871121585369,0.8222259449660778
Layer_11,0.8192149817049503,0.782417348921299,0.7672241832017899,0.7456057074666024,0.6916885771751404,0.4587026081085205,0.3936730858683586,0.33200055539608003,0.25349362099170686,0.17070678257942198,0.031828076243400574,0.0,0.031033432602882386,0.06754407835006714,0.10451464974880219,0.13589594435691835,0.16550449991226196,0.20289369118213654,0.22587593483924867,0.2672122334241867,0.28924234402179716,0.31772925090789794,0.33480133402347567,0.3587801809310913,0.3863027676343918,0.4090782800912857,0.4259226268529892,0.4599932200312614,0.5449483891725541,0.5771358330249786,0.6884922718405724,0.8077702941596508
Layer_12,0.8211778567135334,0.7850024401545524,0.7700479008555412,0.7500921304821968,0.6980042859911919,0.4805602254271507,0.4189739471077919,0.3653763846158981,0.28904058754444123,0.20577698624134064,0.0668680716753006,0.031033432602882386,0.0,0.0343032842874527,0.0685183471441269,0.10060865175724029,0.13101752591133117,0.169219388961792,0.1937863737344742,0.23058908689022065,0.25408408427238466,0.28124357771873476,0.29994505417346956,0.3258734710216522,0.34887270438671114,0.3708700145483017,0.3892396038770676,0.42318901741504666,0.5100025514364243,0.5436654024124146,0.652977755844593,0.7924423516988754
Layer_13,0.8318462516665459,0.798708467900753,0.7835256467163563,0.7642356310486793,0.7149332471489906,0.5076850832104683,0.4493970176577568,0.4011285528540611,0.3265586848258972,0.23943728983402252,0.10745553481578828,0.06754407835006714,0.0343032842874527,0.0,0.031743480682373044,0.06399431824684143,0.09090371131896972,0.13729585814476014,0.1597848677635193,0.19276291227340697,0.21658525598049164,0.24306611227989197,0.2625137058496475,0.2908991802930832,0.3108072921037674,0.3328525550365448,0.3521779862642288,0.38764928257465364,0.4729944998025894,0.5077425296902657,0.6083560581207276,0.7702521872222423
