,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,1.0,0.8259805629849434,0.8205672661066056,0.088886448610574,0.08894138642773032,0.09237391873449087,0.09235711091384291,0.09225301763042808,0.09302116884291171,0.09321051907166839,0.08286331789940596,0.08292280875891447,0.0828177927993238,0.08264869756251574,0.08265221055597066,0.08250884846225381,0.08256793854758143,0.083301752820611,0.08323022409528494,0.08334581718593836,0.08346259766817093,0.08358855367079378,0.08402920902520418,0.0841863628141582,0.08438019146770238,0.08453729046136141,0.08465930783376098,0.0821115418970585,0.1542727001234889,0.14760248210281135,0.1687533328384161,0.24956736895442008
Layer_1,0.8259805584549904,1.0,0.9559239039421081,0.08511996171274222,0.08522208835324273,0.07909640298527665,0.07940985670080408,0.0794313743156381,0.07860221008816734,0.0790396032826975,0.06071432795608416,0.06062938511604443,0.06020216972450726,0.060068201299523935,0.0600475025146734,0.05980482715880498,0.0598181529387366,0.0555633934577927,0.05537406087527052,0.0554734062878415,0.05531293118186295,0.05541867465432733,0.055317146583693105,0.05542965217214078,0.05560435297363438,0.05573317274521105,0.055794632833916696,0.04183619076921605,0.09295663234777748,0.08157968233246356,0.09437258275970817,0.14799727842211724
Layer_2,0.8205672662258148,0.9559239057302475,1.0,0.06000487319682725,0.06004379852535203,0.06536346569098532,0.06512352719623596,0.06500518811657094,0.06553350157686509,0.06548408782156184,0.046818506794050335,0.04688926853612065,0.04676080050715245,0.046611166619928555,0.046614482693374155,0.04651941780163907,0.04654913675831631,0.047377580435480925,0.04729970003128983,0.04736784796789289,0.0474047903472092,0.047488640991738065,0.04784548420226201,0.04796444170898758,0.048103257770882916,0.04822235787194222,0.04831200242321938,0.043647689634468405,0.10308628562372178,0.08657814126741141,0.10429389073885978,0.1633754689209163
Layer_3,0.08888644678145648,0.08511995966755785,0.06000487174140289,1.0,0.9999884775876999,0.9849393224716186,0.9855687991380692,0.9850992591381073,0.9796954449415207,0.9804821002483368,0.5684698626995087,0.5678921308219432,0.5617245787978172,0.5590345723628998,0.5587981657087803,0.5561009278893471,0.555867083966732,0.5119619866013527,0.5090504399836063,0.5095805903673172,0.506021373808384,0.506462187975645,0.5044220367968082,0.5047752817571163,0.505373414427042,0.5058998934328556,0.5047480098903179,0.194382477581501,0.2804917854964733,0.2600788174495101,0.12691113084554673,0.40551067993044854
Layer_4,0.08894138513132929,0.08522208677371963,0.06004379774117842,0.9999884744882583,1.0,0.9850900810956955,0.9857196779251098,0.9852474355697631,0.9798654978275299,0.9806465975046158,0.5684944394528866,0.5679171594679355,0.5617504903078079,0.5590616723895073,0.5588257470130921,0.5561300519108773,0.5558962856531143,0.5120315189659596,0.5091206643581391,0.5096508455574512,0.5060936135947705,0.5065341359972954,0.5044935150742531,0.5048459829688072,0.5054436524808407,0.5059699589908123,0.5048177655637264,0.19447314517945052,0.2806307852715254,0.2601827762573957,0.1269394180700183,0.40564687594771387
Layer_5,0.09237391718104482,0.07909640166978352,0.06536346535058692,0.9849393118619919,0.9850900801420212,1.0,0.9999239255189896,0.9996024137735366,0.998763747215271,0.9985786798000336,0.5666247787475586,0.5662970830500126,0.5605945937931538,0.5578529487848282,0.5576496923863887,0.5552301913797856,0.5550374720990657,0.5214329244196415,0.518697760105133,0.5191900737881661,0.5160067132115365,0.5163960233926773,0.5150644679665566,0.5153624306619168,0.5158808730840683,0.5163865981698036,0.5152187322080135,0.21176706736534834,0.30681208451092246,0.27854756247252227,0.13185294124111532,0.42460319709777833
Layer_6,0.09235710991173983,0.07940985587239266,0.0651235260667745,0.985568804860115,0.9857196811437606,0.9999239211082458,1.0,0.999746288061142,0.9990150947570801,0.9988957748413086,0.5670953429639339,0.5667518108189106,0.561044839322567,0.5583472338616848,0.558146016061306,0.555735660970211,0.5555479491949081,0.5216816899180412,0.5189626466035843,0.5194579366445541,0.5162683232426644,0.5166591835916042,0.5153111335933208,0.5156102357804775,0.5161339744329453,0.5166412029564381,0.5154736863672733,0.21168878162652255,0.306799149364233,0.2784818208217621,0.1318527389764786,0.4243929689824581
Layer_7,0.09225301633030177,0.07943137296568602,0.06500518738734536,0.9850992597341538,0.9852474374771119,0.9996024177074433,0.9997462869882584,1.0,0.9993840155601501,0.9992608060836792,0.5674086792171001,0.5670644645690918,0.5613535488843918,0.5586626321077347,0.5584617860913277,0.5560439376533032,0.5558561770617962,0.5219025258719922,0.519179629445076,0.5196756182610989,0.5164845075905323,0.5168757116794587,0.5155194230973721,0.5158184009194374,0.5163430588543415,0.5168503582775593,0.5156826338171959,0.21175692573189736,0.30683810126781463,0.27850477370619775,0.1318798512071371,0.42419870334863663
Layer_8,0.09302116758748889,0.07860220956522972,0.0655335007761605,0.9796954427957535,0.9798654984235764,0.9987637578248978,0.9990151003599167,0.9993840140104294,1.0,0.999846293091774,0.5660475698113442,0.5657228859066963,0.56012027785182,0.557507781535387,0.5573185622394085,0.5550179902911186,0.5548507061600685,0.5229469598531723,0.5203208259344101,0.5208117883205414,0.5177055620253086,0.5180872350037098,0.5168809622526169,0.5171690650284291,0.5176841536164284,0.518189196228981,0.517023569881916,0.21512880463898182,0.31248861625790597,0.2822056285738945,0.13331333267316223,0.42745749655365944
Layer_9,0.09321051806211472,0.0790396030554548,0.06548408760456369,0.9804820971488952,0.980646601676941,0.9985786917209625,0.9988957899808883,0.9992608134746551,0.9998462980985642,1.0,0.57623722204566,0.5759016783833504,0.5703374319970608,0.5677750897407532,0.5675884683430195,0.5653101321756839,0.5651480999588966,0.5331793096959591,0.5305785188376904,0.5310692371129989,0.5279637758731842,0.5283441990315915,0.5271290123164654,0.5274162722229958,0.5279315284490586,0.528435896396637,0.5272737759649754,0.2240164903178811,0.31948935076594354,0.28982519030570986,0.13805459211021662,0.4325626648068428
