,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,7.6409716796875,8.176462890625,526.880615234375,528.880615234375,582.380615234375,578.880615234375,578.880615234375,579.880615234375,579.880615234375,579.880615234375,579.880615234375,579.380615234375,581.380615234375,581.380615234375,583.380615234375,583.380615234375,586.380615234375,589.380615234375,589.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,589.380615234375,317.0500698242187,126.8260244140625,131.3799991760254,102.19622595214844,22.324962646484376
Layer_1,7.6409716796875,0.0,0.8900908203125,526.5126254882813,528.5126254882813,582.0126254882813,578.5126254882813,578.5126254882813,579.5126254882813,579.5126254882813,579.5126254882813,579.5126254882813,579.0126254882813,581.0126254882813,581.0126254882813,583.0126254882813,583.0126254882813,586.0126254882813,589.0126254882813,589.0126254882813,591.0126254882813,591.0126254882813,591.0126254882813,591.0126254882813,591.0126254882813,591.0126254882813,589.0126254882813,316.98538598632814,126.40433520507813,131.31306646728515,102.15455397033692,22.05213232421875
Layer_2,8.176462890625,0.8900908203125,0.0,526.33203125,528.33203125,581.83203125,578.33203125,578.33203125,579.33203125,579.33203125,579.33203125,579.33203125,578.83203125,580.83203125,580.83203125,582.83203125,582.83203125,585.83203125,588.83203125,588.83203125,590.83203125,590.83203125,590.83203125,590.83203125,590.83203125,590.83203125,588.83203125,316.95059423828127,126.20816284179688,131.2763705444336,102.12497454833985,21.96506494140625
Layer_3,526.880615234375,526.5126254882813,526.33203125,0.0,2.50115625,55.89420475769043,53.49926249694824,53.546262496948245,54.80364490509033,54.88522278594971,311.10299432373046,311.48302770996094,314.43902770996095,317.43691705322266,317.55819940185546,320.0604533081055,319.67583978271483,345.5916945800781,348.03782043457034,347.5749772949219,350.5766604003906,350.82266040039065,351.3465354003906,351.3091078491211,351.55708728027344,351.5828243408203,350.92631872558593,317.6398225708008,461.677,444.820375,518.9112421875,520.1112265625
Layer_4,528.880615234375,528.5126254882813,528.33203125,2.50115625,0.0,54.4138544921875,52.517340087890624,52.58902758789063,53.89042346191406,53.99204821777344,311.18079681396483,311.5602237548828,314.5162237548828,317.51166448974607,317.6330731811523,320.1358150024414,319.75103802490236,345.68318286132813,348.12911315917967,347.66628765869143,350.6684546508789,350.9144546508789,351.4383296508789,351.40106689453125,351.6488991699219,351.6747741699219,351.01827404785155,317.79701208496095,464.177,447.320375,521.4112421875,522.6112265625
Layer_5,582.380615234375,582.0126254882813,581.83203125,55.89420475769043,54.4138544921875,0.0,3.59543359375,6.415302734375,9.81434423828125,10.024863037109375,310.4020295410156,310.79033959960935,313.8116199951172,316.7630911865234,316.8835252685547,319.3489051513672,318.9693206787109,344.92941796875,347.36823095703124,346.90517065429685,349.9042219238281,350.15122192382813,350.6798156738281,350.64774609375,351.0235915527344,351.1038347167969,350.4753146972656,342.823,514.177,498.65225,571.4112421875,572.6112265625
Layer_6,578.880615234375,578.5126254882813,578.33203125,53.49926249694824,52.517340087890624,3.59543359375,0.0,4.39078857421875,9.2915126953125,9.532503662109375,310.7756716308594,311.1644756469727,314.1840838623047,317.13382135009766,317.25366149902345,319.71798620605466,319.33789910888675,345.30296966552737,347.7408422241211,347.2772659912109,350.2754237060547,350.5223612060547,351.0486014404297,351.0151735839844,351.3807381591797,351.4579881591797,350.82820568847654,339.33259375,510.677,495.15225,567.9112421875,569.1112265625
Layer_7,578.880615234375,578.5126254882813,578.33203125,53.546262496948245,52.58902758789063,6.415302734375,4.39078857421875,0.0,7.298953125,7.7691953125,311.0797205200195,311.4683851928711,314.48597772216795,317.4355001831055,317.555168762207,320.0175092163086,319.6371976928711,345.6053540649414,348.0434447631836,347.57987982177735,350.5775316772461,350.8244691772461,351.34983197021484,351.31604302978513,351.67739727783203,351.754647277832,351.12428662109374,339.3352568359375,510.677,495.15225,567.9112421875,569.1112265625
Layer_8,579.880615234375,579.5126254882813,579.33203125,54.80364490509033,53.89042346191406,9.81434423828125,9.2915126953125,7.298953125,0.0,5.615087890625,311.67056494140627,312.05871923828124,315.07555224609376,318.02620166015623,318.1456293945312,320.60878955078124,320.22873583984375,346.1704091796875,348.6088486328125,348.1449052734375,351.1427294921875,351.3896044921875,351.922220703125,351.895919921875,352.2674833984375,352.3447333984375,351.71381640625,340.3297509765625,511.677,496.15225,568.9112421875,570.1112265625
Layer_9,579.880615234375,579.5126254882813,579.33203125,54.88522278594971,53.99204821777344,10.024863037109375,9.532503662109375,7.7691953125,5.615087890625,0.0,310.1663659667969,310.5528620605469,313.56874462890624,316.52008544921875,316.63939794921873,319.1009838867187,318.72101416015624,344.66480712890626,347.10341064453127,346.63962548828124,349.63742333984374,349.88423583984377,350.41355224609373,350.38583154296873,350.75725146484376,350.83466552734376,350.2040375976562,340.323,511.677,496.15225,568.9112421875,570.1112265625
