,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,1.0,12.039022486686706,14.371646280765534,15660.068841796876,15779.018454101562,19486.321609375,19232.812125,19242.531533203124,19460.5052265625,19548.938291015624,37514.775703125,37585.28787695312,37992.53808789062,38406.112505859375,38472.78606640625,38978.69770898438,39021.305046875,43653.19473046875,44295.04580859375,44566.551859375,45404.1221328125,45779.16415625,46150.15515625,46465.38441796875,47493.5508671875,48064.41342578125,48309.86969921875,28117.381146484375,9584.563297851562,11770.003036132812,11669.346114257813,3356.8053071289064
Layer_1,0.17680408347398044,1.0,1.3297843408584595,3074.126442504883,3097.3256208496095,3820.2300959472655,3770.7416654052736,3772.3744927978514,3815.2708073120116,3831.58010345459,7209.314334960937,7222.940289550781,7300.609962646485,7379.405940124511,7392.257319213867,7488.567931823731,7496.91125366211,8379.467737060548,8501.968920288085,8554.329957885742,8714.259967407226,8786.560606201172,8857.793665039062,8918.371239013672,9114.745876831055,9224.177553833008,9271.504814331054,5349.724772705078,1836.7184515991212,2244.682866394043,2228.0339958190916,641.7984252243042
Layer_2,0.1174535486921668,0.7730333778858185,1.0,2011.7712695617677,2026.9705166625977,2500.670948425293,2468.251221557617,2469.354054748535,2497.4380287475587,2508.239787902832,4738.159893310547,4747.1070095214845,4798.254594726563,4850.137407531738,4858.570208435059,4921.9807002563475,4927.44176776123,5508.636937866211,5589.267678344727,5623.60576361084,5728.839045471192,5776.286094299317,5823.10042565918,5862.8625451660155,5991.913211181641,6063.777247070312,6094.816916503906,3522.7726408691406,1207.1545326538087,1476.751635925293,1465.22152835083,421.76160277557375
Layer_3,6.629102757142391e-05,0.0008807067557791015,0.0010412105031136888,1.0,1.0076098251342773,1.244388615846634,1.2281847867965698,1.2288303036689758,1.2426580123901367,1.2485933935642242,2.4450809202194215,2.4496500635147096,2.4764599924087523,2.503650914669037,2.507983199119568,2.541234888792038,2.543962830543518,2.84822075676918,2.890353751659393,2.9079173548221586,2.9628008766174316,2.9871476628780367,3.0113642275333405,3.0318730313777924,3.098899768829346,3.136012659072876,3.152038887262344,1.8486492245197297,0.6242925919294358,0.768635780096054,0.7617360383272171,0.21824434703588486
Layer_4,6.578939139581053e-05,0.000874019889277406,0.0010333073014044203,0.9924477090835572,1.0,1.2349884433746339,1.2189071533679963,1.2195480103492737,1.233271277666092,1.2391616494655608,2.4265813648700716,2.4311159303188323,2.457722754716873,2.484707730293274,2.489007252216339,2.5220071771144865,2.52471449136734,2.826668357849121,2.868482373714447,2.885913244009018,2.94038130736351,2.964544018983841,2.9885774009227752,3.0089311485290526,3.0754509711265565,3.11228328204155,3.1281882903575897,1.8346511795520783,0.6195692440867424,0.7628192526698112,0.7559723326563835,0.21659412932395936
Layer_5,5.327825564745581e-05,0.000707430240654503,0.0008364068028749898,0.8037016879320145,0.809816312789917,1.0,0.9869802742004394,0.9874987794160843,0.9985938999652862,1.003362933397293,1.965070779800415,1.9687428073883058,1.9902847528457641,2.012133129835129,2.0156157603263853,2.0423378195762636,2.0445308198928833,2.2889909789562224,2.3228465638160705,2.3369667797088622,2.3810728752613066,2.400644109725952,2.420099977970123,2.436589194536209,2.4904700634479524,2.5203064489364624,2.533188895702362,1.4856424486637116,0.5016961045265198,0.6177449467778205,0.6122413911223411,0.17544142705202104
Layer_6,5.3981613571522756e-05,0.0007167800044699106,0.0008474605552910361,0.8143024975061417,0.8204978609085083,1.013191775083542,1.0,1.0005246294736863,1.011765771150589,1.0165976190567017,1.9909739680290222,1.9946944301128386,2.0165202441215517,2.0386565639972685,2.0421851990222932,2.0692595088481904,2.071481494188309,2.3191640336513517,2.3534658772945405,2.367772612094879,2.4124602398872375,2.432289907693863,2.4520024874210358,2.468709405183792,2.5233016057014463,2.553531965255737,2.5665845801830294,1.505227916955948,0.5083170818090439,0.6258973600268364,0.6203226744532585,0.17775707544386388
Layer_7,5.39524305931991e-05,0.0007163426383049227,0.0008469502023363021,0.8138796988725662,0.8200719966888428,1.0126654324531554,0.9994797773361206,1.0,1.0112347791194916,1.016063312292099,1.9898013756275177,1.9935198085308075,2.015332193374634,2.0374548897743225,2.040981739282608,2.0680396134853365,2.0702606112957,2.317793395757675,2.352074506521225,2.3663744957447053,2.4110358564853667,2.4308555924892428,2.450557659626007,2.4672561545372007,2.5218207490444184,2.552035846710205,2.5650822381973266,1.5043238471746445,0.5080435171127319,0.6255538426637649,0.6199895700216294,0.17766490153968334
Layer_8,5.335881499195238e-05,0.0007085057835647604,0.0008376824876468163,0.8048566342592239,0.8109802868366242,1.0014216309785844,0.9883820610046387,0.9888960390090943,1.0,1.00477494931221,1.9677660896778106,1.9714433817863464,1.9930128154754638,2.014889535665512,2.0183778412342073,2.0451358273029325,2.047332533836365,2.2921041173934937,2.3260039293766024,2.340147278547287,2.3843136720657347,2.4039156584739687,2.4233972556591032,2.4399132087230684,2.4938787131309508,2.523763027191162,2.53666609621048,1.48765755879879,0.5024202531576156,0.6186511468291283,0.6131630675792694,0.17571321150660515
Layer_9,5.3092433481651825e-05,0.0007048884910909692,0.0008334145120461471,0.8010406438112259,0.8071351542472839,0.9966731450557709,0.9836953105926514,0.9842060914039612,0.9952574512958526,1.0,1.9565982520580292,1.9602558143138886,1.9816893293857574,2.0034332568645477,2.00690468454361,2.0335038702487944,2.035691270828247,2.279001095056534,2.312701403617859,2.326780779838562,2.3706927332878114,2.390201371431351,2.4095840709209444,2.4260205228328706,2.479721025466919,2.5094634387493135,2.5223050661087036,1.4788343646526336,0.4998154461979866,0.6153760637640953,0.6099811986684799,0.17484435606002807
