Layer,KL_Div_Noise
0,1.69229856133461
1,1.546164095401764
2,1.3512312918901443
3,1.3409347236156464
4,1.0751129388809204
5,1.1429328620433807
6,0.8296886384487152
7,0.5848158001899719
8,0.3420991227030754
9,0.15021520107984543
10,0.13287720642983913
11,0.08885813131928444
12,0.07547608204185963
13,0.07150151953101158
14,0.04824494197964668
15,0.05158297065645456
16,0.046463917940855026
17,0.030520999804139137
18,0.042175459675490856
19,0.03725408762693405
20,0.04449878539890051
21,0.0441055977717042
22,0.028176552848890424
23,0.025095548713579774
24,0.030585098545998335
25,0.025345552247017622
26,0.026290651177987456
27,0.01998648652806878
28,0.021391965681686997
29,0.020407913718372583
30,0.0046805051388219
31,0.003659759764559567
