Layer,Outlier_IoU
MoE_Layer_0,0.39501206237077713
MoE_Layer_1,0.5389608942270279
MoE_Layer_2,0.638506616473198
MoE_Layer_3,0.4884470361471176
MoE_Layer_4,0.5317221200466156
MoE_Layer_5,0.48045244920253755
MoE_Layer_6,0.5203732317686081
MoE_Layer_7,0.5732864332199097
MoE_Layer_8,0.5494050919413567
MoE_Layer_9,0.6000518593788147
MoE_Layer_10,0.6276774345040321
MoE_Layer_11,0.8253728240728379
MoE_Layer_12,0.7941386069059372
MoE_Layer_13,0.7696618242263794
MoE_Layer_14,0.8145514540672302
MoE_Layer_15,0.7880578095912933
MoE_Layer_16,0.7913975188732147
MoE_Layer_17,0.7142395230531693
MoE_Layer_18,0.7934780412912369
MoE_Layer_19,0.7762128310203552
MoE_Layer_20,0.7679380478858948
MoE_Layer_21,0.7862416930198669
MoE_Layer_22,0.7421631623506546
MoE_Layer_23,0.7125836536884308
MoE_Layer_24,0.7509455516338348
MoE_Layer_25,0.7037117251157761
MoE_Layer_26,0.7165071098804474
MoE_Layer_27,0.6299988131523132
MoE_Layer_28,0.6013862231969833
MoE_Layer_29,0.5753771097660064
MoE_Layer_30,0.5493663197159767
MoE_Layer_31,0.5284155517816543
