Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,6.375619e-05,0.0001862915,0.00033662393,0.0007368511,0.0010718969,0.0015635133,0.0017746714,0.0027844051,0.0036597955,0.0057439003,0.0067315856,0.007977653,0.009920487,0.018298116,0.024774065,0.030981448,0.048795395,0.0703156,0.11108128,0.18620676,0.28741795,3.0180476
1,6.375619e-05,0.0,9.8327786e-05,0.00024921674,0.00066846644,0.0009816686,0.0014495193,0.0016708348,0.0026508207,0.0034740167,0.0054793777,0.0064833076,0.0077588977,0.009758791,0.018127935,0.024552058,0.030704983,0.048220515,0.0696497,0.11032377,0.18531187,0.28673214,3.0173674
2,0.0001862915,9.8327786e-05,0.0,0.00011810295,0.00053962186,0.0008445778,0.0013012144,0.0015208477,0.0024955687,0.003278327,0.0052394606,0.0062109116,0.0074914056,0.009516925,0.017915811,0.024234397,0.03031625,0.047634587,0.06896941,0.109493904,0.18433239,0.2853813,3.0163503
3,0.00033662393,0.00024921674,0.00011810295,0.0,0.00038051355,0.00065230107,0.0010993642,0.0013165193,0.0022671963,0.0030308422,0.004935611,0.0059137936,0.0072391653,0.009291235,0.017659742,0.023839299,0.029648434,0.04681755,0.068019554,0.10831028,0.18274048,0.28358495,3.0157533
4,0.0007368511,0.00066846644,0.00053962186,0.00038051355,0.0,0.00030969965,0.0007666318,0.0010601301,0.0020117264,0.0028287168,0.0047489232,0.0057622306,0.0070607234,0.009116184,0.017379234,0.023521073,0.029269747,0.046241015,0.06712648,0.10728198,0.18145777,0.28212303,3.0139112
5,0.0010718969,0.0009816686,0.0008445778,0.00065230107,0.00030969965,0.0,0.00044708382,0.0008001909,0.0017343442,0.0025145044,0.0044176225,0.005482857,0.0068668523,0.009015501,0.017281577,0.023378884,0.028834037,0.04526084,0.06606309,0.10594945,0.1796489,0.28034025,3.0133471
6,0.0015635133,0.0014495193,0.0013012144,0.0010993642,0.0007666318,0.00044708382,0.0,0.00052143866,0.0014227787,0.002144159,0.0039631184,0.0050640022,0.006462455,0.008654573,0.016917594,0.023131255,0.028372876,0.044559427,0.06535836,0.10495051,0.17829436,0.27913463,3.01268
7,0.0017746714,0.0016708348,0.0015208477,0.0013165193,0.0010601301,0.0008001909,0.00052143866,0.0,0.0010078646,0.0018444827,0.0036155463,0.0047091935,0.006096247,0.008388506,0.016628549,0.022665089,0.027815549,0.04414889,0.06488733,0.104463175,0.17765817,0.2784804,3.0117712
8,0.0027844051,0.0026508207,0.0024955687,0.0022671963,0.0020117264,0.0017343442,0.0014227787,0.0010078646,0.0,0.0013261316,0.0030703149,0.0042530573,0.005858456,0.008278531,0.016437203,0.022336034,0.02751163,0.04301367,0.0633918,0.10231413,0.17515308,0.27688476,3.0109415
9,0.0036597955,0.0034740167,0.003278327,0.0030308422,0.0028287168,0.0025145044,0.002144159,0.0018444827,0.0013261316,0.0,0.0018393605,0.0031570396,0.004953929,0.007583332,0.015640873,0.021513091,0.026073901,0.041018043,0.061010227,0.099504545,0.17165715,0.27393126,3.0115802
10,0.0057439003,0.0054793777,0.0052394606,0.004935611,0.0047489232,0.0044176225,0.0039631184,0.0036155463,0.0030703149,0.0018393605,0.0,0.0016120623,0.0039739176,0.0068466216,0.014762523,0.020704284,0.025294168,0.03927942,0.058826756,0.09677453,0.16774079,0.27116168,3.0057893
11,0.0067315856,0.0064833076,0.0062109116,0.0059137936,0.0057622306,0.005482857,0.0050640022,0.0047091935,0.0042530573,0.0031570396,0.0016120623,0.0,0.0030595725,0.006011856,0.013898444,0.01985194,0.024667453,0.038916048,0.05873542,0.096626036,0.16759656,0.2703906,3.0020628
12,0.007977653,0.0077588977,0.0074914056,0.0072391653,0.0070607234,0.0068668523,0.006462455,0.006096247,0.005858456,0.004953929,0.0039739176,0.0030595725,0.0,0.004060086,0.011708481,0.018205114,0.023198467,0.038421668,0.058680136,0.09692699,0.16843349,0.27063513,2.9991055
13,0.009920487,0.009758791,0.009516925,0.009291235,0.009116184,0.009015501,0.008654573,0.008388506,0.008278531,0.007583332,0.0068466216,0.006011856,0.004060086,0.0,0.008042078,0.014998902,0.020245107,0.035792865,0.055844255,0.0940827,0.16513075,0.26675147,2.99093
14,0.018298116,0.018127935,0.017915811,0.017659742,0.017379234,0.017281577,0.016917594,0.016628549,0.016437203,0.015640873,0.014762523,0.013898444,0.011708481,0.008042078,0.0,0.0087403525,0.0155302575,0.03112533,0.050759114,0.0877382,0.15664859,0.2542591,2.953155
15,0.024774065,0.024552058,0.024234397,0.023839299,0.023521073,0.023378884,0.023131255,0.022665089,0.022336034,0.021513091,0.020704284,0.01985194,0.018205114,0.014998902,0.0087403525,0.0,0.009892771,0.02582065,0.044660762,0.08084844,0.14873055,0.24548003,2.9316645
16,0.030981448,0.030704983,0.03031625,0.029648434,0.029269747,0.028834037,0.028372876,0.027815549,0.02751163,0.026073901,0.025294168,0.024667453,0.023198467,0.020245107,0.0155302575,0.009892771,0.0,0.015311142,0.032059766,0.065584,0.12857074,0.22424372,2.9005153
17,0.048795395,0.048220515,0.047634587,0.04681755,0.046241015,0.04526084,0.044559427,0.04414889,0.04301367,0.041018043,0.03927942,0.038916048,0.038421668,0.035792865,0.03112533,0.02582065,0.015311142,0.0,0.012842432,0.03975796,0.09319911,0.1872411,2.830986
18,0.0703156,0.0696497,0.06896941,0.068019554,0.06712648,0.06606309,0.06535836,0.06488733,0.0633918,0.061010227,0.058826756,0.05873542,0.058680136,0.055844255,0.050759114,0.044660762,0.032059766,0.012842432,0.0,0.021445066,0.066974565,0.15497814,2.7448645
19,0.11108128,0.11032377,0.109493904,0.10831028,0.10728198,0.10594945,0.10495051,0.104463175,0.10231413,0.099504545,0.09677453,0.096626036,0.09692699,0.0940827,0.0877382,0.08084844,0.065584,0.03975796,0.021445066,0.0,0.031903088,0.11047563,2.6325774
20,0.18620676,0.18531187,0.18433239,0.18274048,0.18145777,0.1796489,0.17829436,0.17765817,0.17515308,0.17165715,0.16774079,0.16759656,0.16843349,0.16513075,0.15664859,0.14873055,0.12857074,0.09319911,0.066974565,0.031903088,0.0,0.06313613,2.4228609
21,0.28741795,0.28673214,0.2853813,0.28358495,0.28212303,0.28034025,0.27913463,0.2784804,0.27688476,0.27393126,0.27116168,0.2703906,0.27063513,0.26675147,0.2542591,0.24548003,0.22424372,0.1872411,0.15497814,0.11047563,0.06313613,0.0,1.9786606
