Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.406289517217562,20.504091486296755,20.493712058082952,20.493344713861532,20.487178020442336,20.52609892228547,20.493491260758375,20.617600850716222,20.745864556709943,20.8862193586726,20.980677626502352,21.162352791499135,21.46164649590289,21.854765385542034,22.49388766601659,23.53003675337946,25.365892256819887,28.59939677879927,32.63330137216794,36.70384659766485,78.36913022403773
1,0.31666949472546496,0.0,15.980224453674237,15.970613108921809,15.96700980648412,15.960423042729683,15.986463984564857,15.959798632755273,16.05019796753814,16.146057082219194,16.25151688099458,16.322289944215957,16.455362370420637,16.684243653918188,16.97773461730435,17.457505351470633,18.250170969715636,19.661454779119307,22.165609861805773,25.2969558277142,28.505095082768005,61.05905328554812
2,1.0006677082755906,1.0006025776242733,0.0,0.01912089575385823,0.03494389370709732,0.05058618658481723,0.06613362639557953,0.10205274551852389,0.1187703795405705,0.14145442941369582,0.16977472421717613,0.1939347509879399,0.2325404319979894,0.27822915477848764,0.3428765948322755,0.4259634711026214,0.5238388672884036,0.6578258243614402,0.8726602313277622,1.1279638021211846,1.371920049556648,3.9481411250438008
3,1.0007346903814565,1.000574203447704,0.019131860444773868,0.0,0.022723047793922292,0.038627872731332634,0.056969456382500776,0.09272740864007153,0.11032590534708829,0.13424253743956327,0.16329006418225303,0.18856907004617968,0.2280301068298061,0.2738501759739083,0.3385320397226175,0.42187544721254916,0.5199252828801488,0.6542168752215047,0.8693179323527971,1.1248518691117904,1.3694343378076343,3.949581531356262
4,1.000369220573445,1.0000010490933227,0.034951789562658105,0.022715156465838163,0.0,0.02644134424770446,0.04516131406721657,0.08419032557057948,0.09925113228429207,0.12356560962381478,0.15277118188670788,0.17892375653300593,0.21805726113528923,0.26453135153963103,0.328782234644006,0.4115243395750944,0.5092783027739225,0.6434414685392513,0.8588644198127204,1.114698101659314,1.3624053995849406,3.947833343827848
5,1.0002668341401622,0.9997870667486899,0.05060766679996619,0.03862212765242267,0.0264465961101987,0.0,0.03854832966817814,0.07420253457441875,0.09087156557331862,0.11537856021500685,0.1454002503917881,0.1727521910142836,0.2123151729063335,0.25915970298575314,0.3228718633417019,0.4057087739977506,0.5037810420875679,0.638155979765898,0.854004750651608,1.1101452056065078,1.3590268533865537,3.947461988127907
6,0.9997674002171312,0.9990203973887974,0.06600328289430053,0.05682458914039428,0.04506212297868343,0.03845602490374341,0.0,0.0636706716290378,0.07305393104631859,0.09753815861544599,0.12715693615459106,0.15449344231998977,0.19363971201769986,0.24155329571068795,0.30431566629110973,0.38606098809327416,0.48420877510782434,0.6183072985718301,0.8342512169013196,1.0904654781105105,1.3441457922813034,3.935342236635677
7,0.9998636746696155,0.9990371433774808,0.10202349063831959,0.0926476990830128,0.08414717747302455,0.07414977742496591,0.06377812052819866,0.0,0.06646835118545302,0.0917504431193265,0.12056934658302468,0.15139521006919607,0.19222260268492447,0.23869623123177747,0.3009714316355575,0.3843397201478481,0.48332017901249263,0.6188694519421691,0.8353948154203117,1.0923322204734192,1.3450997894575563,3.9397305198985637
8,0.9992213962547328,0.9980065207774591,0.11794577472353746,0.10949713917470892,0.09853978079368647,0.09020235573582552,0.07268999414994029,0.0660257986966549,0.0,0.05578910678778182,0.08346516027213063,0.11579876712048055,0.15739899552695474,0.20606883755705968,0.26773356923002906,0.34976332699489926,0.44784610310204703,0.5831233255702027,0.7991095584120418,1.0560516025099267,1.3144549252335662,3.911363806000479
9,0.9988104415987241,0.9973495755740833,0.13954643067162725,0.13235591761852167,0.12187136522649761,0.11377397271651836,0.09641254214948944,0.09053882756917907,0.05542138138545739,0.0,0.05761514396991176,0.08818243557265064,0.1333296950309477,0.18154060216105827,0.24270258424796282,0.3247668672367757,0.4231167631254358,0.5586487049867389,0.7744709874950008,1.031116192227993,1.2939248517725896,3.884054142252478
10,0.9982724548131094,0.996580865225241,0.16626963075340817,0.15982719877997933,0.14958333643171542,0.14233794107133832,0.12477763622644318,0.11811398453036966,0.08231346565396874,0.0571971472756026,0.0,0.06994448726770486,0.11056394801526244,0.15877720475710053,0.21844886098304578,0.29971473743011806,0.39841001968514533,0.5334587884061373,0.7488904225018614,1.0053485908194693,1.2723966348140583,3.853087129607884
11,0.9979305359140892,0.9960732507681183,0.18901100168226387,0.18367622101650502,0.17434172279156626,0.16829477680593705,0.15086840439947236,0.14759379386135257,0.11364782781383315,0.08711869379327623,0.06960573745596109,0.0,0.08007512645143712,0.1264925359486409,0.18884799898083324,0.27255545667329456,0.3742338489295552,0.5112774494842778,0.7277036328342202,0.9857739800862619,1.2576597443836268,3.8330930401883
12,0.9968187951140619,0.9944640924369192,0.22444058322007956,0.2199612270895873,0.21041434536885137,0.2048328330251484,0.18726393376751135,0.18558030386611596,0.15297858060315422,0.1304450543478722,0.10896237306664724,0.07929925367382477,0.0,0.09125463433947963,0.15134016441697715,0.2306451014433001,0.3321247657079802,0.46826701278289395,0.6852592979445733,0.9436395507409271,1.2262051605313977,3.7902786781070272
13,0.9961734524032341,0.9935914329956617,0.2646215498830227,0.2603074669805572,0.25153684071040266,0.24638012558302919,0.2301931204096463,0.2270871965759317,0.19736068802151707,0.17502261271962452,0.15419518973278967,0.123440031818867,0.08992378693026998,0.0,0.10977889400115043,0.19302613053683015,0.2942084548906635,0.43149182110026985,0.6482580143201678,0.905456677874605,1.1922249008603825,3.731090147122019
14,0.994589934945578,0.9913044142324672,0.31973221598223683,0.31550000059304184,0.3065199730171312,0.3009500248080851,0.2843345717647121,0.2807361538444653,0.25140687029666087,0.2294144538154778,0.2079976570418877,0.18068807772589243,0.14621766520009324,0.10763284891914646,0.0,0.13049277429653314,0.23389038445027358,0.36909107792903173,0.5844946061534165,0.8400541503680728,1.1365723058034967,3.649487901975495
15,0.9926457539108109,0.9884195781449808,0.3851702809094607,0.38125512726040517,0.3720298767146871,0.36669960261388673,0.3497785163506259,0.34763236027204053,0.3184787362159991,0.297680199220389,0.2767251379948164,0.2528738072586235,0.21608356413008917,0.1835160045589763,0.12653722917210827,0.0,0.13853436624994728,0.2694321565410857,0.48191639631466593,0.7352643894273709,1.0552038819296874,3.528691897740196
