Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1.0,0.73092365,0.5107255,0.41557404,0.3051774,0.301401,0.28540605,0.28102115,0.29703033,0.27788094,0.26445705,0.23038737,0.2185096,0.2054001,0.13526814,0.12493228,0.1405852,0.13881637,0.1215774,0.09736744,0.092044875,0.0366845,0.0065165553
1,0.73092365,1.0,0.78170407,0.62225133,0.41819316,0.4054219,0.38422728,0.35909283,0.35563278,0.3593296,0.35775346,0.31412554,0.27921256,0.2321175,0.16415457,0.16087608,0.17490226,0.21422584,0.19705418,0.16896059,0.1544908,0.08437824,0.023049206
2,0.5107255,0.78170407,1.0,0.84365696,0.578092,0.5304813,0.48469222,0.45541483,0.41733015,0.42087165,0.40676636,0.37678137,0.33762267,0.28155956,0.19609252,0.20394346,0.21782018,0.2563539,0.23841721,0.21304488,0.19334508,0.14839077,0.037414834
3,0.41557404,0.62225133,0.84365696,1.0,0.7284662,0.6694895,0.5973499,0.5628963,0.5030041,0.49210888,0.46711624,0.43084678,0.37714723,0.3152621,0.22925358,0.24689528,0.2868705,0.31048566,0.2907032,0.26703972,0.2523021,0.20692776,0.04018105
4,0.3051774,0.41819316,0.578092,0.7284662,1.0,0.85766214,0.73860216,0.66465676,0.5687821,0.51969,0.46473694,0.42199582,0.37981004,0.32395357,0.25061628,0.25487834,0.28069937,0.29735214,0.29136536,0.26438233,0.24727486,0.20766518,0.051142484
5,0.301401,0.4054219,0.5304813,0.6694895,0.85766214,1.0,0.8569362,0.76095283,0.64441967,0.5910076,0.5175324,0.4634499,0.40540934,0.336242,0.25768855,0.25839657,0.29941535,0.33598503,0.32092154,0.29451284,0.27977785,0.23170313,0.05035706
6,0.28540605,0.38422728,0.48469222,0.5973499,0.73860216,0.8569362,1.0,0.85586536,0.7218174,0.6662109,0.58387655,0.52253383,0.4614036,0.38600004,0.2934038,0.27409068,0.31677133,0.3468786,0.32338494,0.3007167,0.2858926,0.23219153,0.050268777
7,0.28102115,0.35909283,0.45541483,0.5628963,0.66465676,0.76095283,0.85586536,1.0,0.81251836,0.7224759,0.63322073,0.57044613,0.5080944,0.4182609,0.31881413,0.3075158,0.34830862,0.3588394,0.33394247,0.3071358,0.2916484,0.23709986,0.0547303
8,0.29703033,0.35563278,0.41733015,0.5030041,0.5687821,0.64441967,0.7218174,0.81251836,1.0,0.81259525,0.6979475,0.6240563,0.5387459,0.44186124,0.34000537,0.32715705,0.34985834,0.37828773,0.3556659,0.33414078,0.30918205,0.23521836,0.053817954
9,0.27788094,0.3593296,0.42087165,0.49210888,0.51969,0.5910076,0.6662109,0.7224759,0.81259525,1.0,0.83315754,0.73940897,0.6320514,0.5140742,0.39802748,0.37402838,0.4128492,0.43666783,0.41111606,0.38261724,0.3534967,0.26445007,0.048367962
