Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.9999804,2.6083994,4.909925,7.9299593,15.85428,22.858976,32.876186,37.1625,58.030502,75.440605,117.15731,136.13168,160.70454,198.9719,362.33914,489.41602,612.4316,962.7907,1384.4772,2181.8748,3651.4255,5627.357,59081.723
1,0.3833665,0.9999925,1.8823375,3.0401402,6.078119,8.763536,12.603875,14.247135,22.247385,28.921967,44.915066,52.18935,61.609943,76.28065,138.9114,187.62936,234.79034,369.10892,530.7725,836.47406,1399.8616,2157.3823,22650.396
2,0.20366432,0.5312483,0.99999607,1.6150813,3.2290144,4.6556487,6.6958375,7.568823,11.8189745,15.364861,23.86123,27.72571,32.730423,40.524265,73.797,99.67853,124.7329,196.08995,281.97412,444.37875,743.6797,1146.1143,12033.074
3,0.12610127,0.32892892,0.61915994,0.99999756,1.9992841,2.8826025,4.1458106,4.6863303,7.317864,9.513343,14.773975,17.166716,20.265446,25.0911,45.692326,61.717194,77.22992,121.411514,174.58775,275.14258,460.45844,709.6308,7450.4263
4,0.063073136,0.16452315,0.30969042,0.5001772,0.9999988,1.4418155,2.0736449,2.3440013,3.6602376,4.758369,7.3896236,8.586421,10.136338,12.550027,22.854315,30.869608,38.62874,60.727417,87.32503,137.62039,230.31137,354.942,3726.5425
5,0.043745596,0.11410822,0.21479179,0.3469076,0.6935685,0.9999991,1.4382166,1.6257274,2.5386286,3.3002589,5.125217,5.9552784,7.030254,8.704314,15.851052,21.410213,26.79171,42.118675,60.565964,95.44929,159.73692,246.1769,2584.6157
6,0.030416537,0.079340026,0.14934583,0.24120662,0.48224175,0.6953045,0.9999994,1.1303766,1.7651216,2.294687,3.5635896,4.1407356,4.8881717,6.0521545,11.021318,14.886632,18.628412,29.285332,42.111828,66.36638,111.065895,171.16806,1797.0966
7,0.026908306,0.070188984,0.13212034,0.21338595,0.4266202,0.6151084,0.8846599,0.99999946,1.5615331,2.0300188,3.1525667,3.6631448,4.324372,5.354101,9.750124,13.169614,16.47982,25.907574,37.254665,58.711708,98.2556,151.42561,1589.8202
8,0.017231973,0.04494875,0.08460935,0.13665153,0.2732059,0.39391297,0.5665327,0.6403957,0.9999997,1.300016,2.0188913,2.3458636,2.7693107,3.4287455,6.243941,8.433769,10.553612,16.591108,23.857742,37.598747,62.9225,96.97237,1018.1146
9,0.013255198,0.034575526,0.0650833,0.105115235,0.21015574,0.30300617,0.4357889,0.4926059,0.7692209,0.99999976,1.5529737,1.8044878,2.1302123,2.6374633,4.8029714,6.4874334,8.118061,12.762231,18.35188,28.92175,48.401318,74.59319,783.1553
