Layer,Variance_Shift
0,8.635693120595533e-06
1,2.302440225321334e-05
2,0.02224879525601864
3,0.02221597172319889
4,0.02220047637820244
5,0.02218044549226761
6,0.02222997136414051
7,0.021981798112392426
8,0.022076940163969994
9,0.022215161472558975
10,0.022311169654130936
11,0.022379424422979355
12,0.022517722100019455
13,0.022697871550917625
14,0.022778337821364403
15,0.022675765678286552
16,0.02275109849870205
17,0.023469306528568268
18,0.024722011759877205
19,0.02638435550034046
20,0.028658615425229073
21,0.11481689661741257
