Layer,Outlier_IoU
0,0.00385226309299469
1,0.003520743688568473
2,0.0033739793580025434
3,0.003063254989683628
4,0.002936885692179203
5,0.002798519330099225
6,0.002851706463843584
7,0.002932886825874448
8,0.0028229134622961283
9,0.002809716621413827
10,0.0027669270057231188
11,0.0027573294937610626
12,0.002754530170932412
13,0.0027749252039939165
14,0.0027717258781194687
15,0.002826112788170576
16,0.0029872735030949116
17,0.003156432416290045
18,0.0032520091626793146
19,0.0034071714617311954
20,0.0034699561074376106
21,0.003207219997420907
