Layer,Attn_vs_MLP_Ratio
0,1.1681891197280465
1,0.7149790654884757
2,0.14939186317855474
3,0.5781302769048907
4,0.5901862456241966
5,0.5751191548519788
6,0.6731814800558552
7,0.23536254749927926
8,0.5808945105395321
9,0.7072909451108434
10,0.6319191175550183
11,0.686469252761376
12,0.7096878596335368
13,0.7136904411741852
14,0.7561008672431627
15,0.5210624551613018
16,0.5839739051443024
17,0.4606358942240523
18,0.4744897403275399
19,0.3956404039689915
20,0.3816327357384076
21,0.34894119173964033
