Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.026524126529693604,0.9517633430659771,0.9547841176390648,0.9424854516983032,0.9402980580925941,0.9255669340491295,0.9239307269454002,0.9028845727443695,0.8907375037670135,0.8743030428886414,0.8616437017917633,0.8302483558654785,0.8083216995000839,0.7614645212888718,0.7087315618991852,0.6667680442333221,0.6297908425331116,0.6228235363960266,0.6369731426239014,0.801837831735611,0.966464389115572
1,0.026524126529693604,0.0,0.9450218304991722,0.9444724954664707,0.929060772061348,0.9243905544281006,0.9075107276439667,0.9023134410381317,0.8753510862588882,0.8605309426784515,0.8431601524353027,0.8291921764612198,0.794833779335022,0.7702003866434097,0.7175361216068268,0.6567424833774567,0.6064628660678864,0.5644669532775879,0.5505651235580444,0.5597518384456635,0.732906699180603,0.9530885517597198
2,0.9517633430659771,0.9450218304991722,-5.960464477539062e-07,0.0005962252616882324,0.0018895864486694336,0.004020810127258301,0.0061719417572021484,0.015907347202301025,0.02088451385498047,0.028083860874176025,0.03696858882904053,0.04783821105957031,0.06572622060775757,0.09268122911453247,0.1274697184562683,0.1777244210243225,0.24230808019638062,0.2948809862136841,0.3752867579460144,0.4459265470504761,0.5109616219997406,0.9979548039846122
3,0.9547841176390648,0.9444724954664707,0.0005962252616882324,5.960464477539063e-08,0.000732421875,0.0022187232971191406,0.004269301891326904,0.01289522647857666,0.01774895191192627,0.02486199140548706,0.03361654281616211,0.04464346170425415,0.06253695487976074,0.08898204565048218,0.12310516834259033,0.17277294397354126,0.23667526245117188,0.288996160030365,0.3690410256385803,0.4395406246185303,0.505095511674881,0.9962488582823426
4,0.9424854516983032,0.929060772061348,0.0018895864486694336,0.000732421875,2.980232238769531e-07,0.0011151432991027832,0.002576470375061035,0.010541975498199463,0.014279484748840332,0.020909607410430908,0.02909409999847412,0.039864420890808105,0.056837618350982666,0.08241027593612671,0.11501622200012207,0.16284775733947754,0.22490394115447998,0.2762402892112732,0.3554765582084656,0.4258263111114502,0.49586838483810425,0.995899610221386
5,0.9402980580925941,0.9243905544281006,0.004020810127258301,0.0022187232971191406,0.0011151432991027832,-1.1920928955078125e-07,0.0018729567527770996,0.008103251457214355,0.011975646018981934,0.01824265718460083,0.026294469833374023,0.03712517023086548,0.05406910181045532,0.07919645309448242,0.11061716079711914,0.15776818990707397,0.219294011592865,0.2703973650932312,0.34953320026397705,0.41994911432266235,0.49184322357177734,0.9948324505239725
6,0.9255669340491295,0.9075107276439667,0.0061719417572021484,0.004269301891326904,0.002576470375061035,0.0018729567527770996,-3.5762786865234375e-07,0.006224691867828369,0.008156895637512207,0.013485312461853027,0.02051025629043579,0.029928624629974365,0.04539757966995239,0.06940776109695435,0.09891009330749512,0.14348500967025757,0.20282000303268433,0.2528126835823059,0.33082789182662964,0.4004412889480591,0.477780818939209,0.9891658090054989
7,0.9239307269454002,0.9023134410381317,0.015907347202301025,0.01289522647857666,0.010541975498199463,0.008103251457214355,0.006224691867828369,4.172325134277344e-07,0.006791949272155762,0.01204293966293335,0.018546581268310547,0.028577029705047607,0.04345095157623291,0.06600654125213623,0.09409183263778687,0.13835322856903076,0.1971975564956665,0.24736976623535156,0.3249235153198242,0.394769549369812,0.4723697304725647,0.9839306697249413
8,0.9028845727443695,0.8753510862588882,0.02088451385498047,0.01774895191192627,0.014279484748840332,0.011975646018981934,0.008156895637512207,0.006791949272155762,1.1920928955078125e-07,0.0041921138763427734,0.008283138275146484,0.01611238718032837,0.028258442878723145,0.04855102300643921,0.07318025827407837,0.11248040199279785,0.1667633056640625,0.21459317207336426,0.2893904447555542,0.35910654067993164,0.4446818232536316,0.9785507787019014
9,0.8907375037670135,0.8605309426784515,0.028083860874176025,0.02486199140548706,0.020909607410430908,0.01824265718460083,0.013485312461853027,0.01204293966293335,0.0041921138763427734,-1.1920928955078125e-07,0.004091858863830566,0.009670734405517578,0.020629405975341797,0.038754284381866455,0.06121188402175903,0.09828650951385498,0.1499977707862854,0.19713819026947021,0.2708345055580139,0.34060901403427124,0.43179816007614136,0.9745558984577656
10,0.8743030428886414,0.8431601524353027,0.03696858882904053,0.03361654281616211,0.02909409999847412,0.026294469833374023,0.02051025629043579,0.018546581268310547,0.008283138275146484,0.004091858863830566,5.960464477539063e-08,0.006825864315032959,0.015222430229187012,0.031295835971832275,0.051661908626556396,0.0863606333732605,0.13643836975097656,0.18206405639648438,0.254700243473053,0.32485848665237427,0.42060041427612305,0.9696169998496771
11,0.8616437017917633,0.8291921764612198,0.04783821105957031,0.04464346170425415,0.039864420890808105,0.03712517023086548,0.029928624629974365,0.028577029705047607,0.01611238718032837,0.009670734405517578,0.006825864315032959,4.76837158203125e-07,0.00819617509841919,0.020078420639038086,0.038303494453430176,0.06997185945510864,0.11869555711746216,0.1640745997428894,0.23658400774002075,0.3079921007156372,0.41123175621032715,0.9655257724225521
12,0.8302483558654785,0.794833779335022,0.06572622060775757,0.06253695487976074,0.056837618350982666,0.05406910181045532,0.04539757966995239,0.04345095157623291,0.028258442878723145,0.020629405975341797,0.015222430229187012,0.00819617509841919,5.960464477539063e-08,0.010521292686462402,0.024909377098083496,0.050233304500579834,0.09330964088439941,0.1356179118156433,0.20528900623321533,0.27619993686676025,0.3909285068511963,0.9521065428853035
13,0.8083216995000839,0.7702003866434097,0.09268122911453247,0.08898204565048218,0.08241027593612671,0.07919645309448242,0.06940776109695435,0.06600654125213623,0.04855102300643921,0.038754284381866455,0.031295835971832275,0.020078420639038086,0.010521292686462402,3.5762786865234375e-07,0.012872874736785889,0.03464972972869873,0.07280302047729492,0.11239594221115112,0.18044018745422363,0.25061529874801636,0.37268805503845215,0.9363725930452347
14,0.7614645212888718,0.7175361216068268,0.1274697184562683,0.12310516834259033,0.11501622200012207,0.11061716079711914,0.09891009330749512,0.09409183263778687,0.07318025827407837,0.06121188402175903,0.051661908626556396,0.038303494453430176,0.024909377098083496,0.012872874736785889,5.960464477539063e-08,0.01720660924911499,0.04837244749069214,0.08212441205978394,0.14429664611816406,0.21191948652267456,0.3420313000679016,0.914017491042614
