Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1.0,0.7296485,0.51867074,0.42501032,0.30260545,0.30521387,0.28703794,0.28594065,0.29539058,0.2817271,0.27721423,0.24385637,0.23527372,0.23011751,0.16788079,0.15415671,0.16573074,0.14877732,0.13632408,0.11825074,0.11023499,0.0499881,0.0023601009
1,0.7296485,0.9999999,0.78766525,0.6294805,0.41714746,0.4172121,0.38699728,0.3644957,0.354321,0.3608801,0.36826435,0.32591292,0.30221954,0.27056554,0.20622203,0.19896083,0.21271779,0.23492745,0.21875581,0.20319949,0.1852293,0.10048899,0.011086149
2,0.51867074,0.78766525,1.0,0.8505054,0.5714829,0.53852516,0.48897696,0.46235955,0.41993892,0.42597473,0.41442138,0.3858982,0.35717195,0.31182784,0.24598087,0.24808161,0.2581927,0.2770575,0.25778353,0.24754587,0.22684444,0.1652506,0.03522363
3,0.42501032,0.6294805,0.8505054,1.0,0.7207285,0.68027496,0.6078968,0.5747459,0.5102289,0.5054629,0.4835473,0.45081726,0.4046601,0.35560334,0.29031596,0.29854545,0.33020678,0.33904332,0.3215664,0.310359,0.2906103,0.22474405,0.033608995
4,0.30260545,0.41714746,0.5714829,0.7207285,1.0,0.86798465,0.75032836,0.67615557,0.5682634,0.52757645,0.4749502,0.43515128,0.40246922,0.35375637,0.30589372,0.29799637,0.3210708,0.33609366,0.32950434,0.30704468,0.2832713,0.23263821,0.056976452
5,0.30521387,0.4172121,0.53852516,0.68027496,0.86798465,1.0,0.8582756,0.7641834,0.64396954,0.60148585,0.53965646,0.48383254,0.4359616,0.3775415,0.32210505,0.3150504,0.3550766,0.3772432,0.36668998,0.3510714,0.3286469,0.25791797,0.05445505
6,0.28703794,0.38699728,0.48897696,0.6078968,0.75032836,0.8582756,1.0,0.8685736,0.72446996,0.6785767,0.6049659,0.5377451,0.4880736,0.4308673,0.36258182,0.33253765,0.37065578,0.38118762,0.36124814,0.3440886,0.31948274,0.24890119,0.046715885
7,0.28594065,0.3644957,0.46235955,0.5747459,0.67615557,0.7641834,0.8685736,1.0,0.8059677,0.730321,0.64726806,0.58018994,0.5305854,0.45357835,0.37924007,0.36320615,0.39454073,0.38950005,0.36975732,0.34380072,0.3175502,0.24519306,0.046237558
8,0.29539058,0.354321,0.41993892,0.5102289,0.5682634,0.64396954,0.72446996,0.8059677,0.9999999,0.82637644,0.71921843,0.6484038,0.57368934,0.49025947,0.40759298,0.38823956,0.4040704,0.41291493,0.39562005,0.37719655,0.3495673,0.26350385,0.062047858
9,0.2817271,0.3608801,0.42597473,0.5054629,0.52757645,0.60148585,0.6785767,0.730321,0.82637644,0.9999999,0.8475679,0.75368166,0.65691435,0.5562749,0.4592185,0.43149838,0.47195542,0.46999323,0.44581774,0.43238035,0.40495422,0.29584694,0.053011805
10,0.27721423,0.36826435,0.41442138,0.4835473,0.4749502,0.53965646,0.6049659,0.64726806,0.71921843,0.8475679,1.0,0.8786212,0.75216454,0.6446251,0.5276193,0.4839875,0.50758404,0.5104985,0.48579735,0.4667062,0.4389826,0.3156463,0.07323396
11,0.24385637,0.32591292,0.3858982,0.45081726,0.43515128,0.48383254,0.5377451,0.58018994,0.6484038,0.75368166,0.8786212,1.0,0.81834954,0.6955341,0.5719473,0.5177037,0.5195374,0.50651276,0.479586,0.45134708,0.41897762,0.3165981,0.08721121
12,0.23527372,0.30221954,0.35717195,0.4046601,0.40246922,0.4359616,0.4880736,0.5305854,0.57368934,0.65691435,0.75216454,0.81834954,1.0,0.8099723,0.66215396,0.5733396,0.55355686,0.50965166,0.4765628,0.43318912,0.39335942,0.30283272,0.090337396
13,0.23011751,0.27056554,0.31182784,0.35560334,0.35375637,0.3775415,0.4308673,0.45357835,0.49025947,0.5562749,0.6446251,0.6955341,0.8099723,1.0,0.7849053,0.6635823,0.62314594,0.5621005,0.52162534,0.47310373,0.42827418,0.33647245,0.11336759
14,0.16788079,0.20622203,0.24598087,0.29031596,0.30589372,0.32210505,0.36258182,0.37924007,0.40759298,0.4592185,0.5276193,0.5719473,0.66215396,0.7849053,1.0,0.8087312,0.7178196,0.6222708,0.57018316,0.5123151,0.4599754,0.3903756,0.16879769
15,0.15415671,0.19896083,0.24808161,0.29854545,0.29799637,0.3150504,0.33253765,0.36320615,0.38823956,0.43149838,0.4839875,0.5177037,0.5733396,0.6635823,0.8087312,1.0,0.8406384,0.70480907,0.6434653,0.58407634,0.51986843,0.44445094,0.21500337
16,0.16573074,0.21271779,0.2581927,0.33020678,0.3210708,0.3550766,0.37065578,0.39454073,0.4040704,0.47195542,0.50758404,0.5195374,0.55355686,0.62314594,0.7178196,0.8406384,0.99999994,0.8366431,0.77636516,0.7067943,0.6380527,0.53835964,0.24922688
17,0.14877732,0.23492745,0.2770575,0.33904332,0.33609366,0.3772432,0.38118762,0.38950005,0.41291493,0.46999323,0.5104985,0.50651276,0.50965166,0.5621005,0.6222708,0.70480907,0.8366431,0.9999998,0.9313491,0.86985826,0.79714674,0.67550737,0.31959295
18,0.13632408,0.21875581,0.25778353,0.3215664,0.32950434,0.36668998,0.36124814,0.36975732,0.39562005,0.44581774,0.48579735,0.479586,0.4765628,0.52162534,0.57018316,0.6434653,0.77636516,0.9313491,0.9999999,0.9243235,0.8492903,0.73949003,0.3750866
19,0.11825074,0.20319949,0.24754587,0.310359,0.30704468,0.3510714,0.3440886,0.34380072,0.37719655,0.43238035,0.4667062,0.45134708,0.43318912,0.47310373,0.5123151,0.58407634,0.7067943,0.86985826,0.9243235,1.0,0.9358145,0.82805014,0.435144
20,0.11023499,0.1852293,0.22684444,0.2906103,0.2832713,0.3286469,0.31948274,0.3175502,0.3495673,0.40495422,0.4389826,0.41897762,0.39335942,0.42827418,0.4599754,0.51986843,0.6380527,0.79714674,0.8492903,0.9358145,1.0,0.8985238,0.50668
21,0.0499881,0.10048899,0.1652506,0.22474405,0.23263821,0.25791797,0.24890119,0.24519306,0.26350385,0.29584694,0.3156463,0.3165981,0.30283272,0.33647245,0.3903756,0.44445094,0.53835964,0.67550737,0.73949003,0.82805014,0.8985238,1.0,0.7074875
