Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,0.24499169,0.27678663,0.21053466,0.21492505,0.37168458,0.45466018,0.42366603,0.667208,0.99680865,1.4682442,1.1547422,1.0184951,1.0415254,0.857958,1.328125,2.3130019,3.9846992,4.3353868,6.115625,8.016266,9.267528,22.22482
1,0.24499169,0.0,0.068157226,0.14633447,0.19014819,0.26496047,0.34793603,0.32316872,0.5604839,0.8900845,1.36152,1.0480181,0.91177094,0.9348012,0.82587665,1.2214009,2.2062778,3.8779752,4.2286625,6.0089006,7.9095416,9.263226,22.220428
2,0.27678663,0.068157226,0.0,0.08260682,0.15392527,0.24711622,0.33009183,0.32148483,0.5426397,0.8722403,1.3436759,1.0301739,0.89392674,0.916957,0.78917754,1.2035567,2.1884334,3.8601308,4.2108183,5.9910564,7.8916974,9.210882,22.206314
3,0.21053466,0.14633447,0.08260682,0.0,0.08663403,0.19849074,0.28146634,0.2541936,0.49401417,0.82361484,1.2950504,0.9815484,0.8453013,0.86833155,0.72923267,1.1549312,2.139808,3.8115053,4.162193,5.942431,7.843072,9.128276,22.209175
4,0.21492505,0.19014819,0.15392527,0.08663403,0.0,0.18170607,0.26468167,0.23368752,0.4772295,0.80683017,1.2782657,0.96476376,0.8285166,0.8515469,0.68532836,1.1381465,2.1230233,3.7947206,4.145408,5.9256463,7.8262873,9.093382,22.187424
5,0.37168458,0.26496047,0.24711622,0.19849074,0.18170607,0.0,0.09041503,0.11744004,0.29552343,0.6251241,1.0965596,0.7830577,0.64681053,0.6698408,0.6097134,0.95644045,1.9413173,3.6130147,3.9637022,5.7439404,7.6445813,9.069818,22.179789
6,0.45466018,0.34793603,0.33009183,0.28146634,0.26468167,0.09041503,0.0,0.100036845,0.22734532,0.5421485,1.013584,0.70008206,0.5638349,0.5868652,0.56207204,0.8734648,1.8583417,3.530039,3.8807266,5.660965,7.5616055,9.039518,22.221645
7,0.42366603,0.32316872,0.32148483,0.2541936,0.23368752,0.11744004,0.100036845,0.0,0.24354199,0.57314265,1.0445782,0.73107624,0.5948291,0.61785936,0.5525145,0.904459,1.8893359,3.5610332,3.9117208,5.691959,7.5926,8.995257,22.23349
8,0.667208,0.5604839,0.5426397,0.49401417,0.4772295,0.29552343,0.22734532,0.24354199,0.0,0.32960063,0.8010362,0.48753422,0.35128707,0.47566906,0.53436136,0.78606534,1.6457939,3.3174913,3.6681788,5.4484167,7.3490577,8.975259,22.2305
9,0.99680865,0.8900845,0.8722403,0.82361484,0.80683017,0.6251241,0.5421485,0.57314265,0.32960063,0.0,0.47143555,0.2152251,0.24890241,0.40522835,0.4717212,0.73756284,1.3161932,2.9878907,3.3385782,5.1188164,7.3119793,8.941549,22.26118
10,1.4682442,1.36152,1.3436759,1.2950504,1.2782657,1.0965596,1.013584,1.0445782,0.8010362,0.47143555,0.0,0.31350195,0.4497491,0.42671883,0.65599906,0.756981,1.0070835,2.5164552,3.0159302,4.687618,7.3412504,8.970821,22.262266
11,1.1547422,1.0480181,1.0301739,0.9815484,0.96476376,0.7830577,0.70008206,0.73107624,0.48753422,0.2152251,0.31350195,0.0,0.17112029,0.312917,0.3850327,0.73145723,1.1582596,2.829957,3.1806445,4.9608827,7.355187,8.984757,22.319998
