Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.9999804,2.6253953,4.8334537,7.677196,16.11745,22.798372,32.067955,36.7421,57.61546,73.55998,116.58693,133.44324,152.13628,197.79599,321.08633,459.61426,590.5113,1002.4891,1299.2378,2081.1348,3425.7026,4856.4473,56678.27
1,0.38088474,0.9999925,1.8410246,2.924184,6.139011,8.683722,12.214433,13.994779,21.945278,28.018423,44.407047,50.827484,57.94752,75.33894,122.29928,175.06348,224.92113,381.84024,494.8695,792.6879,1304.8234,1849.7828,21588.309
2,0.20688653,0.5431695,0.999996,1.5883396,3.3345485,4.7167683,6.6345572,7.601594,11.920095,15.218867,24.120737,27.608147,31.475563,40.922127,66.42973,95.08986,122.17122,207.40553,268.80005,430.56714,708.7456,1004.7532,11726.199
3,0.130253,0.34197232,0.6295842,0.9999975,2.0993874,2.9696145,4.177029,4.7858624,7.504734,9.581596,15.186095,17.381723,19.816597,25.764027,41.82328,59.867313,76.91737,130.57977,169.23294,271.07935,446.21683,632.5793,7382.6597
4,0.062043265,0.16289128,0.29988912,0.47632766,0.9999988,1.4145131,1.9896395,2.2796445,3.5747213,4.563991,7.2335753,8.279416,9.439217,12.272149,19.921635,28.516527,36.637966,62.198914,80.610535,129.12292,212.54594,301.31573,3516.5737
5,0.043861885,0.11515704,0.21200854,0.33674288,0.70695555,0.9999991,1.4065884,1.6116092,2.527172,3.2265427,5.1138225,5.853186,6.673115,8.675875,14.083727,20.159943,25.901445,43.97192,56.988132,91.28427,150.26071,213.0171,2486.0642
6,0.03118315,0.08186969,0.15072526,0.23940384,0.5026027,0.71093893,0.99999934,1.1457567,1.7966666,2.293877,3.6356187,4.1612616,4.744181,6.1680226,10.012679,14.3325,18.414362,31.261377,40.515118,64.897606,106.82629,151.44229,1767.4415
7,0.027216187,0.07145465,0.13155076,0.2089481,0.43866414,0.6204969,0.87278455,0.99999946,1.5681039,2.0020616,3.1731138,3.6318872,4.1406507,5.383358,8.738917,12.509192,16.071781,27.284464,35.360992,56.641663,93.23639,132.17657,1542.5966
8,0.017356107,0.04556753,0.08389158,0.13324885,0.27974167,0.39569873,0.5565857,0.6377123,0.9999997,1.27674,2.0235348,2.3161004,2.6405454,3.4330356,5.572918,7.9772706,10.249178,17.399649,22.550152,36.121105,59.458027,84.29067,983.73334
9,0.013594078,0.035690527,0.06570763,0.10436645,0.21910617,0.30992892,0.4359428,0.49948475,0.78324443,0.99999976,1.5849228,1.8140732,2.068193,2.6889067,4.3649583,6.2481546,8.027614,13.628181,17.662285,28.291662,46.570183,66.02022,770.5039
10,0.008577121,0.022518774,0.041457932,0.065849535,0.13824403,0.19554824,0.27505612,0.31514764,0.4941845,0.6309453,0.9999998,1.1445812,1.304917,1.6965535,2.7540505,3.9422445,5.064986,8.5986395,11.143939,17.850494,29.383244,41.655155,486.14594
11,0.0074936757,0.019674245,0.036221042,0.057531543,0.12078131,0.17084694,0.24031155,0.27533877,0.43176,0.55124545,0.8736817,0.9999999,1.1400822,1.482248,2.406164,3.4442675,4.4251866,7.512475,9.736257,15.595654,25.671608,36.393353,424.73688
12,0.0065729246,0.017256862,0.031770546,0.05046262,0.105940856,0.14985491,0.21078436,0.24150777,0.3787095,0.48351368,0.7663321,0.87712944,0.9999999,1.3001236,2.1105175,3.021069,3.881462,6.589414,8.539959,13.679409,22.517326,31.921686,372.5493
13,0.0050556147,0.013273247,0.024436558,0.038813706,0.08148521,0.11526204,0.16212639,0.18575753,0.29128727,0.37189823,0.58943015,0.6746508,0.7691575,0.9999999,1.6233206,2.3236783,2.985456,5.068298,6.5685744,10.521622,17.319372,24.552807,286.5491
14,0.0031143657,0.0081766015,0.015053437,0.023910066,0.050196618,0.07100386,0.0998733,0.11443058,0.17943913,0.22909719,0.36310145,0.41559917,0.47381732,0.6160211,0.9999999,1.431435,1.8391042,3.1221788,4.046381,6.4815416,10.6691,15.12505,176.52032
15,0.0021756948,0.0057121706,0.010516326,0.016703563,0.03506734,0.04960327,0.06977145,0.07994116,0.12535611,0.1600472,0.25366253,0.2903374,0.3310086,0.43035212,0.6985995,0.99999994,1.2847974,2.1811528,2.8268,4.5280027,7.453429,10.566354,123.317024
16,0.0016934144,0.004445969,0.0081852,0.01300093,0.027294058,0.038607847,0.0543054,0.06222082,0.097568765,0.12456998,0.19743386,0.22597912,0.25763482,0.33495715,0.5437429,0.77833265,0.99999994,1.6976627,2.200191,3.5242927,5.801248,8.224139,95.98168
