,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,0.3026562318462119,0.4301233443444523,0.4932412515645336,0.5253890486011537,0.5523672468783326,0.6278008172299215,0.6630142235687577,0.6792804954434691,0.6867113181746074,0.7010502960474935,0.7108878130604263,0.7111142272835965,0.7132132038242206,0.7352423973131336,0.7514814180028331,0.7558640162418554,0.7648310713061146,0.7904595318605039,0.8041440685150762,0.8184185645235649,0.8353370804336596,0.868536286306225,0.9795194573623771
Layer_1,0.3026562318462119,0.0,0.15390593838633132,0.252082342646534,0.3120263214486237,0.3780090104449879,0.4717911100114202,0.5162801766717756,0.5494480387389318,0.5673864572434812,0.5981211833149366,0.6158096292387941,0.6344352717237527,0.6492671184516363,0.6690322085543796,0.6919774020382071,0.7060011203273411,0.7141538298003113,0.7295099123397096,0.7514048564834345,0.7681026402113381,0.7843877546592973,0.817783628937458,0.9589434250194601
Layer_2,0.4301233443444523,0.15390593838633132,0.0,0.13374536077474397,0.210895426150329,0.29277334903518654,0.4000052851209086,0.45103354194338063,0.491936452753909,0.5154262474821202,0.5502290085482852,0.5694543219413257,0.5917836843114911,0.6087626335710702,0.6315077660417674,0.6565147403270665,0.6747352383255861,0.6841515424942795,0.6989550974210884,0.7246339617939292,0.7438690334582895,0.7597706184877322,0.7954078893086444,0.9506139701795226
Layer_3,0.4932412515645336,0.252082342646534,0.13374536077474397,0.0,0.1050013519036389,0.2059486963825085,0.32865962974367136,0.38385288237939597,0.43097765234823016,0.45838417546071547,0.49864749709276956,0.5212857159652444,0.5457426202677977,0.563443754756187,0.5895092973545084,0.6178562458571013,0.6387426319130125,0.649975300396592,0.6676193391759312,0.6954070406795817,0.713590380234566,0.730374689550306,0.7651418272610281,0.948298737864383
Layer_4,0.5253890486011537,0.3120263214486237,0.210895426150329,0.1050013519036389,0.0,0.12386415465555652,0.26166343440001955,0.32341538214664006,0.3766361200155341,0.40859484882456276,0.45461263898744825,0.48077007569220104,0.5079603841029455,0.5284559744044858,0.5570974008749978,0.5896921744852355,0.6124316900846511,0.6273590247715037,0.6485674512571824,0.6769720515591702,0.6964759190340299,0.7155192799005813,0.7501079559716702,0.9447094248630638
Layer_5,0.5523672468783326,0.3780090104449879,0.29277334903518654,0.2059486963825085,0.12386415465555652,0.0,0.1772597651321511,0.2593733762054537,0.31822424336206123,0.35645741893071603,0.40482931816607204,0.4375876799945847,0.46586467226834494,0.48787265447297123,0.5209345054567885,0.556986951320314,0.5789275242596937,0.5968662212365577,0.6244511831060576,0.6540843704555193,0.6749334891100187,0.6964520280425613,0.7302094052479366,0.9471683433854512
Layer_6,0.6278008172299215,0.4717911100114202,0.4000052851209086,0.32865962974367136,0.26166343440001955,0.1772597651321511,0.0,0.12081822242822733,0.1931262796380108,0.24375935698219442,0.2988407760736495,0.34059103979232563,0.376638595292453,0.4042732079042752,0.44246450830540823,0.48353456789406474,0.5126905301181534,0.5402678576382723,0.5780904955252774,0.6144964995440844,0.6395501526382299,0.6695032708230905,0.7057326413831391,0.9371433562670058
Layer_7,0.6630142235687577,0.5162801766717756,0.45103354194338063,0.38385288237939597,0.32341538214664006,0.2593733762054537,0.12081822242822733,0.0,0.11157575681695774,0.17910791654063482,0.24835881295504872,0.295831112271933,0.33924472288066104,0.3737886101861746,0.4160422709611085,0.4626483218431668,0.49739916221125025,0.5297337302558253,0.5701277248201363,0.6089077613131127,0.6359690034077072,0.667220137262813,0.7053837247992226,0.9312738785115936
Layer_8,0.6792804954434691,0.5494480387389318,0.491936452753909,0.43097765234823016,0.3766361200155341,0.31822424336206123,0.1931262796380108,0.11157575681695774,0.0,0.099245560794068,0.17648102112425634,0.23503659110299688,0.28224163461571145,0.324556396692918,0.3758492788069566,0.42690102049408146,0.4642691171921051,0.49917434774687014,0.5430408369362305,0.58368195887475,0.6120460523043765,0.6449060403451287,0.6808231293081163,0.9284616151304396
Layer_9,0.6867113181746074,0.5673864572434812,0.5154262474821202,0.45838417546071547,0.40859484882456276,0.35645741893071603,0.24375935698219442,0.17910791654063482,0.099245560794068,0.0,0.1066939411448417,0.1764570900302359,0.23492536019536925,0.27993555731894443,0.33972072484159355,0.3982914344489233,0.43925479198458933,0.47824097385082354,0.5243141302117357,0.5666784981447199,0.5957592013768735,0.631046741151302,0.6721706320329537,0.9229643635824017
