,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,66.46083512489763,69.14833512489763,69.71083512489763,69.4609375,62.71103987510237,399.51557831135466,400.01557831135466,400.51557831135466,401.01557831135466,401.51557831135466,401.76557831135466,401.76557831135466,412.51557831135466,412.76557831135466,412.76557831135466,421.51557831135466,444.51516881094517,444.76516881094517,443.76516881094517,441.76516881094517,388.84870689448326,367.6617699575463,255.3481248860277
Layer_1,66.46083512489763,0.0,36.393568284193286,43.98033118345619,42.36341881654381,32.87684915028665,391.60041717854216,392.10041717854216,392.60041717854216,393.10041717854216,393.60041717854216,393.85041717854216,393.85041717854216,404.60041717854216,404.85041717854216,404.85041717854216,413.60041717854216,436.60000767813267,436.85000767813267,435.85000767813267,433.85000767813267,380.93354576167076,359.7466088247338,255.34256562553986
Layer_2,69.14833512489763,36.393568284193286,0.0,7.586762899262899,5.971642096642096,6.604141072891073,391.42072967854216,391.92072967854216,392.42072967854216,392.92072967854216,393.42072967854216,393.67072967854216,393.67072967854216,404.42072967854216,404.67072967854216,404.67072967854216,413.42072967854216,436.42032017813267,436.67032017813267,435.67032017813267,433.67032017813267,380.75385826167076,359.5669213247338,255.3353615900613
Layer_3,69.71083512489763,43.98033118345619,7.586762899262899,0.0,1.6376177313677314,11.137361793611793,391.27229217854216,391.77229217854216,392.27229217854216,392.77229217854216,393.27229217854216,393.52229217854216,393.52229217854216,404.27229217854216,404.52229217854216,404.52229217854216,413.27229217854216,436.27188267813267,436.52188267813267,435.52188267813267,433.52188267813267,380.60542076167076,359.4184838247338,255.3053262446573
Layer_4,69.4609375,42.36341881654381,5.971642096642096,1.6376177313677314,0.0,9.511107698607699,391.05354217854216,391.55354217854216,392.05354217854216,392.55354217854216,393.05354217854216,393.30354217854216,393.30354217854216,404.05354217854216,404.30354217854216,404.30354217854216,413.05354217854216,436.05313267813267,436.30313267813267,435.30313267813267,433.30313267813267,380.38667076167076,359.1997338247338,255.31965755928158
Layer_5,62.71103987510237,32.87684915028665,6.604141072891073,11.137361793611793,9.511107698607699,0.0,390.5614570536446,391.0614570536446,391.5614570536446,392.0614570536446,392.5614570536446,392.8114570536446,392.8114570536446,403.5614570536446,403.8114570536446,403.8114570536446,412.5614570536446,435.561047553235,435.811047553235,434.811047553235,432.811047553235,379.8945856367731,358.7076486998362,255.29539865904613
Layer_6,399.51557831135466,391.60041717854216,391.42072967854216,391.27229217854216,391.05354217854216,390.5614570536446,0.0,0.8531319932992296,1.9379862817362818,2.0004494906838657,3.1616228933123462,3.568096438946048,3.9816252687346436,13.0,13.25,13.25,22.0,154.75440212940214,159.45178132678132,160.12365632678132,161.63928132678132,177.17419763513513,179.00909858722358,481.4641687141687
Layer_7,400.01557831135466,392.10041717854216,391.92072967854216,391.77229217854216,391.55354217854216,391.0614570536446,0.8531319932992296,0.0,1.377060298935299,1.3494993017698096,2.7521218839578214,3.1317815507268634,3.572386595579955,12.5,12.75,12.75,21.5,154.87940212940214,159.57678132678132,160.24865632678132,161.76428132678132,177.29919763513513,179.13409858722358,481.9641687141687
Layer_8,400.51557831135466,392.60041717854216,392.42072967854216,392.27229217854216,392.05354217854216,391.5614570536446,1.9379862817362818,1.377060298935299,0.0,0.6423071908911753,1.770920112228706,1.8445372085508804,2.805515498630733,12.0,12.25,12.25,21.0,155.25440212940214,159.95178132678132,160.62365632678132,162.13928132678132,177.67419763513513,179.50909858722358,482.4641687141687
Layer_9,401.01557831135466,393.10041717854216,392.92072967854216,392.77229217854216,392.55354217854216,392.0614570536446,2.0004494906838657,1.3494993017698096,0.6423071908911753,0.0,1.4855763078419328,1.8428382217444716,2.6468073964411856,11.5,11.75,11.75,20.5,155.62940212940214,160.32678132678132,160.99865632678132,162.51428132678132,178.04919763513513,179.88409858722358,482.9641687141687
Layer_10,401.51557831135466,393.60041717854216,393.42072967854216,393.27229217854216,393.05354217854216,392.5614570536446,3.1616228933123462,2.7521218839578214,1.770920112228706,1.4855763078419328,0.0,1.0185058993652745,2.0570733197686324,11.0,11.25,11.25,20.0,156.00440212940214,160.70178132678132,161.37365632678132,162.88928132678132,178.42419763513513,180.25909858722358,483.4641687141687
Layer_11,401.76557831135466,393.85041717854216,393.67072967854216,393.52229217854216,393.30354217854216,392.8114570536446,3.568096438946048,3.1317815507268634,1.8445372085508804,1.8428382217444716,1.0185058993652745,0.0,1.4290588528869779,10.75,11.0,11.0,19.75,156.12940212940214,160.82678132678132,161.49865632678132,163.01428132678132,178.54919763513513,180.38409858722358,483.7141687141687
Layer_12,401.76557831135466,393.85041717854216,393.67072967854216,393.52229217854216,393.30354217854216,392.8114570536446,3.9816252687346436,3.572386595579955,2.805515498630733,2.6468073964411856,2.0570733197686324,1.4290588528869779,0.0,10.75,11.0,11.0,19.75,156.12940212940214,160.82678132678132,161.49865632678132,163.01428132678132,178.54919763513513,180.38409858722358,483.7141687141687
