,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,1.0,39.53034591674805,58.70082694638664,66.1301615040972,65.66477364579934,53.893214126574414,1615.5954168946112,1623.3767421763027,1634.3661410544955,1641.8039215862702,1653.2717251164518,1661.984108564797,1671.0775521393198,1738.6672930143388,1754.6700801365107,1781.7544870087595,1877.6024771775503,1787.2069495698647,1846.6541906008458,1919.203414629562,1991.9079802791962,1714.0957296185568,1902.6501010954137,29443.558177851148
Layer_1,0.025643483557899305,1.0,1.4877132872496346,1.6773798904098711,1.664376865245591,1.3601916477779792,41.423816384105386,41.62337739774187,41.90520583362876,42.09595397180656,42.390043439872926,42.613519890400156,42.84686604530278,44.5799922536964,44.990658645254975,45.685682385793775,48.144171917077266,45.827100861570464,47.352792557100116,49.2151558100445,51.08193330663233,43.96248329281319,48.804612008984414,755.4344110762263
Layer_2,0.017215808834438195,0.672387214199038,1.0,1.1273666547030137,1.1187190666831388,0.9146700848525514,27.80403860312422,27.937999161416442,28.12718320341993,28.25523012959498,28.452657738637964,28.602693649904342,28.75936647519823,29.92272424502611,30.198483308546862,30.66518595802501,32.31554619197861,30.760645381355754,31.785153450680795,33.035801568058645,34.2894561323936,29.51148052512379,32.763349359685726,507.20426499775255
Layer_3,0.015262220385137344,0.5965192045567955,0.8870653498865951,1.0,0.9923720848452937,0.811569036957087,24.64735715570848,24.76611126455296,24.933820074645347,25.04733203572391,25.22235190682876,25.355361341746686,25.494255325229904,26.52554841006417,26.77002175102265,27.183777499062227,28.646806540399375,27.268515572012888,28.17680229074539,29.285594240355746,30.39705362562075,26.1616572927589,29.044669166146292,449.6487282542886
Layer_4,0.015387863672836505,0.6010603460008057,0.893897663121532,1.0077455422606847,1.0,0.8175433981526006,24.8551755275617,24.97491689396139,25.144020528113813,25.25847357203978,25.434937763760853,25.569028648170264,25.70904000365861,26.748955382176053,26.995354996852267,27.412389608409736,28.887500320859466,27.49721879201478,28.412666206766016,29.53008374144658,30.65017216875356,26.378289948322067,29.283530745322736,453.27345729518584
Layer_5,0.018909539893135294,0.7361402140593157,1.0952900445041454,1.2350685090241522,1.225217292388866,1.0,30.569324457479443,30.716522793219188,30.92440784026325,31.06509662318874,31.281971154302774,31.44668804046856,31.618614673223973,32.897241279983206,33.199633375725526,33.711492338500776,35.52449302298431,33.812742003644715,34.9361747816681,36.30686238044407,37.680781296488696,32.42289694989928,35.98586737767875,556.6626512182237
Layer_6,0.0006204975819837586,0.024537876136997604,0.036425289056469044,0.0410306009721014,0.040752001305055074,0.03348720121448349,1.0,1.0048233012895327,1.0116346135283962,1.0162456460315414,1.0233585505481628,1.0287697443114647,1.034424612016389,1.0762933219289506,1.0862598808743151,1.1031239992472892,1.1625702546132968,1.1067872199731026,1.1438207867495063,1.1890690707457445,1.2344324148453034,1.062871315555432,1.1805772572438509,18.302964922837017
Layer_7,0.0006175146511215091,0.02441991224921599,0.03625020676160522,0.040833392539759525,0.040556102567012926,0.033326110429604164,0.9951998813536985,1.0,1.0067785843584403,1.01136745877387,1.0184461649668988,1.023831321019603,1.0294589500364761,1.0711265717443144,1.081045075091644,1.0978278968297097,1.1569884034280988,1.1014725668912633,1.1383275872464067,1.1833575405516066,1.2285019792951979,1.0577630699901284,1.1749006564455087,18.214842034792138
Layer_8,0.0006133511483808102,0.024255259641363033,0.036005826296252756,0.04055812771536599,0.04028266760765481,0.03310127126130777,0.9884993403198092,0.9932671096069123,1.0,1.0045579411180952,1.011588920051206,1.0169377260575228,1.0225273372695447,1.063914255076603,1.0737656744457873,1.0904350214371614,1.149196626806142,1.094053771240022,1.1306595445948482,1.175384725731577,1.2202235470044622,1.0506324481515001,1.1669766509464585,18.091832986530175
Layer_9,0.0006105637189838349,0.02414502200566043,0.035842215186206165,0.04037384098177558,0.04009960053898974,0.03295072196028596,0.9840143638297635,0.9887604762744356,0.9954627833339057,1.0,1.0069990192252432,1.0123234854478704,1.0178876310757787,1.059086629741022,1.0688930839715094,1.0854864042377395,1.1439809153843472,1.0890876009852841,1.1255263997139646,1.170047360107022,1.2146814117462883,1.045858350178924,1.1616707302135683,18.009424033856217
Layer_10,0.0006063112087683549,0.02397681439385416,0.03559258545731346,0.040092673494398934,0.03982027990470452,0.03272095277148812,0.9771753913745053,0.9818884677129335,0.9885441262540419,0.9930497518726102,1.0,1.0052873256458403,1.0108126093382528,1.051725021744243,1.061462858873347,1.0779401345100683,1.1360272319467217,1.0815142363822432,1.117698156570041,1.1619073355617726,1.2062287423378322,1.038576350653396,1.1535767909447547,17.883688859525613
Layer_11,0.0006031113471069284,0.023850245024462785,0.03540477305833772,0.039881142187347965,0.03961010670852309,0.03254794391493002,0.9720364546404814,0.9767246837502713,0.9833452520460305,0.9878271127899195,0.9947406778952609,1.0,1.0054959817366167,1.0461929220337052,1.055878961115563,1.072268660882767,1.1300491659881442,1.0758213282217264,1.1118128421753768,1.155786502371061,1.1998716373115559,1.0330974905340522,1.147484115261606,17.788914593783293
Layer_12,0.0005997996250042397,0.023719278328200036,0.03521045819413066,0.03966229267107181,0.039392639686834804,0.0323688403781836,0.9667244531110503,0.9713869741175821,0.9779712416713693,0.9824285088846861,0.989304104171553,0.9945344460196031,1.0,1.0404741064043537,1.0501063914693447,1.0664052137285838,1.1238684197315714,1.0699347981071003,1.1057267182191604,1.149455848138514,1.1932957426238313,1.0274281293812781,1.1411770929770817,17.690702961664723
Layer_13,0.0005764520538221041,0.022795923122866147,0.0338398845474267,0.0381184725135101,0.03785919671440398,0.03110836006786421,0.9291207661499848,0.9336018341179269,0.9399298583260333,0.9442136348709526,0.9508215776727788,0.9558482104691202,0.9611008025211549,1.0,1.009256691448421,1.024920110913401,1.0801463734410417,1.028308325766736,1.0627047833021697,1.1047282837923191,1.1468580576555345,0.9874372874782478,1.0967477737734495,17.00145605682448
Layer_14,0.0005711348455900404,0.02258559170253056,0.03352786704019188,0.0377670786603614,0.03750995792796336,0.03082050944630432,0.920603958384899,0.9250437731531973,0.9313135326250375,0.9355578128184382,0.9421047806544542,0.9470848111614255,0.9522885223766705,0.9908301723384154,1.0,1.0155169751974131,1.0702334271406757,1.0188657504237157,1.0529402974782471,1.0945691707971934,1.1363028951788612,0.9783333548261531,1.0866138368820577,16.84337719301041
Layer_15,0.0005623633409053222,0.022238618780437012,0.03301313965994007,0.03718739086540872,0.036933864705587974,0.030345794039242195,0.9065483143640092,0.9109200694148996,0.9170937147128787,0.9212728655308997,0.927719273643353,0.9326224917764062,0.937745629130183,0.975697398380995,0.9847244887836247,1.0,1.0538758623316873,1.0032852718714902,1.0368295917737493,1.0778087407814294,1.1188905256679076,0.9633172449276742,1.0699028474302394,16.582922027113007
Layer_16,0.0005335739385554022,0.021100209441637038,0.0313234540445457,0.03528415732982704,0.03504326918530816,0.02879116368875896,0.860219098963179,0.8643671792613786,0.8702249388827543,0.8741901949914531,0.8803065735526401,0.8849584522255125,0.889818714008675,0.9258295300063494,0.9343925392305529,0.9488832244220862,1.0,0.9519877390818553,0.983807752310107,1.0226785440995594,1.0616459138660914,0.914008257967053,1.0151052460818872,15.732175795002906
